Handshake_ID,P-521_Time_ms,P-521_Bytes_Total,2,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,5,mlkem1024_Time_ms,mlkem1024_Bytes_Total
1,8.23,3963.0,,19.43,6734.0,,6.33,6602.0
2,9.31,3963.0,,14.18,6735.0,,4.3,6602.0
3,6.43,3963.0,,14.3,6734.0,,4.38,6600.0
4,7.78,3963.0,,14.53,6735.0,,4.36,6601.0
5,6.36,3963.0,,17.61,6734.0,,6.21,6602.0
6,6.25,3963.0,,22.05,6735.0,,5.54,6601.0
7,6.11,3963.0,,25.5,6734.0,,4.35,6602.0
8,6.73,3963.0,,14.33,6735.0,,4.34,6602.0
9,6.36,3963.0,,15.13,6734.0,,4.6,6601.0
10,6.34,3963.0,,14.53,6734.0,,4.15,6601.0
11,5.83,3963.0,,14.8,6735.0,,5.02,6602.0
12,6.74,3963.0,,17.96,6735.0,,4.24,6601.0
13,7.9,3963.0,,17.38,6734.0,,5.96,6600.0
14,6.22,3963.0,,18.09,6734.0,,4.43,6602.0
15,6.84,3963.0,,20.89,6734.0,,4.26,6602.0
16,6.48,3963.0,,14.16,6734.0,,6.59,6602.0
17,6.01,5402.0,,14.49,6735.0,,1003.87,6602.0
18,1006.11,3963.0,,13.97,9724.0,,4.32,6601.0
19,6.17,-1.0,,14.16,-1.0,,3.99,11573.0
20,,3963.0,,3014.21,10485.0,,1010.01,9458.0
21,1007.88,3963.0,,14.98,6735.0,,4.0,6600.0
22,6.8,3963.0,,14.23,6734.0,,4.0,6601.0
23,5.85,3963.0,,14.23,-1.0,,4.05,6602.0
24,1006.15,3963.0,,1044.73,11620.0,,4.53,6601.0
25,1005.97,3963.0,,16.72,6735.0,,4.01,4840.0
26,6.74,3963.0,,1039.62,11240.0,,6.15,6601.0
27,6.85,3963.0,,15.11,11707.0,,1033.21,6602.0
28,7.82,3963.0,,1017.78,6735.0,,4.4,6602.0
29,8.09,3963.0,,16.32,9726.0,,5.9,6600.0
30,1006.27,5402.0,,21.24,6735.0,,5.12,6602.0
31,5.95,5402.0,,16.36,6735.0,,4.02,6602.0
32,1005.91,5402.0,,21.93,6735.0,,4.14,6600.0
33,6.38,3963.0,,16.65,8716.0,,4.15,6602.0
34,5.86,3963.0,,19.13,6734.0,,3.92,4838.0
