frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","70","8a:93:3e:78:46:a6","33:33:00:00:00:02",,,"ICMPv6","Router Solicitation from 8a:93:3e:78:46:a6"
"2","0.937485862","219","62:2c:b5:ad:fd:0b","01:00:5e:00:00:fb","172.20.0.1","224.0.0.251","MDNS","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR MONTE-VIRTUAL-MACHINE._smb._tcp.local"
"3","1.981699187","42","da:68:e7:19:42:2b","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"4","2.033038977","42","da:68:e7:19:42:2b","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"5","2.033061209","42","72:22:d5:72:bd:bb","da:68:e7:19:42:2b",,,"ARP","172.20.0.2 is at 72:22:d5:72:bd:bb"
"6","2.033068032","1262","da:68:e7:19:42:2b","72:22:d5:72:bd:bb","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=b95472d803f4d929, PKN: 0, CRYPTO, PADDING"
"7","2.034892466","1262","72:22:d5:72:bd:bb","da:68:e7:19:42:2b","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=5058b1c440193e4e19"
"8","2.035986218","177","da:68:e7:19:42:2b","72:22:d5:72:bd:bb","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=5058b1c440193e4e19"
"9","2.036097207","1262","72:22:d5:72:bd:bb","da:68:e7:19:42:2b","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"10","2.071731111","1262","da:68:e7:19:42:2b","72:22:d5:72:bd:bb","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=dac5a1df23d608d5, PKN: 0, CRYPTO, PADDING"
"11","2.073069683","1262","72:22:d5:72:bd:bb","da:68:e7:19:42:2b","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=ce456660cf3d65629f"
