frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","8e:f5:e9:bc:0e:48","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.071151999","42","8e:f5:e9:bc:0e:48","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.071184138","42","c6:08:c4:47:b0:4f","8e:f5:e9:bc:0e:48",,,"ARP","172.20.0.2 is at c6:08:c4:47:b0:4f"
"4","0.071198525","2482","8e:f5:e9:bc:0e:48","c6:08:c4:47:b0:4f","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=14c128a6cbfcb0e3, PKN: 1, CRYPTO, PADDING"
"5","0.079840617","1629","c6:08:c4:47:b0:4f","8e:f5:e9:bc:0e:48","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=4e02558f6d22cad995"
"6","0.083286040","177","8e:f5:e9:bc:0e:48","c6:08:c4:47:b0:4f","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=4e02558f6d22cad995"
"7","0.083533362","1262","c6:08:c4:47:b0:4f","8e:f5:e9:bc:0e:48","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.138480089","2482","8e:f5:e9:bc:0e:48","c6:08:c4:47:b0:4f","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=7b7fd8107c9a9440, PKN: 1, CRYPTO, PADDING"
"9","0.142532231","1629","c6:08:c4:47:b0:4f","8e:f5:e9:bc:0e:48","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=868b0934367921325e"
"10","0.145847437","177","8e:f5:e9:bc:0e:48","c6:08:c4:47:b0:4f","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=868b0934367921325e"
"11","0.146093646","1262","c6:08:c4:47:b0:4f","8e:f5:e9:bc:0e:48","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.190457932","2482","8e:f5:e9:bc:0e:48","c6:08:c4:47:b0:4f","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=19d708e4e3d29553, PKN: 1, CRYPTO, PADDING"
"13","0.193330835","1629","c6:08:c4:47:b0:4f","8e:f5:e9:bc:0e:48","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=309202aafec2f1f226"
"14","0.197214277","177","8e:f5:e9:bc:0e:48","c6:08:c4:47:b0:4f","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=309202aafec2f1f226"
"15","0.197435039","1262","c6:08:c4:47:b0:4f","8e:f5:e9:bc:0e:48","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.252459037","2482","8e:f5:e9:bc:0e:48","c6:08:c4:47:b0:4f","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=dd8c3d5df2818a23, PKN: 1, CRYPTO, PADDING"
"17","0.255305677","1629","c6:08:c4:47:b0:4f","8e:f5:e9:bc:0e:48","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=d258ce7acb9cc098be"
