frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","26:84:fa:fe:ba:7f","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.054060655","42","26:84:fa:fe:ba:7f","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.054085400","42","1e:e0:8a:e5:6f:83","26:84:fa:fe:ba:7f",,,"ARP","172.20.0.2 is at 1e:e0:8a:e5:6f:83"
"4","0.054092776","2482","26:84:fa:fe:ba:7f","1e:e0:8a:e5:6f:83","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=3370b905de4a308b, PKN: 1, CRYPTO, PADDING"
"5","0.056470042","2029","1e:e0:8a:e5:6f:83","26:84:fa:fe:ba:7f","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=3297fbce267b480035"
"6","0.058740395","177","26:84:fa:fe:ba:7f","1e:e0:8a:e5:6f:83","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=3297fbce267b480035"
"7","0.058866303","1262","1e:e0:8a:e5:6f:83","26:84:fa:fe:ba:7f","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.092949150","2482","26:84:fa:fe:ba:7f","1e:e0:8a:e5:6f:83","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=52b83eec31f6fab9, PKN: 1, CRYPTO, PADDING"
"9","0.094514257","2028","1e:e0:8a:e5:6f:83","26:84:fa:fe:ba:7f","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=b0e34c2cb99a3c1fa4"
"10","0.096817263","177","26:84:fa:fe:ba:7f","1e:e0:8a:e5:6f:83","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=b0e34c2cb99a3c1fa4"
"11","0.096942026","1262","1e:e0:8a:e5:6f:83","26:84:fa:fe:ba:7f","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.129853279","2482","26:84:fa:fe:ba:7f","1e:e0:8a:e5:6f:83","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=22d112743c647896, PKN: 1, CRYPTO, PADDING"
"13","0.131409874","2029","1e:e0:8a:e5:6f:83","26:84:fa:fe:ba:7f","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=a00c3fa24ef9ca35e4"
"14","0.133894910","177","26:84:fa:fe:ba:7f","1e:e0:8a:e5:6f:83","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=a00c3fa24ef9ca35e4"
