frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","ce:23:f1:ca:e8:0b","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.052415746","42","ce:23:f1:ca:e8:0b","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.052443810","42","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b",,,"ARP","172.20.0.2 is at da:5d:70:36:60:2a"
"4","0.052455956","1262","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=1ffad515dc58ff2c, PKN: 0, CRYPTO, PADDING"
"5","0.055185106","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=b609aa73879e11d249"
"6","0.058931887","177","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=b609aa73879e11d249"
"7","0.059161178","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.100457536","1262","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=7b7e21d1dfebd066, PKN: 0, CRYPTO, PADDING"
"9","0.102401221","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=d35e113f0e4d9303f3"
"10","0.106316397","177","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=d35e113f0e4d9303f3"
"11","0.106471502","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.149300567","1262","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=a452b581b81ec3ab, PKN: 0, CRYPTO, PADDING"
"13","0.151178311","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=8c98f7d668f7d46083"
"14","0.153862265","177","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=8c98f7d668f7d46083"
"15","0.154011700","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.198245776","1262","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=cacaf5817c5b9b98, PKN: 0, CRYPTO, PADDING"
"17","0.201510248","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=50cb3b78c4ae72f0bc"
"18","0.205764748","177","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=50cb3b78c4ae72f0bc"
"19","0.206023380","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"20","0.245951194","1262","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=02d517e5d169672c, PKN: 0, CRYPTO, PADDING"
"21","0.247748619","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=90fbad5c54b7b21f55"
"22","0.251346868","177","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=90fbad5c54b7b21f55"
"23","0.251586885","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"24","0.294179849","1262","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=d05a75630219d83f, PKN: 0, CRYPTO, PADDING"
"25","0.297303885","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=77f550f8315aef5f94"
"26","0.300085721","177","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=77f550f8315aef5f94"
"27","0.300304574","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"28","0.341457292","1262","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=7b6162a213d7a2cd, PKN: 0, CRYPTO, PADDING"
"29","0.343412881","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=6f1bcc1b27c961c160"
"30","0.345865758","177","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=6f1bcc1b27c961c160"
"31","0.345976467","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"32","0.378944421","1262","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=6ef4cf1555dab07c, PKN: 0, CRYPTO, PADDING"
"33","0.380889203","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=17bde06d4436215df3"
"34","0.383404489","177","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=17bde06d4436215df3"
"35","0.383542569","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"36","0.418314399","1262","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=3c764d0fd9d5842b, PKN: 0, CRYPTO, PADDING"
"37","0.420880711","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=96f1faf762c8865b57"
"38","0.423729905","177","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=96f1faf762c8865b57"
"39","0.423944603","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"40","0.465166406","1262","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=04dcccd3e8482e31, PKN: 0, CRYPTO, PADDING"
"41","0.467184308","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=559d65fd594457c17b"
"42","0.469553813","177","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=559d65fd594457c17b"
"43","0.469694713","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"44","0.509557988","1262","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=d0310cb3803ef897, PKN: 0, CRYPTO, PADDING"
"45","0.511378758","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=acb4b1ab8d2fc26c28"
"46","0.513874625","177","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=acb4b1ab8d2fc26c28"
"47","0.514126524","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"48","0.562669048","1262","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=57b32f1b671c6234, PKN: 0, CRYPTO, PADDING"
"49","0.564546961","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=2569076eaf86dfad03"
"50","0.567085338","177","ce:23:f1:ca:e8:0b","da:5d:70:36:60:2a","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=2569076eaf86dfad03"
"51","0.567203207","1262","da:5d:70:36:60:2a","ce:23:f1:ca:e8:0b","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
