frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","e2:9b:2c:b6:2e:6c","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.067260938","42","e2:9b:2c:b6:2e:6c","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.067285222","42","de:da:47:f7:ea:68","e2:9b:2c:b6:2e:6c",,,"ARP","172.20.0.2 is at de:da:47:f7:ea:68"
"4","0.067295140","1262","e2:9b:2c:b6:2e:6c","de:da:47:f7:ea:68","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=280f445012a6e099, PKN: 0, CRYPTO, PADDING"
"5","0.070795683","1262","de:da:47:f7:ea:68","e2:9b:2c:b6:2e:6c","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=83113cf617533da440"
"6","0.074166903","177","e2:9b:2c:b6:2e:6c","de:da:47:f7:ea:68","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=83113cf617533da440"
"7","0.074346656","1262","de:da:47:f7:ea:68","e2:9b:2c:b6:2e:6c","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.122126407","1262","e2:9b:2c:b6:2e:6c","de:da:47:f7:ea:68","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=125418ec54d107ca, PKN: 0, CRYPTO, PADDING"
"9","0.124979723","1262","de:da:47:f7:ea:68","e2:9b:2c:b6:2e:6c","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=a920983240f83156a9"
"10","0.128324689","177","e2:9b:2c:b6:2e:6c","de:da:47:f7:ea:68","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=a920983240f83156a9"
"11","0.128527031","1262","de:da:47:f7:ea:68","e2:9b:2c:b6:2e:6c","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.169853401","1262","e2:9b:2c:b6:2e:6c","de:da:47:f7:ea:68","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=9bd19a0d5a0a007a, PKN: 0, CRYPTO, PADDING"
"13","0.173503746","1262","de:da:47:f7:ea:68","e2:9b:2c:b6:2e:6c","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=c09375a24a8acbecd8"
"14","0.176668640","177","e2:9b:2c:b6:2e:6c","de:da:47:f7:ea:68","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=c09375a24a8acbecd8"
"15","0.176785152","1262","de:da:47:f7:ea:68","e2:9b:2c:b6:2e:6c","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.213196412","1262","e2:9b:2c:b6:2e:6c","de:da:47:f7:ea:68","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=804daa3d83719e24, PKN: 0, CRYPTO, PADDING"
"17","0.216519363","1262","de:da:47:f7:ea:68","e2:9b:2c:b6:2e:6c","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=681f5b8ed70a63ee19"
"18","0.221621112","177","e2:9b:2c:b6:2e:6c","de:da:47:f7:ea:68","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=681f5b8ed70a63ee19"
"19","0.221779318","1262","de:da:47:f7:ea:68","e2:9b:2c:b6:2e:6c","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"20","0.269787256","1262","e2:9b:2c:b6:2e:6c","de:da:47:f7:ea:68","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=9b596af822b82f45, PKN: 0, CRYPTO, PADDING"
"21","0.274247890","1262","de:da:47:f7:ea:68","e2:9b:2c:b6:2e:6c","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=aa113cd599e3b3aa41"
"22","0.279595446","177","e2:9b:2c:b6:2e:6c","de:da:47:f7:ea:68","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=aa113cd599e3b3aa41"
"23","0.279847610","1262","de:da:47:f7:ea:68","e2:9b:2c:b6:2e:6c","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"24","0.332462484","1262","e2:9b:2c:b6:2e:6c","de:da:47:f7:ea:68","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=d17594d3bdb4148d, PKN: 0, CRYPTO, PADDING"
"25","0.335264076","1262","de:da:47:f7:ea:68","e2:9b:2c:b6:2e:6c","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=86851810d35b19a37c"
"26","0.338448476","177","e2:9b:2c:b6:2e:6c","de:da:47:f7:ea:68","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=86851810d35b19a37c"
"27","0.338627019","1262","de:da:47:f7:ea:68","e2:9b:2c:b6:2e:6c","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"28","0.380878019","1262","e2:9b:2c:b6:2e:6c","de:da:47:f7:ea:68","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=fe2e37bad9111693, PKN: 0, CRYPTO, PADDING"
"29","0.383629489","1262","de:da:47:f7:ea:68","e2:9b:2c:b6:2e:6c","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=24148fe1d131ffea42"
"30","0.387111844","177","e2:9b:2c:b6:2e:6c","de:da:47:f7:ea:68","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=24148fe1d131ffea42"
"31","0.387273684","1262","de:da:47:f7:ea:68","e2:9b:2c:b6:2e:6c","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"32","0.423831065","1262","e2:9b:2c:b6:2e:6c","de:da:47:f7:ea:68","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=f8a5782b889feec9, PKN: 0, CRYPTO, PADDING"
