frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","6a:14:39:72:84:e9","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.055701912","42","6a:14:39:72:84:e9","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.055736794","42","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9",,,"ARP","172.20.0.2 is at 52:80:1e:b4:d6:e7"
"4","0.055744194","2482","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=c8ebaf35ccc24716, PKN: 1, CRYPTO, PADDING"
"5","0.064747653","2814","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=0bca99008e2e74112a"
"6","0.071037898","177","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=0bca99008e2e74112a"
"7","0.071203363","1262","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.114328128","2482","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=9ecb7f2775276308, PKN: 1, CRYPTO, PADDING"
"9","0.118521722","2812","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=a80a467b18e2a9ecbf"
"10","0.123626509","177","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=a80a467b18e2a9ecbf"
"11","0.123826712","1262","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.168318136","2482","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=05c6e7754cade643, PKN: 1, CRYPTO, PADDING"
"13","0.172428237","2814","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=8b2254feebaacc987f"
"14","0.177534489","177","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=8b2254feebaacc987f"
"15","0.177713573","1262","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.219650694","2482","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=b30cd419eb168db0, PKN: 1, CRYPTO, PADDING"
"17","0.223773840","2813","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=9767bcb3960d81d904"
"18","0.228582006","177","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=9767bcb3960d81d904"
"19","0.228701194","1262","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"20","0.273487576","2482","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=8bc80868578fcd28, PKN: 1, CRYPTO, PADDING"
"21","0.277871707","2813","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=c9c3b62ab14652b846"
"22","0.285835585","177","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=c9c3b62ab14652b846"
"23","0.286039531","1262","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"24","0.340027207","2482","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=1ccab7cba95ffb71, PKN: 1, CRYPTO, PADDING"
"25","0.344276180","2814","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=860ad8b6de6960e4a2"
"26","0.349292486","177","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=860ad8b6de6960e4a2"
"27","0.349456621","1262","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"28","0.399452718","2482","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=71130bb34349a11c, PKN: 1, CRYPTO, PADDING"
"29","0.403835207","2814","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=03eb7e00ac564837d9"
"30","0.408889873","177","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=03eb7e00ac564837d9"
"31","0.409074340","1262","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"32","0.455190058","2482","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=8fed7ebc79acfb91, PKN: 1, CRYPTO, PADDING"
"33","0.461650893","2813","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=a99972d97af34d746e"
"34","0.466782678","177","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=a99972d97af34d746e"
"35","0.466949971","1262","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"36","0.510174111","2482","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=5d4df8fc6a095d27, PKN: 1, CRYPTO, PADDING"
"37","0.514591438","2814","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=e21a0eaa2885f93257"
"38","0.520043901","177","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=e21a0eaa2885f93257"
"39","0.520249341","1262","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"40","0.569090245","2482","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=db4b90684eaf2ec9, PKN: 1, CRYPTO, PADDING"
"41","0.573771364","2814","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=61f6443c8408528668"
"42","0.581628467","177","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=61f6443c8408528668"
"43","0.581782826","1262","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"44","0.624487497","2482","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=05569a8568a68b11, PKN: 1, CRYPTO, PADDING"
"45","0.631396764","2814","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=0a28f158d2535dacf2"
"46","0.636583507","177","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=0a28f158d2535dacf2"
"47","0.636745029","1262","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"48","0.673469030","2482","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=183bc93d0f5eb0a9, PKN: 1, CRYPTO, PADDING"
"49","0.677634093","2814","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=4724060a6a1e5c3568"
"50","0.682994752","177","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=4724060a6a1e5c3568"
"51","0.683159636","1262","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"52","0.728891373","2482","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=90a33df9d5424ec2, PKN: 1, CRYPTO, PADDING"
"53","0.732935726","2814","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=b569e235b15f8d9291"
"54","0.740723050","177","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=b569e235b15f8d9291"
"55","0.740838077","1262","52:80:1e:b4:d6:e7","6a:14:39:72:84:e9","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"56","0.785921623","2482","6a:14:39:72:84:e9","52:80:1e:b4:d6:e7","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=f8457993f1fa4fd9, PKN: 1, CRYPTO, PADDING"
