Handshake_ID,P-256_Time_ms,P-256_Bytes_Total,2,x25519_Time_ms,x25519_Bytes_Total,5,p256_mlkem512_Time_ms,p256_mlkem512_Bytes_Total,8,x25519_mlkem512_Time_ms,x25519_mlkem512_Bytes_Total,11,mlkem512_Time_ms,mlkem512_Bytes_Total
1,3.35,3963.0,,3.12,3963.0,,21.52,5550.0,,8.26,5517.0,,3.69,5485.0
2,2.75,3963.0,,2.46,3963.0,,13.22,5550.0,,6.63,5517.0,,3.14,5485.0
3,2.73,3963.0,,2.43,3963.0,,13.41,5550.0,,4.93,5517.0,,3.09,5485.0
4,3.18,3963.0,,2.38,3963.0,,16.34,5550.0,,4.76,5517.0,,2.92,5485.0
5,3.55,3963.0,,2.19,3963.0,,12.1,5550.0,,7.09,5517.0,,2.81,5485.0
6,2.95,3963.0,,2.78,3963.0,,13.08,5550.0,,6.01,5517.0,,3.46,5485.0
7,2.67,3963.0,,2.72,3963.0,,11.05,5550.0,,5.69,5517.0,,3.37,5485.0
8,2.44,3963.0,,2.74,3963.0,,11.82,5550.0,,6.37,5517.0,,2.92,5485.0
9,2.64,3963.0,,2.91,3963.0,,10.58,5550.0,,7.11,5517.0,,2.81,5485.0
10,3.53,3963.0,,2.62,3963.0,,11.91,5550.0,,6.12,5517.0,,2.94,5485.0
11,3.14,3963.0,,3.88,3963.0,,11.36,5550.0,,4.35,5517.0,,3.19,5485.0
12,4.17,3963.0,,3.08,3963.0,,15.87,5550.0,,5.24,5517.0,,3.2,5485.0
13,2.49,3963.0,,2.44,3963.0,,11.83,5550.0,,5.49,5517.0,,3.16,5485.0
14,2.99,3963.0,,2.76,3963.0,,15.61,5550.0,,5.47,5517.0,,3.62,5485.0
15,2.56,3963.0,,3.13,3963.0,,11.76,5550.0,,4.56,5517.0,,3.53,5485.0
16,3.46,3963.0,,2.9,3963.0,,3012.1,5545.0,,5.58,5517.0,,2.77,5485.0
17,2.85,3963.0,,2.82,3963.0,,11.5,5550.0,,5.4,5517.0,,2.9,5485.0
18,2.58,3963.0,,3.18,3963.0,,16.45,5550.0,,5.87,7290.0,,2.81,5485.0
19,2.75,3963.0,,2.77,3963.0,,1037.08,-1.0,,7.31,9253.0,,2.58,5485.0
20,1002.79,3963.0,,2.77,3963.0,,10.46,5550.0,,1030.04,5517.0,,2.83,5485.0
21,3.21,5402.0,,3001.71,3963.0,,3106.49,-1.0,,5.62,5517.0,,2.82,5485.0
22,1003.16,-1.0,,3002.11,3963.0,,4012.12,4331.0,,5.84,5517.0,,2.69,5485.0
23,3001.21,3963.0,,2.47,3963.0,,11.52,-1.0,,5.0,5517.0,,2.94,5485.0
24,3001.64,5402.0,,,-1.0,,1009.88,5639.0,,6.06,-1.0,,2.71,5485.0
25,2.64,3963.0,,2.73,6841.0,,10.6,5550.0,,1005.5,5512.0,,3.82,5485.0
26,1002.3,3963.0,,1001.98,3963.0,,15.79,5550.0,,3003.53,7709.0,,2.96,8535.0
27,2.66,3963.0,,2.57,5402.0,,15.16,5550.0,,1059.56,7290.0,,1003.55,6794.0
28,3.3,3963.0,,6999.15,3963.0,,16.74,9162.0,,4.53,6826.0,,1011.2,8535.0
29,3.48,3963.0,,2.94,3963.0,,1632.49,8969.0,,6.67,5517.0,,3.13,5485.0
30,2.79,5402.0,,2.54,3963.0,,11.49,9944.0,,1005.31,-1.0,,1003.12,5485.0
31,1002.89,3963.0,,2.46,3963.0,,1037.79,-1.0,,5.24,5517.0,,2.7,-1.0
32,2.85,-1.0,,2.4,5402.0,,7005.87,-1.0,,,5517.0,,2.7,10318.0
33,2.48,3963.0,,2.28,-1.0,,,-1.0,,5.35,5517.0,,1003.22,5485.0
34,3001.6,3963.0,,2.42,-1.0,,11.92,7356.0,,4.46,12006.0,,1084.79,-1.0
35,3001.36,3963.0,,1002.54,3963.0,,11.52,8138.0,,4.2,5512.0,,2.59,-1.0
36,3.58,3963.0,,2.79,5402.0,,1035.58,9162.0,,1210.59,5517.0,,7082.82,-1.0
37,3001.29,3963.0,,2.81,3963.0,,11.01,-1.0,,6.28,-1.0,,8660.79,9099.0
38,3001.3,-1.0,,3000.24,-1.0,,11.76,5545.0,,3002.97,4297.0,,2.85,-1.0
39,3.59,3963.0,,3119.46,5402.0,,10.28,-1.0,,5.2,-1.0,,3.13,6794.0
40,1003.0,3963.0,,2.64,-1.0,,11.63,-1.0,,3188.77,6826.0,,3.49,-1.0
41,,3963.0,,2.39,5402.0,,3009.13,8295.0,,1005.24,7290.0,,1002.25,4265.0
42,3.17,-1.0,,2.37,-1.0,,16.22,5550.0,,1004.93,5517.0,,1002.37,-1.0
43,2.4,-1.0,,6998.49,-1.0,,10.53,-1.0,,5.65,8599.0,,3002.32,6794.0
44,2.39,5402.0,,2.58,-1.0,,11.75,8443.0,,1004.55,7290.0,,1002.98,9221.0
45,,-1.0,,2.75,-1.0,,1037.28,5550.0,,6.54,-1.0,,1003.21,9221.0
46,3001.09,-1.0,,2.63,3963.0,,3082.03,29765.0,,1005.93,4292.0,,1028.52,5485.0
47,3.81,5402.0,,2.43,7572.0,,14.4,-1.0,,5.91,5517.0,,1027.78,5485.0
48,2.61,5402.0,,1001.72,-1.0,,12.86,-1.0,,6.82,5517.0,,1114.98,7226.0
49,3001.63,5402.0,,1001.86,-1.0,,1181.92,5550.0,,6.62,5517.0,,2.76,5485.0
50,,3963.0,,2.58,-1.0,,1014.64,5550.0,,6.11,-1.0,,3.29,10276.0
51,3.39,5402.0,,1001.99,5402.0,,11.42,5550.0,,8001.17,-1.0,,2.99,7709.0
52,2.5,5402.0,,2.19,3963.0,,4108.84,5550.0,,4.83,5518.0,,3.46,5485.0
53,2.65,5402.0,,1002.33,3963.0,,1036.64,5550.0,,4.36,-1.0,,2.61,6794.0
54,1002.73,5225.0,,,5402.0,,1971.2,5550.0,,6.03,5517.0,,1002.3,-1.0
55,3.63,-1.0,,2.87,3963.0,,16.39,9515.0,,5.31,6826.0,,2.75,8535.0
56,3.27,-1.0,,2.14,-1.0,,11.71,5550.0,,1059.62,5517.0,,1112.56,-1.0
57,3.15,5402.0,,3000.69,5402.0,,11.38,-1.0,,5.35,5517.0,,2.84,5485.0
58,2.53,3963.0,,6997.21,-1.0,,10.58,3347.0,,7000.24,-1.0,,1003.92,10276.0
59,3.94,3963.0,,2.48,3963.0,,11.78,10968.0,,4.99,7290.0,,3.52,-1.0
60,2.95,3963.0,,2.78,-1.0,,11.7,7356.0,,5.05,-1.0,,1029.38,8535.0
61,3.07,-1.0,,3000.36,3963.0,,12.07,9944.0,,1060.27,-1.0,,3.38,5485.0
62,2.68,7572.0,,3001.09,3963.0,,1066.72,8138.0,,4.79,7709.0,,1003.26,9221.0
63,2.52,-1.0,,2.97,3963.0,,10.49,5550.0,,1005.2,8443.0,,,5485.0
64,3000.83,3963.0,,2.95,3963.0,,2884.58,28330.0,,5.12,6826.0,,3.43,8967.0
65,3002.57,3963.0,,2.51,-1.0,,11.28,20058.0,,4.38,5517.0,,4.17,5485.0
66,,3963.0,,2.52,3963.0,,10.43,7709.0,,,-1.0,,2.92,7226.0
67,3.11,3963.0,,1002.88,3963.0,,13.32,-1.0,,5.98,7709.0,,1003.46,5485.0
68,1003.06,3963.0,,2.53,5402.0,,15.23,7223.0,,4.59,9063.0,,3001.11,-1.0
69,2.85,3963.0,,3.73,-1.0,,10.51,7356.0,,,5517.0,,3.32,7226.0
70,3.04,5402.0,,2.38,3963.0,,10.51,5550.0,,1114.76,-1.0,,1016.01,-1.0
71,3.69,3963.0,,3075.36,3963.0,,10.49,-1.0,,1010.41,5512.0,,3.08,10276.0
72,2.58,6841.0,,3.09,-1.0,,1036.28,7709.0,,1005.16,5517.0,,1029.47,12932.0
73,6997.27,3963.0,,1002.79,-1.0,,1038.31,5550.0,,4.2,-1.0,,2.62,5485.0
74,,3963.0,,3000.48,-1.0,,10.71,5550.0,,3002.85,5606.0,,2.81,-1.0
75,1002.06,3963.0,,1003.48,3963.0,,3289.17,7356.0,,1230.24,9253.0,,3.63,5485.0
