Handshake_ID,P-384_Time_ms,P-384_Bytes_Total,2,x448_Time_ms,x448_Bytes_Total,5,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_Total,8,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_Total,11,mlkem768_Time_ms,mlkem768_Bytes_Total
1,10.95,3963.0,,7.36,3963.0,,20.15,6403.0,,10.1,6403.0,,5.05,5950.0
2,9.16,3963.0,,6.71,3963.0,,15.46,6403.0,,7.72,6403.0,,4.2,5949.0
3,7.17,3963.0,,5.12,3963.0,,15.18,6403.0,,7.83,6403.0,,4.44,5950.0
4,9.36,3963.0,,8.37,3963.0,,16.32,6403.0,,11.64,6403.0,,4.18,5949.0
5,7.56,3963.0,,5.98,3963.0,,15.14,6403.0,,7.73,6403.0,,4.1,5949.0
6,7.04,3963.0,,6.7,3963.0,,17.89,6403.0,,7.79,6403.0,,5.9,5950.0
7,8.24,3963.0,,5.01,3963.0,,17.62,6403.0,,12.31,6403.0,,3.85,5949.0
8,8.03,3963.0,,5.0,3963.0,,15.18,6403.0,,7.37,6403.0,,4.03,5949.0
9,8.11,3963.0,,6.11,3963.0,,15.25,6403.0,,7.53,6403.0,,4.23,5949.0
10,7.29,3963.0,,4.99,3963.0,,14.69,6403.0,,7.56,6403.0,,3.97,5948.0
11,7.18,3963.0,,4.94,3963.0,,21.81,6403.0,,8.86,6403.0,,4.03,5949.0
12,9.12,3963.0,,4.93,3963.0,,22.86,6403.0,,7.53,6403.0,,4.43,5949.0
13,8.21,3963.0,,5.26,3963.0,,22.46,6403.0,,10.18,6403.0,,6.65,5948.0
14,7.73,3963.0,,6.3,3963.0,,15.57,6403.0,,8.21,6403.0,,4.05,5949.0
15,6.51,3963.0,,6.21,3963.0,,14.6,6403.0,,9.36,6403.0,,3.94,5948.0
16,8.15,3963.0,,4.89,3963.0,,14.34,6403.0,,7.67,6403.0,,6.68,5949.0
17,9.26,3963.0,,4.96,3963.0,,15.15,6403.0,,7.49,6403.0,,5.32,5949.0
18,12.81,3963.0,,4.93,3963.0,,1120.83,-1.0,,7.5,6403.0,,4.79,5949.0
19,1008.44,3963.0,,5.84,3963.0,,14.69,7884.0,,1420.97,5183.0,,4.19,5950.0
