Handshake_ID,P-521_Time_ms,P-521_Bytes_Total,2,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_Total,5,mlkem1024_Time_ms,mlkem1024_Bytes_Total
1,7.52,3963.0,,20.91,6735.0,,7.53,6600.0
2,6.76,3963.0,,15.13,6733.0,,6.51,6602.0
3,7.37,3963.0,,15.06,6735.0,,6.28,6602.0
4,9.24,3963.0,,14.64,6734.0,,4.76,6601.0
5,10.64,3963.0,,21.5,6734.0,,4.75,6602.0
6,6.57,3963.0,,14.76,6735.0,,4.47,6601.0
7,6.82,3963.0,,15.02,6735.0,,4.61,6601.0
8,7.21,3963.0,,17.37,6734.0,,4.21,6601.0
9,7.78,3963.0,,15.82,6735.0,,4.48,6601.0
10,6.45,3963.0,,21.31,6735.0,,4.61,6602.0
11,6.17,3963.0,,17.67,6735.0,,6.26,6602.0
12,6.25,3963.0,,15.13,6735.0,,4.74,6602.0
13,6.32,3963.0,,20.99,6735.0,,4.54,6601.0
14,6.86,3963.0,,16.83,6734.0,,6.16,6602.0
15,6.91,3963.0,,14.19,6734.0,,5.17,6601.0
16,8.1,3963.0,,1060.51,8716.0,,5.31,6600.0
17,7.33,-1.0,,20.84,6734.0,,4.98,6601.0
18,1007.08,3963.0,,20.25,7831.0,,4.53,6601.0
19,1006.2,3963.0,,1040.92,6735.0,,5.3,6602.0
20,7002.53,3963.0,,14.41,9726.0,,4.34,6602.0
21,1006.07,3963.0,,15.07,6735.0,,1031.86,12744.0
22,8.17,3963.0,,14.68,-1.0,,4.53,8630.0
23,6.37,-1.0,,17.85,9724.0,,1031.4,6602.0
24,,3963.0,,1040.45,-1.0,,4.11,-1.0
25,6.35,-1.0,,14.8,7496.0,,,9887.0
26,3004.75,9719.0,,14.73,6733.0,,1031.75,6602.0
27,1006.04,3963.0,,3016.16,6735.0,,6.06,8631.0
28,7.95,-1.0,,14.86,12587.0,,1030.7,7707.0
29,6.62,3963.0,,17.3,6735.0,,1175.7,9460.0
30,6.42,3963.0,,1028.47,6735.0,,4.33,6600.0
31,10.07,3963.0,,14.73,9095.0,,5.54,-1.0
32,9.14,6841.0,,15.37,6735.0,,5.67,-1.0
33,6.31,3963.0,,14.82,-1.0,,4.19,5183.0
34,1009.27,3963.0,,1117.75,8086.0,,1031.59,6602.0
35,1007.36,3963.0,,20.99,9973.0,,1087.95,15450.0
36,6.09,3963.0,,7010.46,9322.0,,1196.97,11573.0
37,7.48,3963.0,,1037.87,4839.0,,6.0,6601.0
38,5.98,5402.0,,3016.07,6734.0,,1072.03,-1.0
39,6.29,-1.0,,1038.39,6735.0,,6.26,5183.0
40,6.35,3963.0,,14.54,6735.0,,1014.54,6600.0
41,7.03,5225.0,,14.6,6735.0,,6.2,9459.0
42,6.52,-1.0,,19.96,6734.0,,1100.62,6602.0
43,7.54,3963.0,,14.68,6734.0,,1843.95,6602.0
44,6.39,-1.0,,15.03,6733.0,,6.17,9459.0
45,7.12,-1.0,,21.5,6734.0,,4.26,-1.0
46,6.2,5402.0,,14.85,4839.0,,1005.9,8964.0
47,7.25,3963.0,,14.48,6735.0,,4.2,6602.0
48,,-1.0,,1039.35,6734.0,,4.47,9459.0
49,3004.54,-1.0,,14.46,-1.0,,5.83,4840.0
50,5064.45,3963.0,,20.56,5183.0,,4.41,6602.0
51,6.34,3963.0,,1043.41,6735.0,,4.83,20498.0
52,6.51,6841.0,,1204.92,6732.0,,4.35,6601.0
53,7001.92,-1.0,,14.39,6730.0,,5.57,-1.0
54,3004.55,3963.0,,14.24,6734.0,,3208.06,-1.0
55,6.39,3963.0,,7013.25,6735.0,,4.85,-1.0
56,9.75,3963.0,,22.26,-1.0,,4.61,6601.0
57,6.71,3963.0,,15.13,11283.0,,4.41,9459.0
58,,3963.0,,3120.35,4839.0,,6.45,6601.0
59,,3963.0,,1038.91,6734.0,,1032.0,6597.0
60,9.11,-1.0,,14.53,8716.0,,4.87,6602.0
61,8.93,-1.0,,1017.88,-1.0,,1218.79,5183.0
62,6.73,-1.0,,1095.88,9097.0,,5.95,6602.0
63,1006.24,3963.0,,1120.49,9725.0,,4.42,6602.0
64,6.42,3963.0,,18.21,-1.0,,,7697.0
65,6.14,-1.0,,15.29,-1.0,,1034.22,6602.0
66,1007.26,-1.0,,21.84,5516.0,,5.03,3430.0
67,1008.35,-1.0,,1082.02,-1.0,,5.59,9460.0
68,7004.02,5402.0,,7008.74,13478.0,,4.27,6602.0
69,6.34,3963.0,,3019.41,12715.0,,4.78,9458.0
70,1006.47,3963.0,,14.47,15705.0,,7000.27,6600.0
71,8.89,3963.0,,19.73,-1.0,,6.01,-1.0
72,6.32,3963.0,,14.85,-1.0,,1087.25,-1.0
73,9.33,3963.0,,17.52,9726.0,,5.15,7911.0
74,,5402.0,,19.9,6735.0,,4.96,6602.0
75,,5402.0,,14.41,-1.0,,4.54,6602.0
76,6.32,-1.0,,14.98,17221.0,,1031.86,6600.0
77,6.12,5402.0,,15.28,-1.0,,4.52,6601.0
78,6.29,3963.0,,17.47,-1.0,,1995.22,-1.0
79,7002.66,-1.0,,1038.79,8086.0,,4.39,9460.0
80,,-1.0,,2099.84,6734.0,,5.79,6602.0
81,7.06,3963.0,,14.57,-1.0,,4.28,4839.0
82,1008.57,5402.0,,14.32,8085.0,,4.36,6445.0
83,6.25,3963.0,,14.61,-1.0,,4.34,19569.0
84,6.13,3963.0,,1086.94,-1.0,,6.02,6602.0
85,9.44,-1.0,,19.64,7496.0,,1075.01,-1.0
86,1006.34,-1.0,,14.4,-1.0,,1031.67,6601.0
87,8.37,5402.0,,7009.64,15491.0,,3005.0,-1.0
88,1006.27,3963.0,,15.13,6735.0,,5.73,-1.0
89,6.24,3963.0,,7013.52,-1.0,,4.34,8971.0
90,8.03,3963.0,,14.4,-1.0,,6.58,-1.0
91,6.12,3963.0,,1066.35,-1.0,,6.32,-1.0
92,1006.34,5402.0,,3015.76,6734.0,,1199.59,8716.0
93,1005.75,3963.0,,3074.24,-1.0,,4.34,9459.0
94,6.52,3963.0,,17.27,6735.0,,4.8,12317.0
95,6.21,3963.0,,1107.24,6734.0,,7001.05,-1.0
96,7000.65,3963.0,,3609.1,6735.0,,1031.96,8929.0
97,8.15,3963.0,,1083.24,10471.0,,1374.98,6601.0
98,1007.29,3963.0,,14.56,18355.0,,1087.12,-1.0
99,3004.85,3963.0,,3013.31,-1.0,,4.3,8040.0
100,8.98,-1.0,,14.83,-1.0,,5.08,8715.0
101,6.31,3963.0,,14.56,11705.0,,1085.77,9460.0
102,1006.21,-1.0,,14.29,6735.0,,5.51,6601.0
103,7002.46,3963.0,,3016.9,6103.0,,1031.79,6602.0
104,7005.36,3963.0,,1097.86,6735.0,,3031.83,6601.0
105,3006.56,-1.0,,14.85,6734.0,,1019.49,6602.0
106,9.36,5227.0,,15.2,-1.0,,3087.36,6602.0
107,6.3,5402.0,,24.34,-1.0,,1009.18,-1.0
108,7.18,3963.0,,7010.19,25215.0,,4.33,7495.0
109,6.66,-1.0,,1034.11,6733.0,,4.18,26604.0
110,6.69,-1.0,,21.89,11239.0,,6.49,22171.0
111,1006.94,3963.0,,17.35,12755.0,,4.22,12587.0
112,6.49,-1.0,,1870.32,6735.0,,5.37,14351.0
113,6.33,3963.0,,18.45,6734.0,,1010.23,6602.0
114,6.14,3963.0,,15.37,6735.0,,3031.49,6601.0
115,3007.25,3963.0,,1030.09,8716.0,,4.19,-1.0
116,1006.67,-1.0,,1045.12,-1.0,,1031.94,9189.0
117,7002.97,3963.0,,23.5,3618.0,,4.26,4840.0
118,6.32,-1.0,,14.71,6734.0,,1420.62,6602.0
119,6.21,3963.0,,1073.98,6734.0,,1016.45,6601.0
120,6.25,3963.0,,14.71,6735.0,,4.37,-1.0
121,6.32,3963.0,,1031.9,6734.0,,5.73,-1.0
122,7002.29,-1.0,,1090.93,6733.0,,4.72,-1.0
123,,3963.0,,14.3,6734.0,,4.61,-1.0
124,6.41,3963.0,,14.27,-1.0,,4.29,-1.0
125,7.96,3963.0,,20.8,10019.0,,4.31,15783.0
126,,5402.0,,1025.11,6735.0,,4.38,-1.0
127,3086.23,3963.0,,1039.01,6734.0,,1011.67,-1.0
128,6.28,-1.0,,14.61,6734.0,,4.62,-1.0
129,6.2,-1.0,,16.53,8715.0,,4.25,-1.0
130,1007.46,-1.0,,26.1,6734.0,,4.6,6602.0
131,,3963.0,,18.51,12585.0,,4.52,6601.0
132,10.66,3963.0,,14.54,6735.0,,4.7,10337.0
133,7003.49,3963.0,,16.26,6735.0,,4.99,6603.0
134,3005.08,3963.0,,3033.7,-1.0,,1004.83,-1.0
135,8.51,-1.0,,14.44,13477.0,,5.64,4886.0
136,6.34,-1.0,,14.31,6735.0,,5.12,6602.0
137,1007.72,-1.0,,21.63,10317.0,,4.7,6601.0
138,,3963.0,,1021.21,18441.0,,1075.53,6602.0
139,3005.04,5402.0,,18.29,6733.0,,1014.93,21759.0
140,1008.29,3963.0,,1034.79,6734.0,,4.92,12840.0
141,3004.13,3963.0,,16.41,6734.0,,1085.64,6602.0
142,9.35,5225.0,,20.57,6735.0,,6.37,6601.0
143,7.35,-1.0,,3015.75,-1.0,,4.22,11489.0
144,,-1.0,,14.38,11240.0,,4.25,12317.0
145,7000.23,3963.0,,14.74,6735.0,,1086.76,6602.0
146,6.3,-1.0,,20.82,6734.0,,3002.61,9460.0
147,10.22,3963.0,,1564.46,6735.0,,1418.21,6602.0
148,1006.5,-1.0,,15.24,6734.0,,5.43,-1.0
149,6.17,-1.0,,1085.83,6734.0,,5.89,6603.0
150,6.13,-1.0,,15.07,-1.0,,1020.66,8715.0
151,8.55,3963.0,,21.94,8716.0,,4567.86,6601.0
152,1006.16,3963.0,,14.83,-1.0,,1032.35,-1.0
153,3006.87,5402.0,,14.67,7496.0,,3012.05,5384.0
154,1005.58,-1.0,,14.85,6735.0,,4.12,6602.0
155,1006.62,5402.0,,1045.53,-1.0,,1010.7,6602.0
156,7006.08,3963.0,,1083.19,-1.0,,1386.0,4839.0
157,1008.03,3963.0,,14.47,6104.0,,4.27,4840.0
158,6.26,5402.0,,20.84,-1.0,,3031.45,7698.0
159,,3963.0,,14.36,-1.0,,1032.15,8715.0
160,1006.25,3963.0,,14.32,-1.0,,1085.92,8715.0
161,,3963.0,,19.32,11706.0,,5.53,6602.0
162,3005.06,-1.0,,14.21,9725.0,,4.4,-1.0
163,6.1,3963.0,,1322.94,6734.0,,3002.3,-1.0
164,6.25,3963.0,,1021.18,6735.0,,6999.97,9189.0
165,6.11,-1.0,,3016.67,-1.0,,3206.9,-1.0
166,6.05,3963.0,,14.96,8716.0,,4.41,12030.0
167,7005.97,3963.0,,1041.24,6734.0,,4.3,-1.0
168,6.16,3963.0,,4767.28,-1.0,,4.31,2209.0
169,,3963.0,,,10697.0,,1116.63,10556.0
170,1007.08,-1.0,,,6735.0,,1036.07,6602.0
171,,3963.0,,1043.24,8715.0,,4.18,6601.0
172,1005.75,3963.0,,1020.31,6735.0,,4.15,-1.0
173,1006.86,3963.0,,14.41,-1.0,,4.95,-1.0
174,3005.83,3963.0,,14.56,3472.0,,1032.9,5383.0
175,8.99,3963.0,,14.5,9888.0,,4.72,6601.0
176,3008.09,3963.0,,17.12,6105.0,,7.54,9459.0
177,6.36,3963.0,,17.2,9725.0,,4.91,6602.0
178,7.52,-1.0,,15.7,6735.0,,6.68,8929.0
179,8.23,-1.0,,3087.24,9725.0,,4.91,4840.0
180,,3963.0,,14.74,6107.0,,5.74,6601.0
181,6.5,3963.0,,14.35,5183.0,,4.52,5183.0
182,7.02,5402.0,,1038.25,-1.0,,6999.7,-1.0
183,6.81,3963.0,,16.7,10020.0,,7000.68,-1.0
184,8.21,3963.0,,1197.54,6735.0,,1010.53,10337.0
185,1008.12,3963.0,,18.01,6734.0,,6.29,6602.0
186,8.06,3963.0,,1017.49,6734.0,,2019.12,11240.0
