P-521,p521_mlkem1024,mlkem1024
7.52,20.91,7.53
6.76,15.13,6.51
7.37,15.06,6.28
9.24,14.64,4.76
10.64,21.5,4.75
6.57,14.76,4.47
6.82,15.02,4.61
7.21,17.37,4.21
7.78,15.82,4.48
6.45,21.31,4.61
6.17,17.67,6.26
6.25,15.13,4.74
6.32,20.99,4.54
6.86,16.83,6.16
6.91,14.19,5.17
8.1,1060.51,5.31
7.33,20.84,4.98
1007.08,20.25,4.53
1006.2,1040.92,5.3
7002.53,14.41,4.34
1006.07,15.07,1031.86
8.17,14.68,4.53
6.37,17.85,1031.4
,1040.45,4.11
6.35,14.8,
3004.75,14.73,1031.75
1006.04,3016.16,6.06
7.95,14.86,1030.7
6.62,17.3,1175.7
6.42,1028.47,4.33
10.07,14.73,5.54
9.14,15.37,5.67
6.31,14.82,4.19
1009.27,1117.75,1031.59
1007.36,20.99,1087.95
6.09,7010.46,1196.97
7.48,1037.87,6.0
5.98,3016.07,1072.03
6.29,1038.39,6.26
6.35,14.54,1014.54
7.03,14.6,6.2
6.52,19.96,1100.62
7.54,14.68,1843.95
6.39,15.03,6.17
7.12,21.5,4.26
6.2,14.85,1005.9
7.25,14.48,4.2
,1039.35,4.47
3004.54,14.46,5.83
5064.45,20.56,4.41
6.34,1043.41,4.83
6.51,1204.92,4.35
7001.92,14.39,5.57
3004.55,14.24,3208.06
6.39,7013.25,4.85
9.75,22.26,4.61
6.71,15.13,4.41
,3120.35,6.45
,1038.91,1032.0
9.11,14.53,4.87
8.93,1017.88,1218.79
6.73,1095.88,5.95
1006.24,1120.49,4.42
6.42,18.21,
6.14,15.29,1034.22
1007.26,21.84,5.03
1008.35,1082.02,5.59
7004.02,7008.74,4.27
6.34,3019.41,4.78
1006.47,14.47,7000.27
8.89,19.73,6.01
6.32,14.85,1087.25
9.33,17.52,5.15
,19.9,4.96
,14.41,4.54
6.32,14.98,1031.86
6.12,15.28,4.52
6.29,17.47,1995.22
7002.66,1038.79,4.39
,2099.84,5.79
7.06,14.57,4.28
1008.57,14.32,4.36
6.25,14.61,4.34
6.13,1086.94,6.02
9.44,19.64,1075.01
1006.34,14.4,1031.67
8.37,7009.64,3005.0
1006.27,15.13,5.73
6.24,7013.52,4.34
8.03,14.4,6.58
6.12,1066.35,6.32
1006.34,3015.76,1199.59
1005.75,3074.24,4.34
6.52,17.27,4.8
6.21,1107.24,7001.05
7000.65,3609.1,1031.96
8.15,1083.24,1374.98
1007.29,14.56,1087.12
3004.85,3013.31,4.3
8.98,14.83,5.08
6.31,14.56,1085.77
1006.21,14.29,5.51
7002.46,3016.9,1031.79
7005.36,1097.86,3031.83
3006.56,14.85,1019.49
9.36,15.2,3087.36
6.3,24.34,1009.18
7.18,7010.19,4.33
6.66,1034.11,4.18
6.69,21.89,6.49
1006.94,17.35,4.22
6.49,1870.32,5.37
6.33,18.45,1010.23
6.14,15.37,3031.49
3007.25,1030.09,4.19
1006.67,1045.12,1031.94
7002.97,23.5,4.26
6.32,14.71,1420.62
6.21,1073.98,1016.45
6.25,14.71,4.37
6.32,1031.9,5.73
7002.29,1090.93,4.72
,14.3,4.61
6.41,14.27,4.29
7.96,20.8,4.31
,1025.11,4.38
3086.23,1039.01,1011.67
6.28,14.61,4.62
6.2,16.53,4.25
1007.46,26.1,4.6
,18.51,4.52
10.66,14.54,4.7
7003.49,16.26,4.99
3005.08,3033.7,1004.83
8.51,14.44,5.64
6.34,14.31,5.12
1007.72,21.63,4.7
,1021.21,1075.53
3005.04,18.29,1014.93
1008.29,1034.79,4.92
3004.13,16.41,1085.64
9.35,20.57,6.37
7.35,3015.75,4.22
,14.38,4.25
7000.23,14.74,1086.76
6.3,20.82,3002.61
10.22,1564.46,1418.21
1006.5,15.24,5.43
6.17,1085.83,5.89
6.13,15.07,1020.66
8.55,21.94,4567.86
1006.16,14.83,1032.35
3006.87,14.67,3012.05
1005.58,14.85,4.12
1006.62,1045.53,1010.7
7006.08,1083.19,1386.0
1008.03,14.47,4.27
6.26,20.84,3031.45
,14.36,1032.15
1006.25,14.32,1085.92
,19.32,5.53
3005.06,14.21,4.4
6.1,1322.94,3002.3
6.25,1021.18,6999.97
6.11,3016.67,3206.9
6.05,14.96,4.41
7005.97,1041.24,4.3
6.16,4767.28,4.31
,,1116.63
1007.08,,1036.07
,1043.24,4.18
1005.75,1020.31,4.15
1006.86,14.41,4.95
3005.83,14.56,1032.9
8.99,14.5,4.72
3008.09,17.12,7.54
6.36,17.2,4.91
7.52,15.7,6.68
8.23,3087.24,4.91
,14.74,5.74
6.5,14.35,4.52
7.02,1038.25,6999.7
6.81,16.7,7000.68
8.21,1197.54,1010.53
1008.12,18.01,6.29
8.06,1017.49,2019.12
9.22,16.88,4.17
7.5,5405.62,4.17
8.93,1035.01,1032.29
11.19,1233.49,1031.41
3005.51,14.54,4.48
10.96,14.59,1031.89
,18.25,1013.28
1008.8,14.34,1012.14
7002.53,20.1,4.71
6.31,1210.28,1033.33
8.02,1859.22,4.33
3004.57,3036.55,3004.07
8.08,21.01,5.26
6.18,20.61,3003.48
6.18,14.52,4.69
1006.3,1017.59,8026.48
6.46,21.43,6.11
8.27,14.82,5.95
8.6,1021.04,1031.67
1005.63,20.76,5.36
,1020.42,4.26
6.24,14.45,5.36
6.51,14.59,6999.3
6.23,15.13,4.43
1006.28,15.1,5.65
9.52,1037.68,4.14
6.31,14.46,4.05
7.9,1092.7,3031.43
7.98,14.56,1030.74
6.21,3016.04,4.38
8.47,17.28,1853.24
1006.53,24.98,4.54
1007.32,1102.47,1090.58
7.65,16.36,1012.48
7.82,3076.79,1013.23
6.22,7037.76,3004.73
6.16,15.62,4.49
1006.22,1115.27,1022.67
6.26,3029.4,6.28
1006.28,1038.97,3012.49
6.08,7152.41,4.15
6.3,14.69,1084.92
1006.05,19.61,4.91
6.19,16.89,1012.21
8.64,1042.55,4.4
6.29,17.58,4.46
7002.01,21.73,1196.62
6.25,1036.7,1088.37
1007.48,14.51,5.41
7003.48,1043.36,1031.26
3006.48,1045.05,1031.13
1006.27,15.19,4.37
7.2,15.83,3002.41
1006.17,26.45,4.56
6.25,18.77,6.61
6.42,14.99,1008.64
6.16,19.85,1030.59
6.05,3014.09,1010.82
6.88,7078.69,1074.56
8.59,17.44,5.37
3007.22,14.34,4.4
6.66,1033.54,4.37
6.27,1039.35,4.14
6.22,15.03,1030.91
3006.37,3106.1,1050.2
8.35,1039.37,
,14.36,1014.65
6.03,14.41,4.26
1008.71,18.67,4.38
7000.91,16.15,1065.8
,7007.16,4.33
8.77,3016.52,5.77
3004.46,14.83,5.16
7.7,14.62,4.54
9.03,14.61,4.37
8.42,17.51,5.83
1007.65,6888.64,4.16
7001.11,14.68,4.85
6.21,1120.7,4.29
6.06,14.54,4.14
6.28,15.96,4.61
6.23,17.85,4.48
1006.33,14.65,1031.04
3006.2,20.75,6999.81
1005.62,1017.06,1085.92
3004.86,3057.38,4.35
1010.05,,5.62
6.43,18.61,1088.27
7002.01,24.28,3082.62
10.58,16.12,4.3
,15.98,4.23
3006.24,1109.97,5.68
7.67,1096.91,4.26
,1017.62,3033.87
1006.44,14.68,1031.47
7.1,2193.53,4.98
,1045.59,4.38
8.41,14.79,5.03
7.06,15.57,4.12
1006.18,1062.11,1024.44
6.41,14.35,4.36
6.41,14.31,6.04
6.67,16.48,1854.79
1006.13,15.46,4.19
7.36,15.54,4.24
,23.32,1010.01
8.82,27.84,4.06
6.43,,4.48
8.18,1096.6,1010.51
9.02,20.68,1010.18
1006.23,1018.23,4.17
6.42,1016.12,1031.83
,1024.24,4.14
6.23,15.3,1017.94
3005.69,1021.07,1064.23
1005.96,15.8,4.3
1005.57,14.37,4.31
1005.53,1089.09,4.01
6.5,1027.49,1059.28
,14.99,1099.88
1006.08,18.61,4.13
7001.04,1387.86,1219.65
8.04,1040.99,3003.11
6.21,1121.83,4.96
8.06,14.47,4.27
8.51,21.59,4.84
7.02,7012.06,1012.2
6.33,1040.03,6.22
8.53,1091.04,1199.66
1008.85,3017.03,4.28
6.56,15.21,4.36
1006.71,20.64,6.83
6.37,21.56,6.2
8.78,1044.23,1141.76
,1041.68,4.24
6.23,14.73,4.1
10.02,16.92,1030.26
3006.73,1068.67,4.57
8.05,1040.14,4.42
,1070.32,4.17
6.85,1038.86,4.37
7.18,3044.39,
6.39,1019.59,1011.98
1005.96,20.61,4.71
