frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","a6:df:d8:33:6e:b6","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.058618789","42","a6:df:d8:33:6e:b6","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.058640634","42","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6",,,"ARP","172.20.0.2 is at ca:eb:8c:b9:8d:a8"
"4","0.058651896","2482","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=58671bab7c36625d, PKN: 1, CRYPTO, PADDING"
"5","0.064523114","2482","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=4d4952daae1d5eed4f"
"6","0.067849720","177","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=4d4952daae1d5eed4f"
"7","0.068036148","1262","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.113062782","2482","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=98288065655556e9, PKN: 1, CRYPTO, PADDING"
"9","0.116951711","2482","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=265ccf1eefbe68d5a0"
"10","0.120055378","177","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=265ccf1eefbe68d5a0"
"11","0.120300018","1262","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.160644648","2482","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=c99a81aa498663ee, PKN: 1, CRYPTO, PADDING"
"13","0.164125302","2482","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=e17a99aa4852e6b9cd"
"14","0.167163743","177","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=e17a99aa4852e6b9cd"
"15","0.167311578","1262","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.211072233","2482","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=6e220f01f2a1ca24, PKN: 1, CRYPTO, PADDING"
"17","0.215142405","2482","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=64a2959d061803eb65"
"18","0.218311349","177","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=64a2959d061803eb65"
"19","0.218503564","1262","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"20","0.264582442","2482","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=f4e3534f5965216c, PKN: 1, CRYPTO, PADDING"
"21","0.268289489","2482","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=24b340706fc02684fc"
"22","0.271256835","177","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=24b340706fc02684fc"
"23","0.271501498","1262","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"24","0.310599075","2482","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=bd8f45f2aa81a248, PKN: 1, CRYPTO, PADDING"
"25","0.312997279","2482","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=84ad530094be6d3539"
"26","0.315986427","177","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=84ad530094be6d3539"
"27","0.316180666","1262","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"28","0.355367636","2482","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=2be6170acd95d14d, PKN: 1, CRYPTO, PADDING"
"29","0.359472480","2482","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=22e8fd10f8b7553881"
"30","0.362534193","177","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=22e8fd10f8b7553881"
"31","0.362764928","1262","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"32","0.398310753","2482","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=cc963498f5608061, PKN: 1, CRYPTO, PADDING"
"33","0.400961071","2482","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=8822fbc85a6d34072b"
"34","0.404068998","177","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=8822fbc85a6d34072b"
"35","0.404340453","1262","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"36","0.447410489","2482","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=9537279ec2a58b05, PKN: 1, CRYPTO, PADDING"
"37","0.451256288","2482","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=27c6b78005683b0629"
"38","0.454296405","177","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=27c6b78005683b0629"
"39","0.454538303","1262","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"40","0.488240070","2482","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=42db9d56f4583903, PKN: 1, CRYPTO, PADDING"
"41","0.490644757","2482","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=270ec72b3a65f044f5"
"42","0.493830867","177","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=270ec72b3a65f044f5"
"43","0.494055747","1262","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"44","0.535631419","2482","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=429845d541f065a9, PKN: 1, CRYPTO, PADDING"
"45","0.539346684","2482","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=0d9b746f976bee8b42"
"46","0.542710201","177","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=0d9b746f976bee8b42"
"47","0.542947634","1262","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"48","0.579436913","2482","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=77465cfed1069326, PKN: 1, CRYPTO, PADDING"
"49","0.583603486","2482","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=e0473c738de9679c65"
"50","0.586649613","177","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=e0473c738de9679c65"
"51","0.586910112","1262","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"52","0.636821632","2482","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=4c0f1b6edd8ce2f1, PKN: 1, CRYPTO, PADDING"
"53","0.640567764","2482","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=e43dece51b2e94a82a"
"54","0.643564886","177","a6:df:d8:33:6e:b6","ca:eb:8c:b9:8d:a8","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=e43dece51b2e94a82a"
"55","0.643870191","1262","ca:eb:8c:b9:8d:a8","a6:df:d8:33:6e:b6","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
