frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","32:de:78:ea:ed:75","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.059929936","42","32:de:78:ea:ed:75","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.059958480","42","f2:ed:f1:d0:55:00","32:de:78:ea:ed:75",,,"ARP","172.20.0.2 is at f2:ed:f1:d0:55:00"
"4","0.059968343","2482","32:de:78:ea:ed:75","f2:ed:f1:d0:55:00","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=127bcd6c67826c60, PKN: 1, CRYPTO, PADDING"
"5","0.063429347","2681","f2:ed:f1:d0:55:00","32:de:78:ea:ed:75","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=8861ed5e1fde876138"
"6","0.065829042","177","32:de:78:ea:ed:75","f2:ed:f1:d0:55:00","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=8861ed5e1fde876138"
"7","0.065948591","1262","f2:ed:f1:d0:55:00","32:de:78:ea:ed:75","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"8","0.105788300","2482","32:de:78:ea:ed:75","f2:ed:f1:d0:55:00","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=62d0f067d7e02a2e, PKN: 1, CRYPTO, PADDING"
"9","0.107264332","2681","f2:ed:f1:d0:55:00","32:de:78:ea:ed:75","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=6772d71af2b59c7f9b"
"10","0.109603942","177","32:de:78:ea:ed:75","f2:ed:f1:d0:55:00","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=6772d71af2b59c7f9b"
"11","0.109790553","1262","f2:ed:f1:d0:55:00","32:de:78:ea:ed:75","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"12","0.141616657","2482","32:de:78:ea:ed:75","f2:ed:f1:d0:55:00","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=da25420a6e1f7702, PKN: 1, CRYPTO, PADDING"
"13","0.143095725","2679","f2:ed:f1:d0:55:00","32:de:78:ea:ed:75","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=e15a0df0dbc5fb5f0f"
"14","0.145642773","177","32:de:78:ea:ed:75","f2:ed:f1:d0:55:00","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=e15a0df0dbc5fb5f0f"
"15","0.145761625","1262","f2:ed:f1:d0:55:00","32:de:78:ea:ed:75","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"16","0.193612814","2482","32:de:78:ea:ed:75","f2:ed:f1:d0:55:00","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=82b855f3e347f29f, PKN: 1, CRYPTO, PADDING"
"17","0.195184339","2680","f2:ed:f1:d0:55:00","32:de:78:ea:ed:75","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=292ab10bdf65ba4e7c"
"18","0.197600725","177","32:de:78:ea:ed:75","f2:ed:f1:d0:55:00","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=292ab10bdf65ba4e7c"
"19","0.197724021","1262","f2:ed:f1:d0:55:00","32:de:78:ea:ed:75","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"20","0.229913175","2482","32:de:78:ea:ed:75","f2:ed:f1:d0:55:00","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=a5f2af1bf96f2be3, PKN: 1, CRYPTO, PADDING"
"21","0.231420841","2681","f2:ed:f1:d0:55:00","32:de:78:ea:ed:75","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=22ba7a9800b5a1b475"
"22","0.235634989","177","32:de:78:ea:ed:75","f2:ed:f1:d0:55:00","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=22ba7a9800b5a1b475"
"23","0.235795068","1262","f2:ed:f1:d0:55:00","32:de:78:ea:ed:75","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"24","0.275286053","2482","32:de:78:ea:ed:75","f2:ed:f1:d0:55:00","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=7a813a85476c95f4, PKN: 1, CRYPTO, PADDING"
"25","0.277442410","2680","f2:ed:f1:d0:55:00","32:de:78:ea:ed:75","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=eac606cf1f53ba5d30"
"26","0.280369525","177","32:de:78:ea:ed:75","f2:ed:f1:d0:55:00","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=eac606cf1f53ba5d30"
"27","0.280488656","1262","f2:ed:f1:d0:55:00","32:de:78:ea:ed:75","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
"28","0.320436202","2482","32:de:78:ea:ed:75","f2:ed:f1:d0:55:00","172.20.0.3","172.20.0.2","QUIC","Initial, DCID=2dc98081016f804c, PKN: 1, CRYPTO, PADDING"
"29","0.321936163","2681","f2:ed:f1:d0:55:00","32:de:78:ea:ed:75","172.20.0.2","172.20.0.3","QUIC","Handshake, SCID=6872b3b8d351b640d9"
"30","0.324445610","177","32:de:78:ea:ed:75","f2:ed:f1:d0:55:00","172.20.0.3","172.20.0.2","QUIC","Protected Payload (KP0), DCID=6872b3b8d351b640d9"
"31","0.324553771","1262","f2:ed:f1:d0:55:00","32:de:78:ea:ed:75","172.20.0.2","172.20.0.3","QUIC","Protected Payload (KP0)"
