P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
4.32,4.55,15.46,8.38,4.3
2.78,2.45,10.2,4.8,3.17
3.16,2.73,10.73,5.51,3.11
3.19,2.22,11.61,4.97,3.09
2.88,2.21,11.82,6.57,3.02
3.53,2.07,10.33,6.17,2.78
2.65,2.07,10.69,4.55,2.69
2.92,2.46,11.11,5.63,2.52
3.05,2.16,11.61,4.94,2.5
2.55,2.21,12.43,4.96,2.9
2.76,2.03,15.25,6.01,3.19
2.77,2.16,12.31,4.53,2.5
2.68,2.0,11.95,4.67,2.95
3.07,2.67,14.38,5.32,2.72
3.31,2.53,15.04,1030.4,2.94
2.59,2.15,14.82,4.43,3.1
2.58,2.87,1040.32,4.39,2.61
3.33,2.03,11.78,4.32,2.58
3.12,2.16,10.38,5.33,3.81
2.79,2.79,14.29,4.22,2.5
2.44,2.07,15.38,1003.98,3.27
3001.38,2.1,10.63,1005.92,2.59
2.66,2.22,11.63,4.86,4.17
3.18,2.66,10.89,4.84,1028.33
3.08,1.97,1036.4,6.24,3.02
3.85,2.48,15.16,4.44,2.62
2.72,2.11,9.89,5.68,2.88
1002.46,2.1,10.27,1004.2,2.6
1003.03,1001.7,1033.48,4.31,3.29
2.55,2.61,1017.27,5.49,2.9
2.87,2.15,12.42,1005.9,2.39
2.38,2.06,1013.48,4.35,2.74
2.28,1.9,10.07,5.3,2.45
2.26,2.22,10.45,4.21,2.44
2.33,2.74,11.52,1004.32,1002.59
2.34,1001.24,1035.57,4.64,2.64
2.5,2.42,12.03,4.91,2.89
2.6,2.2,15.62,1089.21,2.51
2.78,2.85,10.87,4.57,2.89
2.65,2.23,10.08,4.3,2.37
2.63,2.16,9.81,4.56,2.46
3.05,2.06,9.96,4.3,2.35
3.19,2.5,9.72,4.27,2.62
3.14,1002.34,10.58,4.2,1028.26
2.67,2.33,3008.43,4.27,2.72
2.76,2.05,11.44,4.31,1002.77
3000.39,3.12,10.79,4.14,1084.33
3002.06,2.49,9.78,4.37,2.28
3.02,1002.68,10.13,4.3,2.69
2.66,1001.96,11.2,4.21,2.44
1003.86,3001.13,1035.95,5.82,2.94
2.97,2.13,9.96,1003.91,2.58
3.33,2.29,10.43,5.91,2.48
3.01,1002.08,10.7,5.71,2.44
2.49,2.28,9.95,4.1,2.52
2.87,2.05,10.04,4.48,1027.79
2.6,2.33,10.48,5.06,3.65
2.81,1001.56,11.62,5.6,2.86
1002.93,2.35,10.65,1030.49,2.65
2.48,2.2,10.01,4.75,2.38
2.81,1003.53,1020.52,5.08,3.54
1003.11,2.23,10.2,1030.63,2.74
3.41,2.23,1009.75,5.33,2.45
3.01,2.22,11.21,5.79,2.61
3.59,2.04,3009.47,4.35,3.59
2.55,2.2,15.84,4.55,3.09
2.53,1002.17,9.8,6.36,2.8
2.87,2.24,10.97,1088.1,3.11
3.17,2.08,10.14,5.0,1002.54
3.33,2.87,9.98,4.86,2.66
2.84,2.65,1035.61,5.92,2.92
3001.68,1.97,10.37,1035.01,3.26
2.35,2.03,10.14,4.57,2.69
2.36,2.07,9.92,1004.51,2.76
2.7,1001.66,10.01,1006.29,3.58
2.51,1001.48,11.96,1285.83,2.75
3.22,1001.34,10.25,5.15,4.07
3000.91,1.92,9.98,1034.44,1003.03
2.69,1002.09,1040.75,4.33,2.55
2.81,1002.29,10.04,5.86,1003.21
3.09,2.22,10.16,4.8,2.53
1002.85,2.09,10.04,1004.51,1003.88
2.55,1.95,3012.65,4.61,3.58
1002.85,1.92,10.25,4.37,1003.02
2.59,1.98,10.29,1038.11,2.25
2.67,3.18,10.1,5.76,3.1
2.86,1001.75,1015.09,4.15,1002.72
2.94,3000.52,11.18,5.89,1031.36
2.35,2.22,9.95,1003.66,1031.37
3.45,3.04,10.15,1004.47,2.53
2.48,3001.77,9.8,4.31,2.57
2.65,2.51,9.77,6.24,3000.03
2.43,3000.47,9.87,5.64,2.67
2.39,2.88,11.81,4.15,2.9
2.51,2.23,13.26,4.17,2.95
2.78,2.31,10.22,,2.71
2.62,2.03,1035.66,4.55,2.9
2.53,1.89,1038.96,4.43,2.71
