Handshake_ID,P-256_Time_ms,P-256_Bytes_Total,2,x25519_Time_ms,x25519_Bytes_Total,5,p256_mlkem512_Time_ms,p256_mlkem512_Bytes_Total,8,x25519_mlkem512_Time_ms,x25519_mlkem512_Bytes_Total,11,mlkem512_Time_ms,mlkem512_Bytes_Total
1,4.32,3963.0,,4.55,3963.0,,15.46,5550.0,,8.38,5517.0,,4.3,5485.0
2,2.78,3963.0,,2.45,3963.0,,10.2,5550.0,,4.8,5517.0,,3.17,5485.0
3,3.16,3963.0,,2.73,3963.0,,10.73,5550.0,,5.51,5517.0,,3.11,5485.0
4,3.19,3963.0,,2.22,3963.0,,11.61,5550.0,,4.97,5517.0,,3.09,5485.0
5,2.88,3963.0,,2.21,3963.0,,11.82,5550.0,,6.57,5517.0,,3.02,5485.0
6,3.53,3963.0,,2.07,3963.0,,10.33,5550.0,,6.17,5517.0,,2.78,5485.0
7,2.65,3963.0,,2.07,3963.0,,10.69,5550.0,,4.55,5517.0,,2.69,5485.0
8,2.92,3963.0,,2.46,3963.0,,11.11,5550.0,,5.63,5517.0,,2.52,5485.0
9,3.05,3963.0,,2.16,3963.0,,11.61,5550.0,,4.94,5517.0,,2.5,5485.0
10,2.55,3963.0,,2.21,3963.0,,12.43,5550.0,,4.96,5517.0,,2.9,5485.0
11,2.76,3963.0,,2.03,3963.0,,15.25,5550.0,,6.01,5517.0,,3.19,5485.0
12,2.77,3963.0,,2.16,3963.0,,12.31,5550.0,,4.53,5517.0,,2.5,5485.0
13,2.68,3963.0,,2.0,3963.0,,11.95,5550.0,,4.67,5517.0,,2.95,5485.0
14,3.07,3963.0,,2.67,3963.0,,14.38,5550.0,,5.32,5517.0,,2.72,5485.0
15,3.31,3963.0,,2.53,3963.0,,15.04,7356.0,,1030.4,9253.0,,2.94,5485.0
16,2.59,3963.0,,2.15,3963.0,,14.82,12231.0,,4.43,5517.0,,3.1,5485.0
17,2.58,3963.0,,2.87,3963.0,,1040.32,5550.0,,4.39,5517.0,,2.61,5485.0
18,3.33,3963.0,,2.03,3963.0,,11.78,5550.0,,4.32,5517.0,,2.58,5485.0
19,3.12,5402.0,,2.16,3963.0,,10.38,5550.0,,5.33,5517.0,,3.81,5485.0
20,2.79,3963.0,,2.79,3963.0,,14.29,5550.0,,4.22,5517.0,,2.5,5485.0
21,2.44,3963.0,,2.07,3963.0,,15.38,7356.0,,1003.98,5517.0,,3.27,5485.0
22,3001.38,3963.0,,2.1,3963.0,,10.63,5550.0,,1005.92,8599.0,,2.59,5485.0
23,2.66,5402.0,,2.22,3963.0,,11.63,8138.0,,4.86,5517.0,,4.17,10962.0
24,3.18,3963.0,,2.66,3963.0,,10.89,5550.0,,4.84,5517.0,,1028.33,5485.0
25,3.08,3963.0,,1.97,3963.0,,1036.4,5550.0,,6.24,5517.0,,3.02,5485.0
26,3.85,3963.0,,2.48,3963.0,,15.16,5550.0,,4.44,8599.0,,2.62,5485.0
27,2.72,3963.0,,2.11,3963.0,,9.89,8443.0,,5.68,5517.0,,2.88,5485.0
28,1002.46,5402.0,,2.1,3963.0,,10.27,8443.0,,1004.2,8599.0,,2.6,5485.0
29,1003.03,3963.0,,1001.7,5402.0,,1033.48,5550.0,,4.31,5517.0,,3.29,5485.0
30,2.55,3963.0,,2.61,3963.0,,1017.27,8443.0,,5.49,7290.0,,2.9,5485.0
31,2.87,3963.0,,2.15,3963.0,,12.42,5550.0,,1005.9,6826.0,,2.39,5485.0
32,2.38,3963.0,,2.06,3963.0,,1013.48,5550.0,,4.35,5517.0,,2.74,5485.0
33,2.28,3963.0,,1.9,3963.0,,10.07,5550.0,,5.3,12091.0,,2.45,5485.0
34,2.26,5402.0,,2.22,3963.0,,10.45,8140.0,,4.21,5517.0,,2.44,6794.0
35,2.33,3963.0,,2.74,3963.0,,11.52,5550.0,,1004.32,5517.0,,1002.59,5485.0
36,2.34,3963.0,,1001.24,3963.0,,1035.57,5550.0,,4.64,5517.0,,2.64,5485.0
37,2.5,3963.0,,2.42,3963.0,,12.03,5550.0,,4.91,5517.0,,2.89,5485.0
38,2.6,3963.0,,2.2,3963.0,,15.62,5550.0,,1089.21,5517.0,,2.51,5485.0
39,2.78,3963.0,,2.85,3963.0,,10.87,5550.0,,4.57,7290.0,,2.89,5485.0
40,2.65,3963.0,,2.23,3963.0,,10.08,5550.0,,4.3,5517.0,,2.37,5485.0
41,2.63,3963.0,,2.16,3963.0,,9.81,5550.0,,4.56,5517.0,,2.46,7226.0
42,3.05,3963.0,,2.06,3963.0,,9.96,5550.0,,4.3,5517.0,,2.35,9221.0
43,3.19,3963.0,,2.5,5402.0,,9.72,5545.0,,4.27,5517.0,,2.62,5485.0
44,3.14,-1.0,,1002.34,3963.0,,10.58,5550.0,,4.2,5517.0,,1028.26,6794.0
45,2.67,3963.0,,2.33,3963.0,,3008.43,5550.0,,4.27,5517.0,,2.72,10318.0
46,2.76,3963.0,,2.05,3963.0,,11.44,7356.0,,4.31,6826.0,,1002.77,5485.0
47,3000.39,3963.0,,3.12,3963.0,,10.79,5550.0,,4.14,5517.0,,1084.33,5485.0
48,3002.06,5402.0,,2.49,3963.0,,9.78,8138.0,,4.37,5517.0,,2.28,5485.0
49,3.02,3963.0,,1002.68,3963.0,,10.13,5550.0,,4.3,5517.0,,2.69,5485.0
50,2.66,3963.0,,1001.96,5402.0,,11.2,5550.0,,4.21,5517.0,,2.44,7226.0
51,1003.86,3963.0,,3001.13,3963.0,,1035.95,7356.0,,5.82,5517.0,,2.94,5485.0
52,2.97,3963.0,,2.13,5402.0,,9.96,5550.0,,1003.91,5517.0,,2.58,10962.0
53,3.33,5402.0,,2.29,3963.0,,10.43,5550.0,,5.91,8105.0,,2.48,5485.0
54,3.01,3963.0,,1002.08,3963.0,,10.7,7356.0,,5.71,5517.0,,2.44,7226.0
55,2.49,3963.0,,2.28,3963.0,,9.95,5550.0,,4.1,5517.0,,2.52,5485.0
56,2.87,6841.0,,2.05,3963.0,,10.04,8443.0,,4.48,9253.0,,1027.79,7226.0
57,2.6,3963.0,,2.33,3963.0,,10.48,9162.0,,5.06,5517.0,,3.65,5485.0
58,2.81,3963.0,,1001.56,3963.0,,11.62,5545.0,,5.6,5517.0,,2.86,5485.0
59,1002.93,3963.0,,2.35,3963.0,,10.65,5550.0,,1030.49,5517.0,,2.65,5485.0
60,2.48,3963.0,,2.2,5402.0,,10.01,5550.0,,4.75,5517.0,,2.38,5485.0
61,2.81,3963.0,,1003.53,3963.0,,1020.52,5550.0,,5.08,5517.0,,3.54,5485.0
62,1003.11,3963.0,,2.23,3963.0,,10.2,5550.0,,1030.63,10318.0,,2.74,5485.0
63,3.41,3963.0,,2.23,3963.0,,1009.75,5550.0,,5.33,7290.0,,2.45,12017.0
64,3.01,3963.0,,2.22,3963.0,,11.21,8138.0,,5.79,-1.0,,2.61,5485.0
65,3.59,3963.0,,2.04,3963.0,,3009.47,5550.0,,4.35,6826.0,,3.59,5485.0
66,2.55,3963.0,,2.2,3963.0,,15.84,7356.0,,4.55,6826.0,,3.09,5485.0
67,2.53,3963.0,,1002.17,3963.0,,9.8,5550.0,,6.36,12845.0,,2.8,5485.0
68,2.87,3963.0,,2.24,3963.0,,10.97,5550.0,,1088.1,5517.0,,3.11,8535.0
69,3.17,3963.0,,2.08,3963.0,,10.14,5550.0,,5.0,11255.0,,1002.54,5485.0
70,3.33,3963.0,,2.87,-1.0,,9.98,14037.0,,4.86,5517.0,,2.66,6794.0
71,2.84,3963.0,,2.65,5402.0,,1035.61,5550.0,,5.92,6826.0,,2.92,5485.0
72,3001.68,3963.0,,1.97,3963.0,,10.37,5550.0,,1035.01,5517.0,,3.26,8535.0
73,2.35,5402.0,,2.03,3963.0,,10.14,5550.0,,4.57,5517.0,,2.69,6794.0
74,2.36,3963.0,,2.07,3963.0,,9.92,-1.0,,1004.51,6826.0,,2.76,5485.0
75,2.7,3963.0,,1001.66,3963.0,,10.01,7356.0,,1006.29,5517.0,,3.58,5485.0
76,2.51,3963.0,,1001.48,3963.0,,11.96,5550.0,,1285.83,7290.0,,2.75,6794.0
77,3.22,3963.0,,1001.34,3963.0,,10.25,8443.0,,5.15,6826.0,,4.07,-1.0
78,3000.91,3963.0,,1.92,3963.0,,9.98,5550.0,,1034.44,10372.0,,1003.03,7709.0
79,2.69,3963.0,,1002.09,3963.0,,1040.75,5550.0,,4.33,5517.0,,2.55,5485.0
80,2.81,5402.0,,1002.29,3963.0,,10.04,5550.0,,5.86,5517.0,,1003.21,5485.0
81,3.09,3963.0,,2.22,3963.0,,10.16,5550.0,,4.8,5517.0,,2.53,5486.0
82,1002.85,3963.0,,2.09,3963.0,,10.04,5550.0,,1004.51,-1.0,,1003.88,5485.0
83,2.55,3963.0,,1.95,3963.0,,3012.65,7356.0,,4.61,7290.0,,3.58,5485.0
84,1002.85,3963.0,,1.92,3963.0,,10.25,5550.0,,4.37,6826.0,,1003.02,5485.0
85,2.59,3963.0,,1.98,3963.0,,10.29,11092.0,,1038.11,5517.0,,2.25,5485.0
86,2.67,3963.0,,3.18,3963.0,,10.1,9286.0,,5.76,5517.0,,3.1,5485.0
87,2.86,5402.0,,1001.75,3963.0,,1015.09,5550.0,,4.15,5517.0,,1002.72,5485.0
