P-521,p521_mlkem1024,mlkem1024
8.23,19.43,6.33
9.31,14.18,4.3
6.43,14.3,4.38
7.78,14.53,4.36
6.36,17.61,6.21
6.25,22.05,5.54
6.11,25.5,4.35
6.73,14.33,4.34
6.36,15.13,4.6
6.34,14.53,4.15
5.83,14.8,5.02
6.74,17.96,4.24
7.9,17.38,5.96
6.22,18.09,4.43
6.84,20.89,4.26
6.48,14.16,6.59
6.01,14.49,1003.87
1006.11,13.97,4.32
6.17,14.16,3.99
,3014.21,1010.01
1007.88,14.98,4.0
6.8,14.23,4.0
5.85,14.23,4.05
1006.15,1044.73,4.53
1005.97,16.72,4.01
6.74,1039.62,6.15
6.85,15.11,1033.21
7.82,1017.78,4.4
8.09,16.32,5.9
1006.27,21.24,5.12
5.95,16.36,4.02
1005.91,21.93,4.14
6.38,16.65,4.15
5.86,19.13,3.92
5.75,1018.77,4.46
5.91,22.57,5.43
6.14,14.46,1034.04
6.32,15.26,4.43
5.9,15.07,4.24
5.81,14.82,4.83
8.35,13.94,4.54
3003.75,16.12,4.1
5.97,14.29,4.24
5.78,14.96,4.26
5.74,14.29,1004.4
5.87,1037.04,4.23
6.59,15.71,5.41
1006.04,22.19,4.06
6.22,14.74,4.49
5.8,15.08,6.42
5.93,14.57,3.98
1006.16,15.2,4.11
6.19,14.66,4.65
1005.78,15.13,4.52
6.01,15.53,4.66
6.03,14.98,6.07
3004.51,14.95,5.29
6.54,15.24,4.27
6.03,1017.32,4.01
6.14,15.54,3086.87
6.15,14.84,4.72
1006.14,15.28,3.88
5.94,16.61,1014.02
5.96,15.38,3.98
5.76,14.58,3.97
5.75,14.34,3.95
6.02,14.59,1010.07
1005.93,14.94,3.91
3004.42,1038.29,3.86
6.19,14.15,1010.45
,14.62,3.9
6.0,14.39,3.9
6.11,1015.67,4.19
6.67,14.71,3.93
1007.03,16.0,4.01
1006.15,14.53,4.11
6.93,17.15,4.16
1006.31,14.08,4.23
1006.35,14.97,3.89
6.82,1026.94,4.06
6.13,14.3,1010.55
6.19,14.73,1086.22
8.89,14.21,4.17
8.87,14.39,1010.25
6.7,17.19,4.0
6.77,1038.23,3.81
6.45,14.41,4.04
6.24,14.72,4.08
6.78,13.96,4.18
1005.58,14.36,1030.17
6.39,1016.5,4.18
5.99,16.81,1010.68
6.3,15.37,4.52
5.81,20.94,3002.53
6.02,14.55,4.14
8.03,18.29,3.9
6.09,18.7,3.94
1006.04,14.76,3.9
5.9,14.98,4.03
5.9,14.68,5.16
6.01,15.32,1031.23
5.84,14.19,5.84
5.77,17.32,4.35
5.88,15.54,4.72
5.86,21.3,4.0
6.09,22.1,3.93
6.55,18.0,4.38
6.14,17.79,4.59
6.04,1015.46,4.4
6.21,16.23,1026.22
5.95,18.5,3.94
8.46,17.7,4.17
6.04,16.7,4.09
5.77,17.31,4.62
5.8,18.34,4.21
6.48,1040.9,4.67
1006.17,1026.32,5.18
5.96,1018.8,5.22
6.05,1047.71,4.92
