frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","c6:66:78:b7:7a:50","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.028653123","42","c6:66:78:b7:7a:50","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.028673978","42","56:78:81:e4:d2:99","c6:66:78:b7:7a:50",,,"ARP","172.20.0.2 is at 56:78:81:e4:d2:99"
"4","0.028680545","74","c6:66:78:b7:7a:50","56:78:81:e4:d2:99","172.20.0.3","172.20.0.2","TCP","56314 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1139269838 TSecr=0 WS=128"
"5","0.028701018","74","56:78:81:e4:d2:99","c6:66:78:b7:7a:50","172.20.0.2","172.20.0.3","TCP","4433 → 56314 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1330185633 TSecr=1139269838 WS=128"
"6","0.028718369","66","c6:66:78:b7:7a:50","56:78:81:e4:d2:99","172.20.0.3","172.20.0.2","TCP","56314 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1139269838 TSecr=1330185633"
"7","0.028756541","1288","c6:66:78:b7:7a:50","56:78:81:e4:d2:99","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.028772706","66","56:78:81:e4:d2:99","c6:66:78:b7:7a:50","172.20.0.2","172.20.0.3","TCP","4433 → 56314 [ACK] Seq=1 Ack=1223 Win=64128 Len=0 TSval=1330185633 TSecr=1139269838"
"9","0.029814556","1472","56:78:81:e4:d2:99","c6:66:78:b7:7a:50","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.029835772","66","c6:66:78:b7:7a:50","56:78:81:e4:d2:99","172.20.0.3","172.20.0.2","TCP","56314 → 4433 [ACK] Seq=1223 Ack=1407 Win=64128 Len=0 TSval=1139269839 TSecr=1330185634"
"11","0.030768530","146","c6:66:78:b7:7a:50","56:78:81:e4:d2:99","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.030819693","66","c6:66:78:b7:7a:50","56:78:81:e4:d2:99","172.20.0.3","172.20.0.2","TCP","56314 → 4433 [RST, ACK] Seq=1303 Ack=1407 Win=64128 Len=0 TSval=1139269840 TSecr=1330185634"
"13","0.040443487","74","c6:66:78:b7:7a:50","56:78:81:e4:d2:99","172.20.0.3","172.20.0.2","TCP","56328 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1139269850 TSecr=0 WS=128"
"14","0.040467764","74","56:78:81:e4:d2:99","c6:66:78:b7:7a:50","172.20.0.2","172.20.0.3","TCP","4433 → 56328 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1330185645 TSecr=1139269850 WS=128"
"15","0.040488325","66","c6:66:78:b7:7a:50","56:78:81:e4:d2:99","172.20.0.3","172.20.0.2","TCP","56328 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1139269850 TSecr=1330185645"
"16","0.040536604","1288","c6:66:78:b7:7a:50","56:78:81:e4:d2:99","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
