frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","239","c6:87:39:50:99:48","33:33:00:00:00:fb",,,"MDNS","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR MONTE-VIRTUAL-MACHINE._smb._tcp.local"
"2","8.112070638","42","de:3e:94:b2:a9:4f","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"3","8.141572929","42","de:3e:94:b2:a9:4f","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"4","8.141594870","42","aa:f4:48:06:50:48","de:3e:94:b2:a9:4f",,,"ARP","172.20.0.2 is at aa:f4:48:06:50:48"
"5","8.141601194","74","de:3e:94:b2:a9:4f","aa:f4:48:06:50:48","172.20.0.3","172.20.0.2","TCP","60452 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1138818590 TSecr=0 WS=128"
"6","8.141619282","74","aa:f4:48:06:50:48","de:3e:94:b2:a9:4f","172.20.0.2","172.20.0.3","TCP","4433 → 60452 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1329734385 TSecr=1138818590 WS=128"
"7","8.141634792","66","de:3e:94:b2:a9:4f","aa:f4:48:06:50:48","172.20.0.3","172.20.0.2","TCP","60452 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1138818590 TSecr=1329734385"
"8","8.141676279","528","de:3e:94:b2:a9:4f","aa:f4:48:06:50:48","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"9","8.141679962","66","aa:f4:48:06:50:48","de:3e:94:b2:a9:4f","172.20.0.2","172.20.0.3","TCP","4433 → 60452 [ACK] Seq=1 Ack=463 Win=64768 Len=0 TSval=1329734385 TSecr=1138818590"
"10","8.142424375","736","aa:f4:48:06:50:48","de:3e:94:b2:a9:4f","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"11","8.142472389","66","de:3e:94:b2:a9:4f","aa:f4:48:06:50:48","172.20.0.3","172.20.0.2","TCP","60452 → 4433 [ACK] Seq=463 Ack=671 Win=63616 Len=0 TSval=1138818590 TSecr=1329734385"
"12","8.143239559","146","de:3e:94:b2:a9:4f","aa:f4:48:06:50:48","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"13","8.143296085","66","de:3e:94:b2:a9:4f","aa:f4:48:06:50:48","172.20.0.3","172.20.0.2","TCP","60452 → 4433 [RST, ACK] Seq=543 Ack=671 Win=63616 Len=0 TSval=1138818591 TSecr=1329734385"
"14","8.157595701","74","de:3e:94:b2:a9:4f","aa:f4:48:06:50:48","172.20.0.3","172.20.0.2","TCP","60468 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1138818606 TSecr=0 WS=128"
"15","8.157631883","74","aa:f4:48:06:50:48","de:3e:94:b2:a9:4f","172.20.0.2","172.20.0.3","TCP","4433 → 60468 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1329734401 TSecr=1138818606 WS=128"
"16","8.157658971","66","de:3e:94:b2:a9:4f","aa:f4:48:06:50:48","172.20.0.3","172.20.0.2","TCP","60468 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1138818606 TSecr=1329734401"
"17","8.157714407","528","de:3e:94:b2:a9:4f","aa:f4:48:06:50:48","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"18","8.157735452","66","aa:f4:48:06:50:48","de:3e:94:b2:a9:4f","172.20.0.2","172.20.0.3","TCP","4433 → 60468 [ACK] Seq=1 Ack=463 Win=64768 Len=0 TSval=1329734401 TSecr=1138818606"
"19","8.158294288","736","aa:f4:48:06:50:48","de:3e:94:b2:a9:4f","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"20","8.158315903","66","de:3e:94:b2:a9:4f","aa:f4:48:06:50:48","172.20.0.3","172.20.0.2","TCP","60468 → 4433 [ACK] Seq=463 Ack=671 Win=63616 Len=0 TSval=1138818606 TSecr=1329734401"
"21","8.159559614","146","de:3e:94:b2:a9:4f","aa:f4:48:06:50:48","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"22","8.159634960","66","de:3e:94:b2:a9:4f","aa:f4:48:06:50:48","172.20.0.3","172.20.0.2","TCP","60468 → 4433 [RST, ACK] Seq=543 Ack=671 Win=63616 Len=0 TSval=1138818608 TSecr=1329734401"
