frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","fe:71:62:34:47:3b","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.031596884","42","fe:71:62:34:47:3b","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.031620561","42","d2:70:80:a4:39:07","fe:71:62:34:47:3b",,,"ARP","172.20.0.2 is at d2:70:80:a4:39:07"
"4","0.031627848","74","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TCP","59376 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1139154817 TSecr=0 WS=128"
"5","0.031647775","74","d2:70:80:a4:39:07","fe:71:62:34:47:3b","172.20.0.2","172.20.0.3","TCP","4433 → 59376 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1330070612 TSecr=1139154817 WS=128"
"6","0.031671072","66","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TCP","59376 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1139154817 TSecr=1330070612"
"7","0.031713327","1320","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.031717949","66","d2:70:80:a4:39:07","fe:71:62:34:47:3b","172.20.0.2","172.20.0.3","TCP","4433 → 59376 [ACK] Seq=1 Ack=1255 Win=64128 Len=0 TSval=1330070612 TSecr=1139154817"
"9","0.033340537","1504","d2:70:80:a4:39:07","fe:71:62:34:47:3b","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.033387705","66","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TCP","59376 → 4433 [ACK] Seq=1255 Ack=1439 Win=64128 Len=0 TSval=1139154819 TSecr=1330070614"
"11","0.034457828","146","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.034516336","66","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TCP","59376 → 4433 [RST, ACK] Seq=1335 Ack=1439 Win=64128 Len=0 TSval=1139154820 TSecr=1330070614"
"13","0.046455348","74","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TCP","59390 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1139154832 TSecr=0 WS=128"
"14","0.046479913","74","d2:70:80:a4:39:07","fe:71:62:34:47:3b","172.20.0.2","172.20.0.3","TCP","4433 → 59390 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1330070627 TSecr=1139154832 WS=128"
"15","0.046497627","66","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TCP","59390 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1139154832 TSecr=1330070627"
"16","0.046538639","1320","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"17","0.046544817","66","d2:70:80:a4:39:07","fe:71:62:34:47:3b","172.20.0.2","172.20.0.3","TCP","4433 → 59390 [ACK] Seq=1 Ack=1255 Win=64128 Len=0 TSval=1330070627 TSecr=1139154832"
"18","0.047516730","1504","d2:70:80:a4:39:07","fe:71:62:34:47:3b","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"19","0.047558931","66","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TCP","59390 → 4433 [ACK] Seq=1255 Ack=1439 Win=64128 Len=0 TSval=1139154833 TSecr=1330070628"
"20","0.048628899","146","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"21","0.048695466","66","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TCP","59390 → 4433 [RST, ACK] Seq=1335 Ack=1439 Win=64128 Len=0 TSval=1139154834 TSecr=1330070628"
"22","0.063487665","74","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TCP","59392 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1139154849 TSecr=0 WS=128"
"23","0.063520634","74","d2:70:80:a4:39:07","fe:71:62:34:47:3b","172.20.0.2","172.20.0.3","TCP","4433 → 59392 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1330070644 TSecr=1139154849 WS=128"
"24","0.063545157","66","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TCP","59392 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1139154849 TSecr=1330070644"
"25","0.063602056","1320","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"26","0.063607939","66","d2:70:80:a4:39:07","fe:71:62:34:47:3b","172.20.0.2","172.20.0.3","TCP","4433 → 59392 [ACK] Seq=1 Ack=1255 Win=64128 Len=0 TSval=1330070644 TSecr=1139154849"
"27","0.064234412","1504","d2:70:80:a4:39:07","fe:71:62:34:47:3b","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"28","0.064264800","66","fe:71:62:34:47:3b","d2:70:80:a4:39:07","172.20.0.3","172.20.0.2","TCP","59392 → 4433 [ACK] Seq=1255 Ack=1439 Win=64128 Len=0 TSval=1139154850 TSecr=1330070645"
