frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","f2:7a:ed:6c:fa:7d","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.032332803","42","f2:7a:ed:6c:fa:7d","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.032368836","42","4a:48:67:35:9c:d2","f2:7a:ed:6c:fa:7d",,,"ARP","172.20.0.2 is at 4a:48:67:35:9c:d2"
"4","0.032378125","74","f2:7a:ed:6c:fa:7d","4a:48:67:35:9c:d2","172.20.0.3","172.20.0.2","TCP","47876 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1142606873 TSecr=0 WS=128"
"5","0.032399105","74","4a:48:67:35:9c:d2","f2:7a:ed:6c:fa:7d","172.20.0.2","172.20.0.3","TCP","4433 → 47876 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1333522669 TSecr=1142606873 WS=128"
"6","0.032414699","66","f2:7a:ed:6c:fa:7d","4a:48:67:35:9c:d2","172.20.0.3","172.20.0.2","TCP","47876 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1142606874 TSecr=1333522669"
"7","0.032460812","552","f2:7a:ed:6c:fa:7d","4a:48:67:35:9c:d2","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.032465976","66","4a:48:67:35:9c:d2","f2:7a:ed:6c:fa:7d","172.20.0.2","172.20.0.3","TCP","4433 → 47876 [ACK] Seq=1 Ack=487 Win=64768 Len=0 TSval=1333522669 TSecr=1142606874"
"9","0.035054835","924","4a:48:67:35:9c:d2","f2:7a:ed:6c:fa:7d","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.035089909","66","f2:7a:ed:6c:fa:7d","4a:48:67:35:9c:d2","172.20.0.3","172.20.0.2","TCP","47876 → 4433 [ACK] Seq=487 Ack=859 Win=63488 Len=0 TSval=1142606876 TSecr=1333522671"
"11","0.037756335","146","f2:7a:ed:6c:fa:7d","4a:48:67:35:9c:d2","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
