frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","b6:e2:45:b4:bc:4b","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.033460393","42","b6:e2:45:b4:bc:4b","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.033482086","42","ee:40:49:2b:b6:b7","b6:e2:45:b4:bc:4b",,,"ARP","172.20.0.2 is at ee:40:49:2b:b6:b7"
"4","0.033487952","74","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TCP","51264 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1143210081 TSecr=0 WS=128"
"5","0.033508063","74","ee:40:49:2b:b6:b7","b6:e2:45:b4:bc:4b","172.20.0.2","172.20.0.3","TCP","4433 → 51264 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1334125877 TSecr=1143210081 WS=128"
"6","0.033524947","66","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TCP","51264 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1143210082 TSecr=1334125877"
"7","0.033563474","629","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.033568070","66","ee:40:49:2b:b6:b7","b6:e2:45:b4:bc:4b","172.20.0.2","172.20.0.3","TCP","4433 → 51264 [ACK] Seq=1 Ack=564 Win=64640 Len=0 TSval=1334125877 TSecr=1143210082"
"9","0.042473129","1108","ee:40:49:2b:b6:b7","b6:e2:45:b4:bc:4b","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.042529927","66","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TCP","51264 → 4433 [ACK] Seq=564 Ack=1043 Win=64128 Len=0 TSval=1143210091 TSecr=1334125886"
"11","0.050486443","146","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.050566996","66","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TCP","51264 → 4433 [RST, ACK] Seq=644 Ack=1043 Win=64128 Len=0 TSval=1143210099 TSecr=1334125886"
"13","0.064475925","74","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TCP","51270 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1143210112 TSecr=0 WS=128"
"14","0.064501733","74","ee:40:49:2b:b6:b7","b6:e2:45:b4:bc:4b","172.20.0.2","172.20.0.3","TCP","4433 → 51270 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1334125908 TSecr=1143210112 WS=128"
"15","0.064521200","66","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TCP","51270 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1143210113 TSecr=1334125908"
"16","0.064559320","629","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"17","0.064565328","66","ee:40:49:2b:b6:b7","b6:e2:45:b4:bc:4b","172.20.0.2","172.20.0.3","TCP","4433 → 51270 [ACK] Seq=1 Ack=564 Win=64640 Len=0 TSval=1334125908 TSecr=1143210113"
"18","0.072497973","1109","ee:40:49:2b:b6:b7","b6:e2:45:b4:bc:4b","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"19","0.072538311","66","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TCP","51270 → 4433 [ACK] Seq=564 Ack=1044 Win=64128 Len=0 TSval=1143210121 TSecr=1334125916"
"20","0.080488285","146","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"21","0.080557722","66","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TCP","51270 → 4433 [RST, ACK] Seq=644 Ack=1044 Win=64128 Len=0 TSval=1143210129 TSecr=1334125916"
"22","0.094960891","74","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TCP","51284 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1143210143 TSecr=0 WS=128"
"23","0.094985043","74","ee:40:49:2b:b6:b7","b6:e2:45:b4:bc:4b","172.20.0.2","172.20.0.3","TCP","4433 → 51284 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1334125938 TSecr=1143210143 WS=128"
"24","0.095000342","66","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TCP","51284 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1143210143 TSecr=1334125938"
"25","0.095040430","629","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"26","0.095044837","66","ee:40:49:2b:b6:b7","b6:e2:45:b4:bc:4b","172.20.0.2","172.20.0.3","TCP","4433 → 51284 [ACK] Seq=1 Ack=564 Win=64640 Len=0 TSval=1334125938 TSecr=1143210143"
"27","0.108648270","1107","ee:40:49:2b:b6:b7","b6:e2:45:b4:bc:4b","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"28","0.108709892","66","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TCP","51284 → 4433 [ACK] Seq=564 Ack=1042 Win=64128 Len=0 TSval=1143210157 TSecr=1334125952"
"29","0.116564015","146","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"30","0.116652721","66","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TCP","51284 → 4433 [RST, ACK] Seq=644 Ack=1042 Win=64128 Len=0 TSval=1143210165 TSecr=1334125952"
"31","0.131032026","74","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TCP","51298 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1143210179 TSecr=0 WS=128"
"32","0.131056711","74","ee:40:49:2b:b6:b7","b6:e2:45:b4:bc:4b","172.20.0.2","172.20.0.3","TCP","4433 → 51298 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1334125974 TSecr=1143210179 WS=128"
"33","0.131072848","66","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TCP","51298 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1143210179 TSecr=1334125974"
"34","0.131112288","629","b6:e2:45:b4:bc:4b","ee:40:49:2b:b6:b7","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
