frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","8a:b3:61:7b:c2:15","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.031534075","42","8a:b3:61:7b:c2:15","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.031555335","42","46:b9:0b:60:57:17","8a:b3:61:7b:c2:15",,,"ARP","172.20.0.2 is at 46:b9:0b:60:57:17"
"4","0.031562038","74","8a:b3:61:7b:c2:15","46:b9:0b:60:57:17","172.20.0.3","172.20.0.2","TCP","44556 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1143452662 TSecr=0 WS=128"
"5","0.031582340","74","46:b9:0b:60:57:17","8a:b3:61:7b:c2:15","172.20.0.2","172.20.0.3","TCP","4433 → 44556 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1334368457 TSecr=1143452662 WS=128"
"6","0.031600195","66","8a:b3:61:7b:c2:15","46:b9:0b:60:57:17","172.20.0.3","172.20.0.2","TCP","44556 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1143452662 TSecr=1334368457"
"7","0.031652378","2056","8a:b3:61:7b:c2:15","46:b9:0b:60:57:17","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.031657860","66","46:b9:0b:60:57:17","8a:b3:61:7b:c2:15","172.20.0.2","172.20.0.3","TCP","4433 → 44556 [ACK] Seq=1 Ack=1991 Win=64128 Len=0 TSval=1334368457 TSecr=1143452662"
"9","0.035527739","2542","46:b9:0b:60:57:17","8a:b3:61:7b:c2:15","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.035574925","66","8a:b3:61:7b:c2:15","46:b9:0b:60:57:17","172.20.0.3","172.20.0.2","TCP","44556 → 4433 [ACK] Seq=1991 Ack=2477 Win=64128 Len=0 TSval=1143452666 TSecr=1334368461"
"11","0.040730762","146","8a:b3:61:7b:c2:15","46:b9:0b:60:57:17","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.040808885","66","8a:b3:61:7b:c2:15","46:b9:0b:60:57:17","172.20.0.3","172.20.0.2","TCP","44556 → 4433 [RST, ACK] Seq=2071 Ack=2477 Win=64128 Len=0 TSval=1143452671 TSecr=1334368461"
"13","0.052671595","74","8a:b3:61:7b:c2:15","46:b9:0b:60:57:17","172.20.0.3","172.20.0.2","TCP","44562 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1143452683 TSecr=0 WS=128"
