frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","fa:35:21:08:95:e1","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.034778416","42","fa:35:21:08:95:e1","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.034802190","42","36:5d:bc:ac:12:b1","fa:35:21:08:95:e1",,,"ARP","172.20.0.2 is at 36:5d:bc:ac:12:b1"
"4","0.034810188","74","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47204 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1143342714 TSecr=0 WS=128"
"5","0.034831644","74","36:5d:bc:ac:12:b1","fa:35:21:08:95:e1","172.20.0.2","172.20.0.3","TCP","4433 → 47204 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1334258509 TSecr=1143342714 WS=128"
"6","0.034847033","66","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47204 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1143342714 TSecr=1334258509"
"7","0.034896965","2189","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.034901823","66","36:5d:bc:ac:12:b1","fa:35:21:08:95:e1","172.20.0.2","172.20.0.3","TCP","4433 → 47204 [ACK] Seq=1 Ack=2124 Win=64128 Len=0 TSval=1334258509 TSecr=1143342714"
"9","0.049584220","2677","36:5d:bc:ac:12:b1","fa:35:21:08:95:e1","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.049634924","66","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47204 → 4433 [ACK] Seq=2124 Ack=2612 Win=64128 Len=0 TSval=1143342729 TSecr=1334258524"
"11","0.059228732","146","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.059330124","66","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47204 → 4433 [RST, ACK] Seq=2204 Ack=2612 Win=64128 Len=0 TSval=1143342739 TSecr=1334258524"
"13","0.075405905","74","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47206 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1143342755 TSecr=0 WS=128"
"14","0.075433069","74","36:5d:bc:ac:12:b1","fa:35:21:08:95:e1","172.20.0.2","172.20.0.3","TCP","4433 → 47206 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1334258550 TSecr=1143342755 WS=128"
"15","0.075455203","66","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47206 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1143342755 TSecr=1334258550"
"16","0.075501162","2189","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"17","0.075507029","66","36:5d:bc:ac:12:b1","fa:35:21:08:95:e1","172.20.0.2","172.20.0.3","TCP","4433 → 47206 [ACK] Seq=1 Ack=2124 Win=64128 Len=0 TSval=1334258550 TSecr=1143342755"
"18","0.087595324","2676","36:5d:bc:ac:12:b1","fa:35:21:08:95:e1","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"19","0.087633686","66","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47206 → 4433 [ACK] Seq=2124 Ack=2611 Win=64128 Len=0 TSval=1143342767 TSecr=1334258562"
"20","0.096738010","146","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"21","0.096815035","66","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47206 → 4433 [RST, ACK] Seq=2204 Ack=2611 Win=64128 Len=0 TSval=1143342776 TSecr=1334258562"
"22","0.112885917","74","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47208 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1143342792 TSecr=0 WS=128"
"23","0.112909657","74","36:5d:bc:ac:12:b1","fa:35:21:08:95:e1","172.20.0.2","172.20.0.3","TCP","4433 → 47208 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1334258587 TSecr=1143342792 WS=128"
"24","0.112928273","66","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47208 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1143342792 TSecr=1334258587"
"25","0.112974486","2189","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"26","0.112980407","66","36:5d:bc:ac:12:b1","fa:35:21:08:95:e1","172.20.0.2","172.20.0.3","TCP","4433 → 47208 [ACK] Seq=1 Ack=2124 Win=64128 Len=0 TSval=1334258587 TSecr=1143342792"
"27","0.124680932","2676","36:5d:bc:ac:12:b1","fa:35:21:08:95:e1","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"28","0.124714497","66","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47208 → 4433 [ACK] Seq=2124 Ack=2611 Win=64128 Len=0 TSval=1143342804 TSecr=1334258599"
"29","0.133571563","146","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"30","0.133638343","66","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47208 → 4433 [RST, ACK] Seq=2204 Ack=2611 Win=64128 Len=0 TSval=1143342813 TSecr=1334258599"
"31","0.149072297","74","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47224 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1143342828 TSecr=0 WS=128"
"32","0.149097902","74","36:5d:bc:ac:12:b1","fa:35:21:08:95:e1","172.20.0.2","172.20.0.3","TCP","4433 → 47224 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1334258623 TSecr=1143342828 WS=128"
"33","0.149115288","66","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47224 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1143342828 TSecr=1334258623"
"34","0.149154604","2189","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"35","0.149160119","66","36:5d:bc:ac:12:b1","fa:35:21:08:95:e1","172.20.0.2","172.20.0.3","TCP","4433 → 47224 [ACK] Seq=1 Ack=2124 Win=64128 Len=0 TSval=1334258623 TSecr=1143342828"
"36","0.160951230","2677","36:5d:bc:ac:12:b1","fa:35:21:08:95:e1","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"37","0.160996224","66","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47224 → 4433 [ACK] Seq=2124 Ack=2612 Win=64128 Len=0 TSval=1143342840 TSecr=1334258635"
"38","0.170083323","146","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"39","0.170153079","66","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47224 → 4433 [RST, ACK] Seq=2204 Ack=2612 Win=64128 Len=0 TSval=1143342849 TSecr=1334258635"
"40","0.186212719","74","fa:35:21:08:95:e1","36:5d:bc:ac:12:b1","172.20.0.3","172.20.0.2","TCP","47232 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1143342865 TSecr=0 WS=128"
