P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
9.67,6.13,19.45,7.34,6.07
9.3,6.17,15.86,6.71,6.97
8.84,7.41,15.95,11.32,5.63
8.95,6.12,17.41,9.43,7.3
9.74,5.79,15.74,7.51,5.11
9.87,6.22,15.74,7.8,5.19
9.32,7.21,15.6,7.15,5.24
9.83,6.03,16.24,8.16,5.03
9.29,6.1,15.88,7.82,6.15
8.92,6.09,15.36,8.35,5.05
8.92,7.97,15.56,7.49,5.76
8.52,6.22,15.46,6.77,5.47
8.52,6.17,18.04,6.54,5.14
8.64,5.83,17.84,6.9,5.09
8.74,7.32,16.23,7.16,5.15
8.77,5.47,17.64,6.81,5.15
8.42,5.81,15.98,6.83,4.97
8.37,5.74,16.46,7.11,5.49
8.67,6.69,15.97,7.98,5.56
12.96,6.08,15.53,6.7,5.26
11.74,5.68,15.48,6.98,5.34
8.79,6.67,18.22,6.96,5.33
8.89,6.09,22.58,6.71,5.33
8.68,6.34,15.61,6.87,5.21
8.52,9.04,15.77,6.51,5.17
8.41,5.86,15.96,6.93,5.14
8.6,5.89,18.05,7.41,5.5
8.39,6.06,16.1,6.71,5.05
8.99,6.8,16.27,6.54,5.3
8.84,6.15,16.08,6.71,5.13
8.43,6.47,16.06,8.25,6.0
8.51,5.76,16.49,9.22,6.44
8.45,6.36,15.8,6.56,5.07
8.8,8.19,16.1,6.51,5.53
9.06,6.14,16.91,6.29,5.67
8.6,6.96,16.82,7.21,5.21
9.46,6.49,15.73,6.79,5.82
8.62,6.32,16.02,6.52,7.03
828.16,6.29,1038.77,6.44,5.09
8.87,6.34,15.99,8.2,5.32
8.93,5.81,18.52,6.72,5.28
8.65,6.69,16.14,6.77,5.19
8.88,7.21,1059.3,6.63,5.29
9.21,5.9,15.41,9.59,5.39
8.85,6.65,15.96,9.41,1229.01
8.93,6.62,15.6,8.64,5.06
8.79,213.99,19.78,6.69,5.1
1061.37,1046.76,16.89,6.62,1032.38
13.16,5.56,16.83,6.68,5.17
1047.1,5.52,16.56,6.52,5.42
9.28,8.03,16.67,1043.36,7.03
9.11,1228.99,16.79,6.85,4.94
10.75,5.79,16.99,6.81,7.23
9.07,1043.21,16.74,6.81,6.21
1061.67,211.15,15.95,6.53,5.45
9.63,5.64,223.83,9.83,5.23
8.5,5.63,16.17,6.84,5.34
1039.38,5.6,16.6,6.61,5.14
8.86,213.94,1036.74,6.57,214.12
8.77,5.55,18.64,6.76,6.27
8.85,213.99,16.19,6.46,6.11
9.21,7.05,17.63,6.58,4.95
1066.62,5.6,16.67,7.07,420.74
1226.08,5.63,16.36,7.65,5.05
8.81,1062.1,17.47,1036.74,5.86
9.03,5.71,18.06,8.86,5.49
8.9,1059.81,16.46,1059.26,4.97
213.4,7.11,1045.38,10.78,4.91
8.68,6.05,15.93,7.72,8.81
8.87,6.38,15.92,1040.28,5.3
9.92,7.37,16.3,10.26,5.02
8.71,5.79,16.7,217.26,5.3
8.71,209.59,18.27,6.51,8.93
9.84,5.67,16.65,6.63,5.39
1457.14,7.12,19.49,6.53,6.14
10.07,5.5,18.48,1030.97,5.15
8.8,5.74,17.27,7.03,5.2
8.72,1021.07,1020.47,6.89,8.07
8.88,7.47,15.86,6.89,4.69
8.92,1056.32,16.16,8.04,4.47
1221.26,6.54,1026.71,1068.57,5.09
1065.61,5.6,19.94,6.67,4.81
8.84,6.83,24.54,7.72,4.69
9.01,5.74,1070.82,7.06,4.62
8.86,5.83,17.03,6.74,217.25
9.02,5.76,1246.2,1070.53,4.84
8.76,8.01,17.73,1013.14,1031.81
8.66,6.14,17.67,6.88,4.96
1029.79,6.33,17.57,6.83,4.67
9.05,5.79,18.6,6.76,4.53
11.09,1024.26,17.74,6.71,4.6
11.98,5.42,1055.26,215.47,7.66
8.75,5.46,16.95,12.2,5.25
8.81,5.64,16.48,6.66,4.9
1246.76,210.89,16.54,6.66,5.09
8.82,1269.43,16.8,7.38,4.89
8.83,6.47,17.04,10.19,4.84
8.64,5.8,17.06,6.62,4.86
214.89,6.54,17.95,9.49,4.95
213.98,210.3,20.05,8.62,1017.21
213.13,5.66,17.56,7.43,5.47
1041.76,6.98,17.1,6.64,5.13
8.55,210.15,17.62,215.02,5.23
8.67,6.55,18.05,12.21,5.19
8.81,6.28,16.96,9.23,8.48
1023.39,5.93,16.65,6.66,214.73
9.21,5.86,18.02,7.06,7.07
1057.02,209.69,17.42,7.4,5.08
9.13,211.16,16.68,7.41,5.2
212.71,5.49,18.18,8.34,7.05
422.87,5.54,17.52,7.08,7.31
13.05,7.04,17.41,6.89,7.03
9.35,5.47,1081.8,8.02,8.09
1056.08,5.49,19.6,8.67,5.55
218.81,5.62,17.8,7.77,8.5
1037.72,5.5,17.9,6.77,5.84
9.33,7.64,1045.56,6.86,5.27
8.83,5.7,18.41,1062.27,5.03
8.95,5.85,17.33,8.21,5.03
8.83,5.52,16.95,6.9,5.07
8.98,5.74,17.49,6.55,5.67
