P-521,p521_mlkem1024,mlkem1024
20.19,30.79,9.81
18.99,27.22,8.95
24.78,26.55,9.29
19.56,26.8,8.98
21.78,27.04,9.13
22.03,26.64,9.93
19.69,26.94,11.69
19.66,32.67,14.05
20.05,29.14,11.67
20.22,27.79,10.89
19.03,27.38,8.94
22.55,27.59,8.96
24.42,27.92,9.28
18.24,27.58,10.63
28.32,27.41,8.9
18.65,27.2,8.88
22.84,26.82,8.72
21.74,33.45,9.1
18.53,27.82,9.09
19.52,30.75,9.82
19.17,28.05,10.77
18.93,27.91,9.49
18.94,27.43,9.02
19.41,1075.66,10.06
18.31,31.74,9.27
20.77,27.73,8.97
19.97,27.66,11.39
18.53,31.25,10.54
20.27,26.76,10.71
18.65,27.01,11.56
19.06,30.52,10.27
19.51,28.67,10.07
20.46,28.66,9.09
22.82,28.8,8.87
23.78,30.36,8.96
32.02,28.03,8.94
23.23,33.8,8.94
25.3,27.78,1062.43
20.09,27.51,13.0
19.6,28.75,12.59
1079.86,28.78,9.17
18.95,31.63,8.94
19.01,35.29,11.51
23.11,31.63,1029.53
19.3,38.87,8.99
20.77,26.87,9.17
19.94,26.75,9.19
19.29,28.24,13.36
222.31,4624.7,8.82
18.36,240.78,8.93
24.64,31.23,8.81
20.18,31.67,8.65
222.34,31.62,9.03
221.99,33.86,9.16
18.55,1092.02,13.28
23.91,28.32,9.01
27.02,28.06,9.55
18.45,28.56,13.03
18.79,27.68,9.42
18.77,31.75,9.94
18.65,26.42,11.18
18.64,27.88,9.41
18.91,27.08,9.68
221.65,27.73,1065.17
20.82,26.99,12.21
18.79,28.39,10.06
19.02,27.4,9.31
25.95,28.07,11.12
18.19,27.65,8.86
19.36,31.83,1036.26
228.71,37.66,9.76
21.67,30.6,14.12
19.43,28.64,9.66
22.05,34.19,9.96
19.93,28.66,11.28
18.89,33.06,9.33
19.43,30.37,9.57
18.62,28.94,11.01
18.24,29.59,13.19
18.43,1071.53,11.67
18.45,30.78,10.11
1064.81,30.05,9.86
19.4,27.26,1069.66
18.68,240.43,8.86
4648.64,26.71,12.35
20.25,32.14,9.72
22.48,27.32,11.98
20.41,26.57,9.27
19.54,26.68,14.1
19.27,27.03,11.37
18.86,26.72,10.37
18.66,1076.22,9.69
19.13,28.01,1065.05
19.3,27.05,9.86
1055.82,1063.23,9.25
21.05,26.82,1036.1
220.59,26.76,10.16
1070.63,26.73,9.26
18.19,26.56,9.35
18.36,27.14,222.42
21.66,29.9,9.15
19.36,27.53,8.78
19.09,31.72,8.9
222.14,29.05,220.27
20.67,27.81,8.78
19.14,1080.48,9.9
20.38,1084.13,10.64
19.53,234.12,10.78
19.32,30.64,10.1
25.81,28.31,1041.15
20.42,29.1,11.63
26.0,27.86,10.76
22.35,1051.39,12.58
19.87,28.1,8.97
20.88,26.96,9.53
20.76,27.31,9.63
20.51,27.01,9.35
19.52,26.99,1056.99
18.47,27.7,8.68
22.05,28.1,13.46
18.52,26.88,9.09
19.84,26.79,11.84
21.09,27.22,9.16
19.82,27.63,8.88
19.35,27.55,8.45
19.95,31.86,8.97
21.16,26.77,9.49
19.73,27.64,9.34
1082.2,31.44,8.93
20.11,28.23,8.77
21.5,30.52,12.9
19.14,29.64,13.22
1044.64,30.36,9.05
19.25,28.59,8.51
22.29,29.05,8.38
19.26,30.88,1051.85
226.91,1079.85,9.19
20.24,31.1,8.93
22.78,27.16,8.75
20.12,27.79,8.47
20.43,1082.51,12.96
24.74,27.75,9.34
20.58,27.7,9.47
26.66,27.61,9.59
26.45,27.31,12.27
28.03,28.03,8.85
29.81,1282.24,10.64
20.86,29.03,9.79
19.63,29.46,11.48
19.8,30.76,15.44
18.73,29.02,8.58
20.42,29.23,8.82
18.59,27.59,1069.31
20.1,27.56,9.14
22.93,27.81,8.88
20.24,31.08,15.25
19.97,1233.47,8.79
20.56,27.73,9.28
18.81,27.68,11.32
26.8,28.55,9.02
19.04,1288.56,11.0
18.93,27.95,12.69
19.85,33.35,8.84
22.23,28.07,1059.8
21.33,31.56,8.97
20.77,38.51,9.02
19.66,33.67,8.94
20.24,29.1,9.0
21.61,27.78,8.99
20.32,33.77,8.84
1068.16,28.96,10.5
1075.04,28.65,8.96
1078.97,1044.49,8.71
18.63,29.16,8.75
20.66,28.14,8.65
1081.54,27.02,8.77
18.53,27.7,8.74
1043.66,36.6,8.8
25.57,26.8,8.78
220.53,27.57,9.07
18.69,28.57,11.7
19.16,33.57,8.68
18.5,27.83,8.75
18.99,28.1,8.86
18.88,37.16,10.15
1045.0,28.09,9.1
18.34,31.16,8.74
434.51,27.97,8.97
18.48,28.79,8.81
20.31,33.12,12.3
222.89,30.89,9.13
18.21,34.97,1069.15
18.12,31.77,9.97
18.18,29.22,9.61
18.38,1035.74,8.97
23.89,37.97,8.93
18.89,38.49,9.1
1029.51,29.95,9.93
220.87,30.49,9.36
1038.31,27.35,219.65
221.46,27.0,9.29
20.52,27.53,10.82
20.44,28.93,8.9
224.99,33.9,9.17
19.48,30.04,9.74
18.55,1030.34,8.82
18.45,28.22,8.86
18.35,1248.73,9.04
18.99,31.71,8.85
1044.09,30.11,9.67
20.14,28.67,8.87
18.34,27.27,8.77
19.24,27.18,9.1
19.13,28.09,9.35
