Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
1,9.67,412.0,1705.0,2117.0,,6.13,412.0,1622.0,2034.0,,19.45,412.0,3969.0,4381.0,,7.34,412.0,3886.0,4298.0,,6.07,412.0,3773.0,4185.0
2,9.3,412.0,1704.0,2116.0,,6.17,412.0,1622.0,2034.0,,15.86,412.0,3968.0,4380.0,,6.71,412.0,3886.0,4298.0,,6.97,412.0,3774.0,4186.0
3,8.84,412.0,1703.0,2115.0,,7.41,412.0,1621.0,2033.0,,15.95,412.0,3967.0,4379.0,,11.32,412.0,3887.0,4299.0,,5.63,412.0,3774.0,4186.0
4,8.95,412.0,1703.0,2115.0,,6.12,412.0,1623.0,2035.0,,17.41,412.0,3968.0,4380.0,,9.43,412.0,3885.0,4297.0,,7.3,412.0,3774.0,4186.0
5,9.74,412.0,1704.0,2116.0,,5.79,412.0,1622.0,2034.0,,15.74,412.0,3968.0,4380.0,,7.51,412.0,3886.0,4298.0,,5.11,412.0,3775.0,4187.0
6,9.87,412.0,1703.0,2115.0,,6.22,412.0,1622.0,2034.0,,15.74,412.0,3968.0,4380.0,,7.8,412.0,3887.0,4299.0,,5.19,412.0,3774.0,4186.0
7,9.32,412.0,1703.0,2115.0,,7.21,412.0,1622.0,2034.0,,15.6,412.0,3968.0,4380.0,,7.15,412.0,3886.0,4298.0,,5.24,412.0,3774.0,4186.0
8,9.83,412.0,1703.0,2115.0,,6.03,412.0,1622.0,2034.0,,16.24,412.0,3968.0,4380.0,,8.16,412.0,3887.0,4299.0,,5.03,412.0,3774.0,4186.0
9,9.29,412.0,1704.0,2116.0,,6.1,412.0,1623.0,2035.0,,15.88,412.0,3968.0,4380.0,,7.82,412.0,3886.0,4298.0,,6.15,412.0,3773.0,4185.0
10,8.92,412.0,1704.0,2116.0,,6.09,412.0,1622.0,2034.0,,15.36,412.0,3968.0,4380.0,,8.35,412.0,3887.0,4299.0,,5.05,412.0,3774.0,4186.0
11,8.92,412.0,1704.0,2116.0,,7.97,412.0,1623.0,2035.0,,15.56,412.0,3968.0,4380.0,,7.49,412.0,3886.0,4298.0,,5.76,412.0,3774.0,4186.0
12,8.52,412.0,1704.0,2116.0,,6.22,412.0,1621.0,2033.0,,15.46,412.0,3968.0,4380.0,,6.77,412.0,3886.0,4298.0,,5.47,412.0,3775.0,4187.0
