frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","16:39:72:0f:c3:3f","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.032646901","42","16:39:72:0f:c3:3f","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.032677948","42","3e:75:64:7d:c2:53","16:39:72:0f:c3:3f",,,"ARP","172.20.0.2 is at 3e:75:64:7d:c2:53"
"4","0.032703647","74","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58622 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2185854095 TSecr=0 WS=128"
"5","0.032728394","74","3e:75:64:7d:c2:53","16:39:72:0f:c3:3f","172.20.0.2","172.20.0.3","TCP","4433 → 58622 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2880425025 TSecr=2185854095 WS=128"
"6","0.032747086","66","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58622 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2185854095 TSecr=2880425025"
"7","0.032786050","528","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.032792656","66","3e:75:64:7d:c2:53","16:39:72:0f:c3:3f","172.20.0.2","172.20.0.3","TCP","4433 → 58622 [ACK] Seq=1 Ack=463 Win=64768 Len=0 TSval=2880425025 TSecr=2185854095"
"9","0.033753360","736","3e:75:64:7d:c2:53","16:39:72:0f:c3:3f","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.033803593","66","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58622 → 4433 [ACK] Seq=463 Ack=671 Win=63616 Len=0 TSval=2185854096 TSecr=2880425026"
"11","0.035338587","146","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.035444356","66","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58622 → 4433 [RST, ACK] Seq=543 Ack=671 Win=63616 Len=0 TSval=2185854098 TSecr=2880425026"
"13","0.047080797","74","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58630 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2185854109 TSecr=0 WS=128"
"14","1.001515478","42","16:39:72:0f:c3:3f","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"15","1.070283842","74","3e:75:64:7d:c2:53","16:39:72:0f:c3:3f","172.20.0.2","172.20.0.3","TCP","4433 → 58630 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2880426063 TSecr=2185854109 WS=128"
"16","1.070301510","74","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","[TCP Retransmission] 58630 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2185855133 TSecr=0 WS=128"
"17","1.070317735","74","3e:75:64:7d:c2:53","16:39:72:0f:c3:3f","172.20.0.2","172.20.0.3","TCP","[TCP Out-Of-Order] 4433 → 58630 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2880426063 TSecr=2185854109 WS=128"
"18","1.070353758","66","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58630 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2185855133 TSecr=2880426063"
"19","1.070378467","66","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","[TCP Dup ACK 18#1] 58630 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2185855133 TSecr=2880426063"
"20","1.070426810","528","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"21","1.070433614","66","3e:75:64:7d:c2:53","16:39:72:0f:c3:3f","172.20.0.2","172.20.0.3","TCP","4433 → 58630 [ACK] Seq=1 Ack=463 Win=64768 Len=0 TSval=2880426063 TSecr=2185855133"
"22","1.070977964","736","3e:75:64:7d:c2:53","16:39:72:0f:c3:3f","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"23","1.071009734","66","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58630 → 4433 [ACK] Seq=463 Ack=671 Win=63616 Len=0 TSval=2185855133 TSecr=2880426063"
"24","1.071931004","146","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"25","1.071988909","66","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58630 → 4433 [RST, ACK] Seq=543 Ack=671 Win=63616 Len=0 TSval=2185855134 TSecr=2880426063"
"26","1.083141888","74","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58638 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2185855145 TSecr=0 WS=128"
"27","1.083170918","74","3e:75:64:7d:c2:53","16:39:72:0f:c3:3f","172.20.0.2","172.20.0.3","TCP","4433 → 58638 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2880426075 TSecr=2185855145 WS=128"
"28","1.083189562","66","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58638 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2185855145 TSecr=2880426075"
"29","1.083236207","528","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"30","1.083242833","66","3e:75:64:7d:c2:53","16:39:72:0f:c3:3f","172.20.0.2","172.20.0.3","TCP","4433 → 58638 [ACK] Seq=1 Ack=463 Win=64768 Len=0 TSval=2880426076 TSecr=2185855145"
"31","1.083708217","736","3e:75:64:7d:c2:53","16:39:72:0f:c3:3f","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"32","1.083737312","66","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58638 → 4433 [ACK] Seq=463 Ack=671 Win=63616 Len=0 TSval=2185855146 TSecr=2880426076"
"33","1.084598756","146","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"34","1.084673732","66","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58638 → 4433 [RST, ACK] Seq=543 Ack=671 Win=63616 Len=0 TSval=2185855147 TSecr=2880426076"
"35","1.094998455","74","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58648 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2185855157 TSecr=0 WS=128"
"36","1.095023570","74","3e:75:64:7d:c2:53","16:39:72:0f:c3:3f","172.20.0.2","172.20.0.3","TCP","4433 → 58648 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2880426087 TSecr=2185855157 WS=128"
"37","1.095037636","66","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58648 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2185855157 TSecr=2880426087"
"38","1.095071840","528","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"39","1.095077031","66","3e:75:64:7d:c2:53","16:39:72:0f:c3:3f","172.20.0.2","172.20.0.3","TCP","4433 → 58648 [ACK] Seq=1 Ack=463 Win=64768 Len=0 TSval=2880426087 TSecr=2185855157"
"40","1.095474217","736","3e:75:64:7d:c2:53","16:39:72:0f:c3:3f","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"41","1.095497836","66","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58648 → 4433 [ACK] Seq=463 Ack=671 Win=63616 Len=0 TSval=2185855158 TSecr=2880426088"
"42","1.096245275","146","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"43","1.096296646","66","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58648 → 4433 [RST, ACK] Seq=543 Ack=671 Win=63616 Len=0 TSval=2185855159 TSecr=2880426088"
"44","1.106124240","74","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","58658 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2185855168 TSecr=0 WS=128"
"45","2.001002094","42","16:39:72:0f:c3:3f","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"46","2.158302727","74","16:39:72:0f:c3:3f","3e:75:64:7d:c2:53","172.20.0.3","172.20.0.2","TCP","[TCP Retransmission] 58658 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2185856221 TSecr=0 WS=128"
"47","2.158318490","74","3e:75:64:7d:c2:53","16:39:72:0f:c3:3f","172.20.0.2","172.20.0.3","TCP","4433 → 58658 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2880427151 TSecr=2185855168 WS=128"
