Handshake_ID,P-384_Time_ms,P-384_Bytes_TCP,P-384_Bytes_TLS,P-384_Bytes_Total,4,x448_Time_ms,x448_Bytes_TCP,x448_Bytes_TLS,x448_Bytes_Total,9,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_TCP,p384_mlkem768_Bytes_TLS,p384_mlkem768_Bytes_Total,14,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_TCP,x448_mlkem768_Bytes_TLS,x448_mlkem768_Bytes_Total,19,mlkem768_Time_ms,mlkem768_Bytes_TCP,mlkem768_Bytes_TLS,mlkem768_Bytes_Total
1,1015.66,412.0,1702.0,2114.0,,1051.61,412.0,1620.0,2032.0,,1068.53,552.0,4031.0,4583.0,,1241.65,692.0,3949.0,4641.0,,2049.99,412.0,3773.0,4185.0
2,8.85,412.0,1703.0,2115.0,,211.66,412.0,1621.0,2033.0,,1074.31,552.0,4033.0,4585.0,,7.51,412.0,3885.0,4297.0,,8.56,2004.0,2323.0,4327.0
3,8.5,346.0,1701.0,2047.0,,7.23,346.0,1619.0,1965.0,,1483.57,626.0,4031.0,4657.0,,6.74,412.0,3884.0,4296.0,,5.33,346.0,3772.0,4118.0
4,8.47,412.0,1702.0,2114.0,,6.15,346.0,1620.0,1966.0,,15.64,745.0,3967.0,4712.0,,11.04,2004.0,2435.0,4439.0,,213.98,478.0,3838.0,4316.0
5,8.55,412.0,1702.0,2114.0,,5.84,346.0,1620.0,1966.0,,15.72,412.0,3966.0,4378.0,,7.14,412.0,3884.0,4296.0,,4.99,412.0,3771.0,4183.0
6,9.02,412.0,1703.0,2115.0,,6.35,412.0,1619.0,2031.0,,15.34,412.0,3965.0,4377.0,,1049.62,552.0,3951.0,4503.0,,5.06,412.0,3772.0,4184.0
7,9.18,346.0,1703.0,2049.0,,6.08,412.0,1620.0,2032.0,,16.22,412.0,3966.0,4378.0,,7.46,346.0,3885.0,4231.0,,1039.13,552.0,3838.0,4390.0
8,8.99,412.0,1701.0,2113.0,,1021.3,626.0,1620.0,2246.0,,1275.61,552.0,4033.0,4585.0,,7.39,412.0,3884.0,4296.0,,5.25,412.0,3771.0,4183.0
9,8.74,412.0,1702.0,2114.0,,1218.84,626.0,1620.0,2246.0,,1268.15,552.0,4033.0,4585.0,,1037.3,692.0,3951.0,4643.0,,7.53,412.0,3772.0,4184.0
10,8.66,346.0,1702.0,2048.0,,6.99,412.0,1619.0,2031.0,,16.0,412.0,3966.0,4378.0,,6.54,412.0,3884.0,4296.0,,1243.84,704.0,3838.0,4542.0
11,8.76,412.0,1702.0,2114.0,,5.96,412.0,1621.0,2033.0,,15.51,412.0,3965.0,4377.0,,6.62,346.0,3884.0,4230.0,,5.6,412.0,3772.0,4184.0
12,1219.26,626.0,1702.0,2328.0,,7.83,412.0,1620.0,2032.0,,19.48,2004.0,2517.0,4521.0,,6.81,412.0,3885.0,4297.0,,5.13,346.0,3773.0,4119.0
13,8.87,412.0,1702.0,2114.0,,5.52,346.0,1621.0,1967.0,,1052.45,692.0,4032.0,4724.0,,6.6,412.0,3884.0,4296.0,,4.89,412.0,3771.0,4183.0
14,219.66,412.0,1701.0,2113.0,,1053.4,626.0,1620.0,2246.0,,23.88,2004.0,2519.0,4523.0,,6.51,412.0,3884.0,4296.0,,8.57,2004.0,2324.0,4328.0
15,8.92,412.0,1703.0,2115.0,,5.55,412.0,1619.0,2031.0,,18.19,745.0,3967.0,4712.0,,1055.38,552.0,3950.0,4502.0,,4.96,412.0,3772.0,4184.0
16,8.97,412.0,1702.0,2114.0,,5.33,412.0,1620.0,2032.0,,16.18,412.0,3967.0,4379.0,,1217.86,692.0,3949.0,4641.0,,4.7,412.0,3771.0,4183.0
17,210.72,1083.0,1701.0,2784.0,,5.38,412.0,1621.0,2033.0,,225.96,2004.0,2518.0,4522.0,,6.66,412.0,3885.0,4297.0,,4.78,412.0,3773.0,4185.0
18,1064.99,486.0,1702.0,2188.0,,5.54,412.0,1619.0,2031.0,,16.0,745.0,3967.0,4712.0,,6.72,346.0,3883.0,4229.0,,4.92,412.0,3771.0,4183.0
19,1012.5,626.0,1702.0,2328.0,,2034.62,560.0,1620.0,2180.0,,16.31,412.0,3966.0,4378.0,,1030.29,692.0,3950.0,4642.0,,8.46,2004.0,2324.0,4328.0
20,8.8,412.0,1703.0,2115.0,,5.39,412.0,1620.0,2032.0,,17.13,745.0,3966.0,4711.0,,6.95,412.0,3884.0,4296.0,,212.04,2510.0,1818.0,4328.0
21,421.41,412.0,1703.0,2115.0,,211.46,412.0,1620.0,2032.0,,16.79,412.0,3965.0,4377.0,,14.0,2004.0,2436.0,4440.0,,5.0,412.0,3771.0,4183.0
22,8.63,346.0,1703.0,2049.0,,1031.37,560.0,1620.0,2180.0,,19.17,745.0,3966.0,4711.0,,9.52,412.0,3884.0,4296.0,,4.96,412.0,3773.0,4185.0
23,8.85,346.0,1702.0,2048.0,,1015.59,626.0,1620.0,2246.0,,20.62,412.0,3967.0,4379.0,,11.56,2218.0,2437.0,4655.0,,5.31,412.0,3772.0,4184.0
24,215.17,412.0,1701.0,2113.0,,1008.06,560.0,1621.0,2181.0,,16.57,667.0,3966.0,4633.0,,7.66,412.0,3885.0,4297.0,,5.07,412.0,3773.0,4185.0
25,8.94,412.0,1701.0,2113.0,,5.24,412.0,1619.0,2031.0,,17.04,412.0,3965.0,4377.0,,11.1,412.0,3884.0,4296.0,,1218.01,692.0,3837.0,4529.0
26,11.39,412.0,1702.0,2114.0,,5.29,412.0,1619.0,2031.0,,15.92,412.0,3966.0,4378.0,,9.37,412.0,3884.0,4296.0,,5.12,346.0,3773.0,4119.0
27,211.0,412.0,1703.0,2115.0,,5.61,412.0,1620.0,2032.0,,16.95,745.0,3966.0,4711.0,,10.07,412.0,3884.0,4296.0,,4.92,412.0,3773.0,4185.0
28,212.75,412.0,1701.0,2113.0,,5.25,346.0,1621.0,1967.0,,16.29,412.0,3967.0,4379.0,,7.36,412.0,3885.0,4297.0,,8.55,2746.0,1818.0,4564.0
29,8.98,412.0,1703.0,2115.0,,1014.35,626.0,1620.0,2246.0,,1071.58,692.0,4033.0,4725.0,,7.25,346.0,3885.0,4231.0,,1217.68,2078.0,2324.0,4402.0
30,8.87,412.0,1701.0,2113.0,,5.34,412.0,1621.0,2033.0,,222.61,2337.0,2518.0,4855.0,,4825.52,2078.0,2437.0,4515.0,,5.02,412.0,3772.0,4184.0
31,9.05,412.0,1702.0,2114.0,,5.25,412.0,1619.0,2031.0,,15.93,412.0,3966.0,4378.0,,6.44,412.0,3884.0,4296.0,,5.0,412.0,3771.0,4183.0
32,9.41,346.0,1703.0,2049.0,,1046.49,560.0,1620.0,2180.0,,1071.93,692.0,4033.0,4725.0,,6.5,412.0,3884.0,4296.0,,1237.58,704.0,3838.0,4542.0
33,212.03,939.0,1702.0,2641.0,,210.78,412.0,1621.0,2033.0,,16.26,412.0,3966.0,4378.0,,6.35,412.0,3884.0,4296.0,,5.24,412.0,3771.0,4183.0
34,9.31,346.0,1701.0,2047.0,,5.35,412.0,1620.0,2032.0,,15.87,745.0,3965.0,4710.0,,6.33,412.0,3884.0,4296.0,,1047.87,626.0,3838.0,4464.0
35,8.98,412.0,1702.0,2114.0,,5.46,412.0,1621.0,2033.0,,15.49,412.0,3965.0,4377.0,,6.39,412.0,3883.0,4295.0,,5.5,412.0,3772.0,4184.0
36,421.07,412.0,1702.0,2114.0,,5.25,412.0,1620.0,2032.0,,17.06,412.0,3966.0,4378.0,,6.63,412.0,3884.0,4296.0,,5.27,412.0,3772.0,4184.0
37,8.73,346.0,1702.0,2048.0,,5.43,412.0,1620.0,2032.0,,16.68,412.0,3965.0,4377.0,,8.22,412.0,3884.0,4296.0,,5.01,346.0,3771.0,4117.0
38,8.77,412.0,1701.0,2113.0,,5.38,412.0,1620.0,2032.0,,15.96,745.0,3966.0,4711.0,,10.27,2218.0,2437.0,4655.0,,6.73,346.0,3772.0,4118.0
39,9.07,412.0,1703.0,2115.0,,213.65,412.0,1620.0,2032.0,,16.18,412.0,3966.0,4378.0,,6.91,412.0,3885.0,4297.0,,1274.63,552.0,3839.0,4391.0
40,8.73,412.0,1701.0,2113.0,,213.0,412.0,1620.0,2032.0,,225.87,478.0,4031.0,4509.0,,6.98,412.0,3885.0,4297.0,,7.91,412.0,3771.0,4183.0
41,8.45,346.0,1701.0,2047.0,,6.53,412.0,1619.0,2031.0,,25.94,2004.0,2518.0,4522.0,,6.7,412.0,3884.0,4296.0,,5.83,412.0,3772.0,4184.0
42,213.37,412.0,1703.0,2115.0,,5.35,412.0,1621.0,2033.0,,16.08,412.0,3966.0,4378.0,,6.83,412.0,3884.0,4296.0,,8.44,346.0,3771.0,4117.0
43,8.8,346.0,1702.0,2048.0,,6.61,412.0,1620.0,2032.0,,16.75,667.0,3966.0,4633.0,,7.3,412.0,3884.0,4296.0,,5.91,346.0,3771.0,4117.0
44,1266.32,560.0,1701.0,2261.0,,5.23,412.0,1620.0,2032.0,,16.51,412.0,3966.0,4378.0,,1228.94,692.0,3951.0,4643.0,,9.99,2747.0,1818.0,4565.0
45,8.85,346.0,1702.0,2048.0,,212.57,412.0,1620.0,2032.0,,16.36,412.0,3966.0,4378.0,,6.87,412.0,3885.0,4297.0,,212.47,2004.0,2324.0,4328.0
46,8.43,412.0,1702.0,2114.0,,5.51,412.0,1620.0,2032.0,,16.39,412.0,3965.0,4377.0,,1048.79,692.0,3951.0,4643.0,,6.44,412.0,3772.0,4184.0
47,9.56,346.0,1702.0,2048.0,,1047.31,626.0,1620.0,2246.0,,1049.1,552.0,4031.0,4583.0,,6.93,346.0,3885.0,4231.0,,5.11,412.0,3772.0,4184.0
48,8.61,412.0,1702.0,2114.0,,211.25,412.0,1620.0,2032.0,,16.16,412.0,3965.0,4377.0,,1058.46,692.0,3951.0,4643.0,,5.3,412.0,3772.0,4184.0
49,8.46,346.0,1702.0,2048.0,,5.48,412.0,1619.0,2031.0,,16.0,412.0,3966.0,4378.0,,1013.29,692.0,3951.0,4643.0,,8.85,2004.0,2323.0,4327.0
50,8.88,412.0,1703.0,2115.0,,420.5,412.0,1621.0,2033.0,,1022.57,626.0,4031.0,4657.0,,6.36,412.0,3884.0,4296.0,,1048.31,552.0,3837.0,4389.0
51,8.62,412.0,1702.0,2114.0,,5.3,412.0,1621.0,2033.0,,1076.78,692.0,4033.0,4725.0,,6.31,412.0,3884.0,4296.0,,5.11,346.0,3772.0,4118.0
52,8.48,412.0,1703.0,2115.0,,5.48,412.0,1619.0,2031.0,,15.95,412.0,3966.0,4378.0,,6.2,412.0,3885.0,4297.0,,4.88,412.0,3773.0,4185.0
53,422.64,412.0,1701.0,2113.0,,5.33,346.0,1620.0,1966.0,,16.19,412.0,3967.0,4379.0,,6.46,412.0,3883.0,4295.0,,4.95,412.0,3771.0,4183.0
54,8.75,412.0,1702.0,2114.0,,213.61,412.0,1620.0,2032.0,,16.08,412.0,3966.0,4378.0,,6.33,412.0,3883.0,4295.0,,4.95,412.0,3773.0,4185.0
55,8.78,412.0,1702.0,2114.0,,5.57,346.0,1621.0,1967.0,,1060.92,692.0,4032.0,4724.0,,7.39,412.0,3884.0,4296.0,,4.98,346.0,3772.0,4118.0
56,1431.03,420.0,1703.0,2123.0,,5.41,412.0,1620.0,2032.0,,1076.89,692.0,4031.0,4723.0,,6.67,412.0,3884.0,4296.0,,4.83,412.0,3771.0,4183.0
57,8.89,412.0,1702.0,2114.0,,5.17,412.0,1619.0,2031.0,,17.32,412.0,3967.0,4379.0,,6.31,412.0,3884.0,4296.0,,5.31,346.0,3772.0,4118.0
