P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
1015.66,1051.61,1068.53,1241.65,2049.99
8.85,211.66,1074.31,7.51,8.56
8.5,7.23,1483.57,6.74,5.33
8.47,6.15,15.64,11.04,213.98
8.55,5.84,15.72,7.14,4.99
9.02,6.35,15.34,1049.62,5.06
9.18,6.08,16.22,7.46,1039.13
8.99,1021.3,1275.61,7.39,5.25
8.74,1218.84,1268.15,1037.3,7.53
8.66,6.99,16.0,6.54,1243.84
8.76,5.96,15.51,6.62,5.6
1219.26,7.83,19.48,6.81,5.13
8.87,5.52,1052.45,6.6,4.89
219.66,1053.4,23.88,6.51,8.57
8.92,5.55,18.19,1055.38,4.96
8.97,5.33,16.18,1217.86,4.7
210.72,5.38,225.96,6.66,4.78
1064.99,5.54,16.0,6.72,4.92
1012.5,2034.62,16.31,1030.29,8.46
8.8,5.39,17.13,6.95,212.04
421.41,211.46,16.79,14.0,5.0
8.63,1031.37,19.17,9.52,4.96
8.85,1015.59,20.62,11.56,5.31
215.17,1008.06,16.57,7.66,5.07
8.94,5.24,17.04,11.1,1218.01
11.39,5.29,15.92,9.37,5.12
211.0,5.61,16.95,10.07,4.92
212.75,5.25,16.29,7.36,8.55
8.98,1014.35,1071.58,7.25,1217.68
8.87,5.34,222.61,4825.52,5.02
9.05,5.25,15.93,6.44,5.0
9.41,1046.49,1071.93,6.5,1237.58
212.03,210.78,16.26,6.35,5.24
9.31,5.35,15.87,6.33,1047.87
8.98,5.46,15.49,6.39,5.5
421.07,5.25,17.06,6.63,5.27
8.73,5.43,16.68,8.22,5.01
8.77,5.38,15.96,10.27,6.73
9.07,213.65,16.18,6.91,1274.63
8.73,213.0,225.87,6.98,7.91
8.45,6.53,25.94,6.7,5.83
213.37,5.35,16.08,6.83,8.44
8.8,6.61,16.75,7.3,5.91
1266.32,5.23,16.51,1228.94,9.99
8.85,212.57,16.36,6.87,212.47
8.43,5.51,16.39,1048.79,6.44
9.56,1047.31,1049.1,6.93,5.11
8.61,211.25,16.16,1058.46,5.3
8.46,5.48,16.0,1013.29,8.85
8.88,420.5,1022.57,6.36,1048.31
8.62,5.3,1076.78,6.31,5.11
8.48,5.48,15.95,6.2,4.88
422.64,5.33,16.19,6.46,4.95
8.75,213.61,16.08,6.33,4.95
8.78,5.57,1060.92,7.39,4.98
