P-521,p521_mlkem1024,mlkem1024
2092.65,30.95,219.61
18.63,1068.23,9.71
18.52,31.12,9.23
225.71,33.4,11.9
18.45,27.38,9.2
18.17,1280.0,9.18
21.2,28.32,626.94
1278.17,1088.54,1261.0
18.5,27.25,12.8
19.04,26.64,8.79
1065.91,27.98,12.06
18.18,27.09,8.77
19.58,27.38,8.77
18.37,27.68,1229.94
18.74,27.29,9.06
1655.07,1477.69,8.85
222.26,1253.12,11.13
436.92,27.3,8.91
18.74,27.62,8.78
19.56,31.5,1234.5
230.71,28.99,9.05
19.32,1033.83,8.55
224.25,3127.41,8.66
18.23,30.47,8.6
840.82,34.24,8.77
21.09,28.98,8.67
21.35,29.4,8.79
19.52,29.1,4644.67
18.39,1055.82,8.99
19.73,1075.96,8.99
18.47,31.57,9.02
1070.01,28.99,214.45
1067.57,27.63,1044.88
18.97,27.85,13.09
18.91,1242.55,8.94
18.98,27.21,9.01
1051.59,31.38,12.62
18.99,26.9,1056.07
19.04,27.25,9.14
18.75,1033.38,8.98
18.22,27.22,8.68
1024.69,1046.95,9.18
227.06,1068.1,8.85
1030.16,27.63,1035.98
18.55,28.83,8.8
18.73,27.98,8.69
1079.76,1291.43,8.75
18.27,27.24,8.81
224.26,30.71,1064.29
18.55,27.68,1013.13
19.21,239.03,1013.41
18.78,27.35,9.06
427.91,27.43,9.27
19.11,27.55,8.87
19.59,27.31,2246.48
432.93,27.47,9.13
19.13,32.19,9.19
19.38,1240.83,8.96
18.19,27.33,218.35
18.4,27.27,8.85
18.93,31.13,13.49
19.4,27.11,12.85
19.41,33.86,9.87
18.66,26.9,9.09
18.76,26.82,9.15
18.65,26.32,9.21
1019.88,26.3,1072.05
220.32,26.55,8.93
18.89,26.58,8.97
1071.68,26.7,9.38
19.01,28.05,9.07
18.39,26.59,9.12
1079.54,30.06,9.19
220.51,30.15,1223.13
18.48,26.39,14.62
18.02,26.18,13.96
18.23,1076.48,1217.04
24.92,4866.32,8.92
18.58,26.52,8.84
18.56,26.48,8.77
17.83,26.53,8.79
17.8,30.14,1463.94
18.77,29.9,9.25
18.15,27.15,1233.63
18.16,26.83,8.9
227.08,1055.11,217.24
18.46,26.43,1072.13
2048.11,27.07,8.89
221.0,30.68,8.96
18.12,26.74,8.84
18.71,27.39,8.99
228.42,1077.69,12.09
428.36,27.21,9.18
18.14,27.78,8.76
1041.74,27.71,8.96
1077.28,2113.56,9.09
18.17,1076.24,1023.25
