frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","6e:d1:f8:73:f0:b3","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.032216793","42","6e:d1:f8:73:f0:b3","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.032248928","42","da:0a:fd:8e:e0:a3","6e:d1:f8:73:f0:b3",,,"ARP","172.20.0.2 is at da:0a:fd:8e:e0:a3"
"4","0.032257607","74","6e:d1:f8:73:f0:b3","da:0a:fd:8e:e0:a3","172.20.0.3","172.20.0.2","TCP","49384 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182383282 TSecr=0 WS=128"
"5","0.032284491","74","da:0a:fd:8e:e0:a3","6e:d1:f8:73:f0:b3","172.20.0.2","172.20.0.3","TCP","4433 → 49384 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2876954212 TSecr=2182383282 WS=128"
"6","0.032308247","66","6e:d1:f8:73:f0:b3","da:0a:fd:8e:e0:a3","172.20.0.3","172.20.0.2","TCP","49384 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182383282 TSecr=2876954212"
"7","0.032375338","1320","6e:d1:f8:73:f0:b3","da:0a:fd:8e:e0:a3","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.032386111","66","da:0a:fd:8e:e0:a3","6e:d1:f8:73:f0:b3","172.20.0.2","172.20.0.3","TCP","4433 → 49384 [ACK] Seq=1 Ack=1255 Win=64128 Len=0 TSval=2876954212 TSecr=2182383282"
"9","0.033620305","1504","da:0a:fd:8e:e0:a3","6e:d1:f8:73:f0:b3","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.033665732","66","6e:d1:f8:73:f0:b3","da:0a:fd:8e:e0:a3","172.20.0.3","172.20.0.2","TCP","49384 → 4433 [ACK] Seq=1255 Ack=1439 Win=64128 Len=0 TSval=2182383283 TSecr=2876954213"
"11","0.034774439","146","6e:d1:f8:73:f0:b3","da:0a:fd:8e:e0:a3","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
