frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","4e:d5:dc:4e:3a:eb","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.031041200","42","4e:d5:dc:4e:3a:eb","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.031066562","42","aa:fb:4c:c5:9a:b1","4e:d5:dc:4e:3a:eb",,,"ARP","172.20.0.2 is at aa:fb:4c:c5:9a:b1"
"4","0.031073318","74","4e:d5:dc:4e:3a:eb","aa:fb:4c:c5:9a:b1","172.20.0.3","172.20.0.2","TCP","48100 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182656641 TSecr=0 WS=128"
"5","0.031090879","74","aa:fb:4c:c5:9a:b1","4e:d5:dc:4e:3a:eb","172.20.0.2","172.20.0.3","TCP","4433 → 48100 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877227571 TSecr=2182656641 WS=128"
"6","0.031104411","66","4e:d5:dc:4e:3a:eb","aa:fb:4c:c5:9a:b1","172.20.0.3","172.20.0.2","TCP","48100 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182656641 TSecr=2877227571"
"7","0.031146773","552","4e:d5:dc:4e:3a:eb","aa:fb:4c:c5:9a:b1","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.031150939","66","aa:fb:4c:c5:9a:b1","4e:d5:dc:4e:3a:eb","172.20.0.2","172.20.0.3","TCP","4433 → 48100 [ACK] Seq=1 Ack=487 Win=64768 Len=0 TSval=2877227571 TSecr=2182656641"
"9","0.033454951","922","aa:fb:4c:c5:9a:b1","4e:d5:dc:4e:3a:eb","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.033487233","66","4e:d5:dc:4e:3a:eb","aa:fb:4c:c5:9a:b1","172.20.0.3","172.20.0.2","TCP","48100 → 4433 [ACK] Seq=487 Ack=857 Win=63488 Len=0 TSval=2182656643 TSecr=2877227573"
"11","0.036124873","146","4e:d5:dc:4e:3a:eb","aa:fb:4c:c5:9a:b1","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.036180192","66","4e:d5:dc:4e:3a:eb","aa:fb:4c:c5:9a:b1","172.20.0.3","172.20.0.2","TCP","48100 → 4433 [RST, ACK] Seq=567 Ack=857 Win=64000 Len=0 TSval=2182656646 TSecr=2877227573"
"13","0.047533171","74","4e:d5:dc:4e:3a:eb","aa:fb:4c:c5:9a:b1","172.20.0.3","172.20.0.2","TCP","48108 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2182656657 TSecr=0 WS=128"
"14","0.047565004","74","aa:fb:4c:c5:9a:b1","4e:d5:dc:4e:3a:eb","172.20.0.2","172.20.0.3","TCP","4433 → 48108 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2877227587 TSecr=2182656657 WS=128"
"15","0.047583335","66","4e:d5:dc:4e:3a:eb","aa:fb:4c:c5:9a:b1","172.20.0.3","172.20.0.2","TCP","48108 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2182656657 TSecr=2877227587"
"16","0.047626186","552","4e:d5:dc:4e:3a:eb","aa:fb:4c:c5:9a:b1","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"17","0.047631998","66","aa:fb:4c:c5:9a:b1","4e:d5:dc:4e:3a:eb","172.20.0.2","172.20.0.3","TCP","4433 → 48108 [ACK] Seq=1 Ack=487 Win=64768 Len=0 TSval=2877227587 TSecr=2182656657"
"18","0.049629558","923","aa:fb:4c:c5:9a:b1","4e:d5:dc:4e:3a:eb","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"19","0.049661743","66","4e:d5:dc:4e:3a:eb","aa:fb:4c:c5:9a:b1","172.20.0.3","172.20.0.2","TCP","48108 → 4433 [ACK] Seq=487 Ack=858 Win=63488 Len=0 TSval=2182656659 TSecr=2877227589"
"20","0.052497490","146","4e:d5:dc:4e:3a:eb","aa:fb:4c:c5:9a:b1","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"21","0.052557806","66","4e:d5:dc:4e:3a:eb","aa:fb:4c:c5:9a:b1","172.20.0.3","172.20.0.2","TCP","48108 → 4433 [RST, ACK] Seq=567 Ack=858 Win=64000 Len=0 TSval=2182656662 TSecr=2877227589"
