frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","70","26:d3:60:e8:4f:5d","33:33:00:00:00:02",,,"ICMPv6","Router Solicitation from 26:d3:60:e8:4f:5d"
"2","3.791324199","239","26:d3:60:e8:4f:5d","33:33:00:00:00:fb",,,"MDNS","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR MONTE-VIRTUAL-MACHINE._smb._tcp.local"
"3","12.836714606","42","e2:77:57:12:26:f2","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"4","12.875098233","42","e2:77:57:12:26:f2","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"5","12.875126737","42","22:3f:52:62:81:d3","e2:77:57:12:26:f2",,,"ARP","172.20.0.2 is at 22:3f:52:62:81:d3"
"6","12.875133832","74","e2:77:57:12:26:f2","22:3f:52:62:81:d3","172.20.0.3","172.20.0.2","TCP","58004 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2184216680 TSecr=0 WS=128"
"7","12.875155876","74","22:3f:52:62:81:d3","e2:77:57:12:26:f2","172.20.0.2","172.20.0.3","TCP","4433 → 58004 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2878787610 TSecr=2184216680 WS=128"
"8","12.875173854","66","e2:77:57:12:26:f2","22:3f:52:62:81:d3","172.20.0.3","172.20.0.2","TCP","58004 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2184216680 TSecr=2878787610"
"9","12.875213146","629","e2:77:57:12:26:f2","22:3f:52:62:81:d3","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"10","12.875219364","66","22:3f:52:62:81:d3","e2:77:57:12:26:f2","172.20.0.2","172.20.0.3","TCP","4433 → 58004 [ACK] Seq=1 Ack=564 Win=64640 Len=0 TSval=2878787610 TSecr=2184216680"
"11","12.884140165","1111","22:3f:52:62:81:d3","e2:77:57:12:26:f2","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"12","12.884186686","66","e2:77:57:12:26:f2","22:3f:52:62:81:d3","172.20.0.3","172.20.0.2","TCP","58004 → 4433 [ACK] Seq=564 Ack=1046 Win=64128 Len=0 TSval=2184216689 TSecr=2878787619"
