Handshake_ID,P-521_Time_ms,P-521_Bytes_TCP,P-521_Bytes_TLS,P-521_Bytes_Total,4,p521_mlkem1024_Time_ms,p521_mlkem1024_Bytes_TCP,p521_mlkem1024_Bytes_TLS,p521_mlkem1024_Bytes_Total,9,mlkem1024_Time_ms,mlkem1024_Bytes_TCP,mlkem1024_Bytes_TLS,mlkem1024_Bytes_Total
1,19.34,412.0,1886.0,2298.0,,30.13,412.0,5014.0,5426.0,,9.36,412.0,4747.0,5159.0
2,22.23,412.0,1885.0,2297.0,,27.78,412.0,5014.0,5426.0,,15.21,412.0,4748.0,5160.0
3,18.49,412.0,1885.0,2297.0,,30.3,412.0,5014.0,5426.0,,10.29,412.0,4748.0,5160.0
4,1067.24,626.0,1885.0,2511.0,,1029.94,692.0,5079.0,5771.0,,11.32,412.0,4748.0,5160.0
5,18.43,412.0,1886.0,2298.0,,26.54,412.0,5014.0,5426.0,,9.61,412.0,4748.0,5160.0
6,18.79,412.0,1885.0,2297.0,,31.85,412.0,5014.0,5426.0,,8.92,412.0,4748.0,5160.0
7,19.65,412.0,1886.0,2298.0,,31.14,2004.0,3566.0,5570.0,,8.79,412.0,4748.0,5160.0
8,18.34,412.0,1886.0,2298.0,,26.63,412.0,5013.0,5425.0,,8.55,412.0,4748.0,5160.0
9,18.61,412.0,1886.0,2298.0,,26.77,412.0,5012.0,5424.0,,8.55,412.0,4748.0,5160.0
10,1057.35,420.0,1884.0,2304.0,,26.28,412.0,5014.0,5426.0,,8.65,412.0,4748.0,5160.0
11,221.98,412.0,1885.0,2297.0,,31.27,2004.0,3566.0,5570.0,,11.81,2004.0,3300.0,5304.0
12,25.16,412.0,1885.0,2297.0,,26.42,412.0,5014.0,5426.0,,8.54,412.0,4748.0,5160.0
13,18.28,412.0,1886.0,2298.0,,29.69,412.0,5013.0,5425.0,,8.55,412.0,4748.0,5160.0
14,18.05,412.0,1885.0,2297.0,,26.96,412.0,5014.0,5426.0,,11.65,2004.0,3300.0,5304.0
15,22.57,412.0,1886.0,2298.0,,26.68,412.0,5014.0,5426.0,,12.47,2004.0,3300.0,5304.0
16,18.3,412.0,1886.0,2298.0,,26.5,412.0,5014.0,5426.0,,9.08,412.0,4747.0,5159.0
17,1068.9,626.0,1885.0,2511.0,,26.7,412.0,5014.0,5426.0,,9.97,412.0,4748.0,5160.0
18,18.5,412.0,1885.0,2297.0,,26.19,412.0,5014.0,5426.0,,9.06,412.0,4748.0,5160.0
19,18.14,412.0,1884.0,2296.0,,26.5,412.0,5014.0,5426.0,,8.87,412.0,4748.0,5160.0
20,18.42,412.0,1884.0,2296.0,,27.02,412.0,5013.0,5425.0,,8.76,412.0,4747.0,5159.0
21,18.62,412.0,1885.0,2297.0,,26.68,412.0,5013.0,5425.0,,8.68,412.0,4747.0,5159.0
22,18.58,412.0,1886.0,2298.0,,27.07,412.0,5013.0,5425.0,,8.6,412.0,4748.0,5160.0
23,18.14,412.0,1886.0,2298.0,,26.48,412.0,5012.0,5424.0,,9.33,412.0,4748.0,5160.0
24,18.66,346.0,1886.0,2232.0,,34.14,412.0,5014.0,5426.0,,4647.37,626.0,4813.0,5439.0
25,18.3,412.0,1886.0,2298.0,,26.68,412.0,5014.0,5426.0,,8.97,412.0,4747.0,5159.0
26,18.49,412.0,1886.0,2298.0,,28.13,412.0,5014.0,5426.0,,10.11,412.0,4748.0,5160.0
27,18.6,412.0,1886.0,2298.0,,27.66,412.0,5013.0,5425.0,,8.83,412.0,4746.0,5158.0
28,20.15,412.0,1886.0,2298.0,,26.79,412.0,5014.0,5426.0,,8.78,412.0,4748.0,5160.0
29,18.94,412.0,1886.0,2298.0,,30.25,2004.0,3566.0,5570.0,,8.75,412.0,4747.0,5159.0
30,19.25,412.0,1884.0,2296.0,,26.11,412.0,5013.0,5425.0,,9.71,412.0,4748.0,5160.0
31,18.37,412.0,1885.0,2297.0,,26.94,412.0,5014.0,5426.0,,8.71,412.0,4747.0,5159.0
32,19.51,412.0,1886.0,2298.0,,27.76,412.0,5014.0,5426.0,,8.59,412.0,4747.0,5159.0
33,23.13,412.0,1884.0,2296.0,,28.57,412.0,5656.0,6068.0,,8.71,412.0,4748.0,5160.0
34,18.95,412.0,1886.0,2298.0,,33.25,412.0,5014.0,5426.0,,1028.8,692.0,4813.0,5505.0
35,25.08,346.0,1885.0,2231.0,,27.13,412.0,5014.0,5426.0,,9.37,412.0,4747.0,5159.0
36,234.1,412.0,1886.0,2298.0,,26.45,412.0,5014.0,5426.0,,9.3,412.0,4748.0,5160.0
37,18.82,412.0,1885.0,2297.0,,29.98,412.0,5014.0,5426.0,,12.85,2004.0,3300.0,5304.0
38,18.53,412.0,1886.0,2298.0,,27.52,412.0,5014.0,5426.0,,10.61,412.0,4748.0,5160.0
39,1057.2,626.0,1886.0,2512.0,,27.92,412.0,5014.0,5426.0,,10.59,412.0,4747.0,5159.0
40,25.22,412.0,1885.0,2297.0,,30.32,412.0,5013.0,5425.0,,8.81,412.0,4747.0,5159.0
41,19.97,412.0,1885.0,2297.0,,26.27,412.0,5014.0,5426.0,,9.22,412.0,4748.0,5160.0
42,1071.47,486.0,1885.0,2371.0,,1051.39,692.0,5080.0,5772.0,,8.69,412.0,4748.0,5160.0
43,220.41,412.0,2528.0,2940.0,,26.71,412.0,5012.0,5424.0,,9.12,346.0,4748.0,5094.0
44,21.49,412.0,1886.0,2298.0,,27.04,412.0,5013.0,5425.0,,9.46,346.0,4747.0,5093.0
45,22.69,412.0,1886.0,2298.0,,26.82,412.0,5014.0,5426.0,,8.96,412.0,4747.0,5159.0
