frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","72:63:2f:00:6e:a0","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.031321029","42","72:63:2f:00:6e:a0","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.031355221","42","36:43:75:75:d6:1c","72:63:2f:00:6e:a0",,,"ARP","172.20.0.2 is at 36:43:75:75:d6:1c"
"4","0.031361417","74","72:63:2f:00:6e:a0","36:43:75:75:d6:1c","172.20.0.3","172.20.0.2","TCP","33960 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2167526576 TSecr=0 WS=128"
"5","1.001046900","42","72:63:2f:00:6e:a0","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"6","1.035493377","74","36:43:75:75:d6:1c","72:63:2f:00:6e:a0","172.20.0.2","172.20.0.3","TCP","4433 → 33960 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2862098511 TSecr=2167526576 WS=128"
"7","1.035511106","74","72:63:2f:00:6e:a0","36:43:75:75:d6:1c","172.20.0.3","172.20.0.2","TCP","[TCP Retransmission] 33960 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2167527581 TSecr=0 WS=128"
"8","1.035526619","74","36:43:75:75:d6:1c","72:63:2f:00:6e:a0","172.20.0.2","172.20.0.3","TCP","[TCP Retransmission] 4433 → 33960 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2862098511 TSecr=2167526576 WS=128"
"9","1.035564036","66","72:63:2f:00:6e:a0","36:43:75:75:d6:1c","172.20.0.3","172.20.0.2","TCP","33960 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2167527581 TSecr=2862098511"
"10","1.035596769","66","72:63:2f:00:6e:a0","36:43:75:75:d6:1c","172.20.0.3","172.20.0.2","TCP","[TCP Dup ACK 9#1] 33960 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2167527581 TSecr=2862098511"
"11","1.035655254","561","72:63:2f:00:6e:a0","36:43:75:75:d6:1c","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"12","1.035661479","66","36:43:75:75:d6:1c","72:63:2f:00:6e:a0","172.20.0.2","172.20.0.3","TCP","4433 → 33960 [ACK] Seq=1 Ack=496 Win=64768 Len=0 TSval=2862098511 TSecr=2167527581"
"13","1.036609329","769","36:43:75:75:d6:1c","72:63:2f:00:6e:a0","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"14","1.036638940","66","72:63:2f:00:6e:a0","36:43:75:75:d6:1c","172.20.0.3","172.20.0.2","TCP","33960 → 4433 [ACK] Seq=496 Ack=704 Win=63616 Len=0 TSval=2167527582 TSecr=2862098512"
"15","1.037599989","146","72:63:2f:00:6e:a0","36:43:75:75:d6:1c","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"16","1.037669064","66","72:63:2f:00:6e:a0","36:43:75:75:d6:1c","172.20.0.3","172.20.0.2","TCP","33960 → 4433 [RST, ACK] Seq=576 Ack=704 Win=63616 Len=0 TSval=2167527583 TSecr=2862098512"
"17","1.049181089","74","72:63:2f:00:6e:a0","36:43:75:75:d6:1c","172.20.0.3","172.20.0.2","TCP","33966 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2167527594 TSecr=0 WS=128"
"18","1.049210778","74","36:43:75:75:d6:1c","72:63:2f:00:6e:a0","172.20.0.2","172.20.0.3","TCP","4433 → 33966 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2862098524 TSecr=2167527594 WS=128"
"19","1.049227674","66","72:63:2f:00:6e:a0","36:43:75:75:d6:1c","172.20.0.3","172.20.0.2","TCP","33966 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2167527594 TSecr=2862098524"
"20","1.049267137","561","72:63:2f:00:6e:a0","36:43:75:75:d6:1c","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"21","1.049273707","66","36:43:75:75:d6:1c","72:63:2f:00:6e:a0","172.20.0.2","172.20.0.3","TCP","4433 → 33966 [ACK] Seq=1 Ack=496 Win=64768 Len=0 TSval=2862098524 TSecr=2167527594"
"22","1.049802724","769","36:43:75:75:d6:1c","72:63:2f:00:6e:a0","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"23","1.049833266","66","72:63:2f:00:6e:a0","36:43:75:75:d6:1c","172.20.0.3","172.20.0.2","TCP","33966 → 4433 [ACK] Seq=496 Ack=704 Win=63616 Len=0 TSval=2167527595 TSecr=2862098525"
"24","1.050683679","146","72:63:2f:00:6e:a0","36:43:75:75:d6:1c","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"25","1.050742799","66","72:63:2f:00:6e:a0","36:43:75:75:d6:1c","172.20.0.3","172.20.0.2","TCP","33966 → 4433 [RST, ACK] Seq=576 Ack=704 Win=63616 Len=0 TSval=2167527596 TSecr=2862098525"
