frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","70","c6:10:8f:82:35:4b","33:33:00:00:00:02",,,"ICMPv6","Router Solicitation from c6:10:8f:82:35:4b"
"2","8.275604462","239","c6:10:8f:82:35:4b","33:33:00:00:00:fb",,,"MDNS","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR MONTE-VIRTUAL-MACHINE._smb._tcp.local"
"3","9.460759097","42","be:d2:26:69:cb:5b","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"4","9.493877719","42","be:d2:26:69:cb:5b","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"5","9.493909813","42","de:cd:9f:85:27:99","be:d2:26:69:cb:5b",,,"ARP","172.20.0.2 is at de:cd:9f:85:27:99"
"6","9.493916787","74","be:d2:26:69:cb:5b","de:cd:9f:85:27:99","172.20.0.3","172.20.0.2","TCP","35266 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2168621876 TSecr=0 WS=128"
"7","10.461385370","42","be:d2:26:69:cb:5b","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"8","10.494320086","74","de:cd:9f:85:27:99","be:d2:26:69:cb:5b","172.20.0.2","172.20.0.3","TCP","4433 → 35266 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2863193807 TSecr=2168621876 WS=128"
"9","10.494393551","74","be:d2:26:69:cb:5b","de:cd:9f:85:27:99","172.20.0.3","172.20.0.2","TCP","[TCP Retransmission] 35266 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2168622877 TSecr=0 WS=128"
"10","10.494409942","74","de:cd:9f:85:27:99","be:d2:26:69:cb:5b","172.20.0.2","172.20.0.3","TCP","[TCP Out-Of-Order] 4433 → 35266 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2863193807 TSecr=2168621876 WS=128"
"11","10.494445178","66","be:d2:26:69:cb:5b","de:cd:9f:85:27:99","172.20.0.3","172.20.0.2","TCP","35266 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2168622877 TSecr=2863193807"
