frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","86:9a:63:33:da:40","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.030423536","42","86:9a:63:33:da:40","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.030450535","42","0a:4e:2e:b0:80:99","86:9a:63:33:da:40",,,"ARP","172.20.0.2 is at 0a:4e:2e:b0:80:99"
"4","0.030456477","74","86:9a:63:33:da:40","0a:4e:2e:b0:80:99","172.20.0.3","172.20.0.2","TCP","55654 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2168850807 TSecr=0 WS=128"
"5","0.030472910","74","0a:4e:2e:b0:80:99","86:9a:63:33:da:40","172.20.0.2","172.20.0.3","TCP","4433 → 55654 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2863421737 TSecr=2168850807 WS=128"
"6","0.030487640","66","86:9a:63:33:da:40","0a:4e:2e:b0:80:99","172.20.0.3","172.20.0.2","TCP","55654 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2168850807 TSecr=2863421737"
"7","0.030529502","552","86:9a:63:33:da:40","0a:4e:2e:b0:80:99","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.030535777","66","0a:4e:2e:b0:80:99","86:9a:63:33:da:40","172.20.0.2","172.20.0.3","TCP","4433 → 55654 [ACK] Seq=1 Ack=487 Win=64768 Len=0 TSval=2863421737 TSecr=2168850807"
"9","0.032778463","925","0a:4e:2e:b0:80:99","86:9a:63:33:da:40","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.032809562","66","86:9a:63:33:da:40","0a:4e:2e:b0:80:99","172.20.0.3","172.20.0.2","TCP","55654 → 4433 [ACK] Seq=487 Ack=860 Win=63488 Len=0 TSval=2168850809 TSecr=2863421739"
"11","0.035419021","146","86:9a:63:33:da:40","0a:4e:2e:b0:80:99","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.035470829","66","86:9a:63:33:da:40","0a:4e:2e:b0:80:99","172.20.0.3","172.20.0.2","TCP","55654 → 4433 [RST, ACK] Seq=567 Ack=860 Win=64000 Len=0 TSval=2168850812 TSecr=2863421739"
"13","0.046851904","74","86:9a:63:33:da:40","0a:4e:2e:b0:80:99","172.20.0.3","172.20.0.2","TCP","55662 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2168850823 TSecr=0 WS=128"
"14","0.046879240","74","0a:4e:2e:b0:80:99","86:9a:63:33:da:40","172.20.0.2","172.20.0.3","TCP","4433 → 55662 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2863421753 TSecr=2168850823 WS=128"
"15","0.046896996","66","86:9a:63:33:da:40","0a:4e:2e:b0:80:99","172.20.0.3","172.20.0.2","TCP","55662 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2168850823 TSecr=2863421753"
