frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","70","c2:05:a2:cc:9d:cc","33:33:00:00:00:02",,,"ICMPv6","Router Solicitation from c2:05:a2:cc:9d:cc"
"2","7.621026849","239","c2:05:a2:cc:9d:cc","33:33:00:00:00:fb",,,"MDNS","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR MONTE-VIRTUAL-MACHINE._smb._tcp.local"
"3","13.867337378","42","ae:ce:e5:68:ac:e7","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"4","13.897511422","42","ae:ce:e5:68:ac:e7","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"5","13.897535984","42","1e:63:40:13:30:bc","ae:ce:e5:68:ac:e7",,,"ARP","172.20.0.2 is at 1e:63:40:13:30:bc"
"6","13.897543390","74","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","57080 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2169274982 TSecr=0 WS=128"
"7","14.868364929","42","ae:ce:e5:68:ac:e7","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"8","14.911522851","74","1e:63:40:13:30:bc","ae:ce:e5:68:ac:e7","172.20.0.2","172.20.0.3","TCP","4433 → 57080 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2863846927 TSecr=2169274982 WS=128"
"9","14.911551422","74","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","[TCP Retransmission] 57080 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2169275997 TSecr=0 WS=128"
"10","14.911565949","74","1e:63:40:13:30:bc","ae:ce:e5:68:ac:e7","172.20.0.2","172.20.0.3","TCP","[TCP Out-Of-Order] 4433 → 57080 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2863846927 TSecr=2169274982 WS=128"
"11","14.911603120","66","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","57080 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2169275997 TSecr=2863846927"
"12","14.911629934","66","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","[TCP Dup ACK 11#1] 57080 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2169275997 TSecr=2863846927"
"13","14.911699187","1728","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"14","14.911707392","66","1e:63:40:13:30:bc","ae:ce:e5:68:ac:e7","172.20.0.2","172.20.0.3","TCP","4433 → 57080 [ACK] Seq=1 Ack=1663 Win=64128 Len=0 TSval=2863846927 TSecr=2169275997"
"15","15.119500119","565","1e:63:40:13:30:bc","ae:ce:e5:68:ac:e7","172.20.0.2","172.20.0.3","SSL","[TCP Previous segment not captured] , Continuation Data"
"16","15.119548296","78","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","[TCP Dup ACK 11#2] 57080 → 4433 [ACK] Seq=1663 Ack=1 Win=64256 Len=0 TSval=2169276205 TSecr=2863846927 SLE=1449 SRE=1948"
"17","15.119560991","1514","1e:63:40:13:30:bc","ae:ce:e5:68:ac:e7","172.20.0.2","172.20.0.3","TLSv1.3","[TCP Fast Retransmission] , Server Hello, Change Cipher Spec, Application Data"
"18","15.119578402","66","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","57080 → 4433 [ACK] Seq=1663 Ack=1948 Win=64128 Len=0 TSval=2169276205 TSecr=2863847135"
"19","15.122990687","146","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"20","15.123060376","66","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","57080 → 4433 [RST, ACK] Seq=1743 Ack=1948 Win=64128 Len=0 TSval=2169276208 TSecr=2863847135"
"21","15.134425733","74","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","57084 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2169276219 TSecr=0 WS=128"
"22","15.134454217","74","1e:63:40:13:30:bc","ae:ce:e5:68:ac:e7","172.20.0.2","172.20.0.3","TCP","4433 → 57084 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2863847149 TSecr=2169276219 WS=128"
"23","15.134486066","66","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","57084 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2169276220 TSecr=2863847149"
"24","15.134531362","1728","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"25","15.134538168","66","1e:63:40:13:30:bc","ae:ce:e5:68:ac:e7","172.20.0.2","172.20.0.3","TCP","4433 → 57084 [ACK] Seq=1 Ack=1663 Win=64128 Len=0 TSval=2863847150 TSecr=2169276220"
"26","15.137012904","2012","1e:63:40:13:30:bc","ae:ce:e5:68:ac:e7","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"27","15.137060829","66","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","57084 → 4433 [ACK] Seq=1663 Ack=1947 Win=64128 Len=0 TSval=2169276222 TSecr=2863847152"
"28","15.140344855","146","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"29","15.140415652","66","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","57084 → 4433 [RST, ACK] Seq=1743 Ack=1947 Win=64128 Len=0 TSval=2169276225 TSecr=2863847152"
"30","15.151579868","74","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","57096 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2169276237 TSecr=0 WS=128"
"31","15.151609306","74","1e:63:40:13:30:bc","ae:ce:e5:68:ac:e7","172.20.0.2","172.20.0.3","TCP","4433 → 57096 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2863847167 TSecr=2169276237 WS=128"
"32","15.151628302","66","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","57096 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2169276237 TSecr=2863847167"
"33","15.151681104","1728","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"34","15.151687181","66","1e:63:40:13:30:bc","ae:ce:e5:68:ac:e7","172.20.0.2","172.20.0.3","TCP","4433 → 57096 [ACK] Seq=1 Ack=1663 Win=64128 Len=0 TSval=2863847167 TSecr=2169276237"
"35","15.154136707","2013","1e:63:40:13:30:bc","ae:ce:e5:68:ac:e7","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"36","15.154166093","66","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","57096 → 4433 [ACK] Seq=1663 Ack=1948 Win=64128 Len=0 TSval=2169276239 TSecr=2863847169"
"37","15.157359038","146","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"38","15.157423030","66","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","57096 → 4433 [RST, ACK] Seq=1743 Ack=1948 Win=64128 Len=0 TSval=2169276242 TSecr=2863847169"
"39","15.168483280","74","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","35204 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2169276253 TSecr=0 WS=128"
"40","15.168513836","74","1e:63:40:13:30:bc","ae:ce:e5:68:ac:e7","172.20.0.2","172.20.0.3","TCP","4433 → 35204 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2863847184 TSecr=2169276253 WS=128"
"41","15.168534488","66","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","35204 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2169276254 TSecr=2863847184"
"42","15.168593510","1728","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"43","15.172485224","280","ae:ce:e5:68:ac:e7","1e:63:40:13:30:bc","172.20.0.3","172.20.0.2","TCP","[TCP Retransmission] 35204 → 4433 [PSH, ACK] Seq=1449 Ack=1 Win=64256 Len=214 TSval=2169276258 TSecr=2863847184"
