frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","70","5a:1b:15:1e:e5:27","33:33:00:00:00:02",,,"ICMPv6","Router Solicitation from 5a:1b:15:1e:e5:27"
"2","0.260031526","239","5a:1b:15:1e:e5:27","33:33:00:00:00:fb",,,"MDNS","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR MONTE-VIRTUAL-MACHINE._smb._tcp.local"
"3","3.712994177","42","b6:f9:e7:6d:d6:c8","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"4","3.754588154","42","b6:f9:e7:6d:d6:c8","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"5","3.754622336","42","d2:ac:c9:85:7a:ca","b6:f9:e7:6d:d6:c8",,,"ARP","172.20.0.2 is at d2:ac:c9:85:7a:ca"
"6","3.754631378","74","b6:f9:e7:6d:d6:c8","d2:ac:c9:85:7a:ca","172.20.0.3","172.20.0.2","TCP","48646 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2169951431 TSecr=0 WS=128"
"7","3.754652405","74","d2:ac:c9:85:7a:ca","b6:f9:e7:6d:d6:c8","172.20.0.2","172.20.0.3","TCP","4433 → 48646 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2864522361 TSecr=2169951431 WS=128"
"8","3.754674863","66","b6:f9:e7:6d:d6:c8","d2:ac:c9:85:7a:ca","172.20.0.3","172.20.0.2","TCP","48646 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2169951431 TSecr=2864522361"
"9","3.754736534","2189","b6:f9:e7:6d:d6:c8","d2:ac:c9:85:7a:ca","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"10","3.754744890","66","d2:ac:c9:85:7a:ca","b6:f9:e7:6d:d6:c8","172.20.0.2","172.20.0.3","TCP","4433 → 48646 [ACK] Seq=1 Ack=2124 Win=64128 Len=0 TSval=2864522361 TSecr=2169951431"
"11","3.772985078","1230","d2:ac:c9:85:7a:ca","b6:f9:e7:6d:d6:c8","172.20.0.2","172.20.0.3","SSL","[TCP Previous segment not captured] , Continuation Data"
"12","3.773035012","78","b6:f9:e7:6d:d6:c8","d2:ac:c9:85:7a:ca","172.20.0.3","172.20.0.2","TCP","[TCP Dup ACK 8#1] 48646 → 4433 [ACK] Seq=2124 Ack=1 Win=64256 Len=0 TSval=2169951450 TSecr=2864522361 SLE=1449 SRE=2613"
"13","3.773047457","1514","d2:ac:c9:85:7a:ca","b6:f9:e7:6d:d6:c8","172.20.0.2","172.20.0.3","TCP","[TCP Retransmission] 4433 → 48646 [ACK] Seq=1 Ack=2124 Win=64128 Len=1448 TSval=2864522380 TSecr=2169951450"
"14","3.773068133","66","b6:f9:e7:6d:d6:c8","d2:ac:c9:85:7a:ca","172.20.0.3","172.20.0.2","TCP","48646 → 4433 [ACK] Seq=2124 Ack=2613 Win=64128 Len=0 TSval=2169951450 TSecr=2864522380"
