P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
1006.84,2.09,1027.5,204.67,2.73
1.94,1.9,9.37,2.56,2.42
1.93,1.87,8.94,2.49,2.27
1.92,1.95,3714.94,2.25,2.33
2.03,1052.38,1013.77,2.21,2.82
418.37,2.21,1013.44,1003.07,203.81
1043.77,822.92,8.66,1652.4,1054.1
2.01,2.05,7.82,2.51,1013.38
1.92,1.95,8.51,416.28,2.06
2.1,1241.62,7.68,1229.09,2.34
2.63,1.98,8.19,2.57,1258.53
1.98,1047.62,7.63,2.38,2.11
1008.61,210.81,7681.3,2.28,2.23
2.01,1.9,8.33,2.36,824.74
1.99,1.89,8.12,2.3,3077.4
1.98,1.87,12.22,2.31,2.26
1.87,1007.33,8.22,2.36,2.17
1.96,1.9,1057.99,2.41,2.43
2.08,416.0,8.49,2.33,2.11
1062.83,1.93,7.87,2.32,2.13
2.72,209.59,221.0,2.34,1012.24
2.74,1.98,8.18,2073.84,2.17
2.62,1.92,7.97,2.24,2.17
1.91,1.91,8.33,2.37,2.1
2.0,2.22,7.95,2.26,2.33
2.22,1055.57,216.82,1248.0,2.29
2.29,3058.48,8.19,2.37,2.1
1.94,1.91,8.22,2.57,2.21
1.94,1.88,11.94,1450.95,415.53
1.98,1047.58,8.26,2.51,2.18
205.11,1013.6,1061.02,1033.81,2.14
1036.91,1013.6,8.97,2.27,1044.8
1010.02,1.9,7.99,2.31,2.07
2.1,204.17,7.9,2.31,1064.92
415.1,1.91,8.43,2.39,2.12
1.94,417.18,8.52,1234.51,2.04
1009.41,1461.24,8.24,2.49,1.95
2.26,2.05,8.12,1049.4,1246.55
2.21,2.49,1067.75,2.43,2.16
2.1,1015.66,8.3,2.35,2.15
2.13,1.9,1057.0,2.32,2.05
2.2,1065.2,1014.39,205.8,2.15
2.19,1.64,1216.16,205.57,1010.44
2.18,1.66,1062.83,7710.06,2.06
2.05,1055.45,1013.12,2.55,1.82
1033.5,1.83,8.68,2.39,1049.21
2.1,1064.07,1261.74,1050.99,2.19
414.66,1.97,8.1,2.62,207.81
2.03,1.78,14.13,2.8,2.0
1009.52,1.75,8.51,1048.19,2.03
1.99,1.69,9.09,2.42,413.22
2.01,204.99,8.72,2.57,2.17
1.66,1.82,1219.67,2.56,2.38
2.07,1.93,10.94,211.93,1011.84
210.42,1.87,12.14,1004.69,2.04
1061.11,1.7,8.23,3.02,2.13
2.48,2.05,9.24,1062.56,2.09
1.96,411.56,9.76,1013.39,2.06
2.4,1029.62,1072.35,2.35,1028.02
205.84,1.78,7.62,2.71,2.13
2.85,1.9,7.81,3.23,208.39
2.02,1.88,7.87,2.48,205.13
2281.7,2.15,1435.17,2.45,205.59
820.86,418.36,7.7,2.44,2.08
1268.87,1045.88,7.98,2.57,414.58
2.01,1.66,7.72,2.4,2.1
1462.19,1.65,7.59,206.78,1.96
2.77,1.84,7.75,2.36,2.0
2.37,1.67,7.73,2.5,2.0
1014.94,2.5,7.98,2.4,2.02
2.41,2.18,7.69,1032.41,1065.33
205.97,1.57,1236.74,2.42,412.45
205.42,414.44,7.73,2.3,2.2
2.34,204.09,2070.94,1258.93,2.05
1266.47,413.31,1423.75,2.61,211.23
2.06,1.84,8.27,2.32,1045.24
416.39,1.83,8.08,2.22,2.33
209.37,1.79,7.89,2049.63,204.37
2.05,2.04,8.25,2.48,209.01
1024.39,1.87,7.83,1064.1,2.42
1.86,204.87,216.1,207.92,2.45
2.17,1.79,11.67,2.47,2.4
1.94,209.59,9.02,3.01,2.44
1.68,1.73,11.66,2.75,2.92
1.85,209.03,12.1,1066.62,2.41
1.74,1.92,828.91,2.94,3.02
1.82,1.85,1053.51,2085.58,2.31
203.21,1.68,8.32,1013.0,2.18
1.95,1.81,11.36,1013.52,2.61
2.06,1.93,1029.59,3.35,418.93
1.93,1455.39,8.2,3.28,203.75
1.93,1.98,8.83,3.42,2.6
1.82,2.02,7.65,208.82,205.15
1.74,1020.59,8.17,204.16,2.12
413.32,1.85,9.92,3.45,1056.96
1.94,1.73,8.66,2.58,2.16
1.89,1.9,218.63,2.51,1.94
1030.75,1.9,1250.01,2.78,2.25
1012.28,1.86,8.11,1053.77,1.76
8900.19,207.54,8.09,2.68,1.92
2.21,1.98,7.93,2501.77,4602.39
1464.93,1.57,8.18,2.41,2.6
1252.95,1.68,7.61,2.47,2.19
204.81,1.87,1035.45,2.65,1051.33
1036.68,1.79,7.64,2.2,1012.27
2.01,2.07,7.96,211.0,2.77
1.97,1252.85,8.05,1237.07,2.33
1.76,1.92,1226.0,205.22,2.4
1.96,1.71,7.71,2.4,210.73
1.81,1.82,9.24,416.67,2.03
1226.84,1.8,1024.05,2.54,3105.45
1.97,205.49,7.86,1028.04,1.94
1.71,4637.67,7.67,1221.64,1273.11
2.07,1.96,1040.16,207.48,2.44
1.97,1063.18,7.61,2.38,2.2
2.37,1012.42,7.98,2.45,1035.27
1.93,211.17,8.16,2.39,2.27
1259.67,211.52,1022.13,3.08,2.24
1060.33,827.37,9.83,2.37,2.1
2.04,2237.46,12.01,1024.28,2.2
1.83,1.92,7.97,2.41,207.14
1.98,1.87,5043.53,1272.35,412.49
1679.57,204.08,7.72,2.81,205.2
2.09,2.17,7.51,2.45,2.21
1.95,208.21,7.92,2.56,2.13
2.78,2.13,8.87,2.38,2.1
2.01,1023.89,1069.27,2.48,2.5
1.97,1.94,7.71,2.44,2.16
1.94,1066.02,8.04,1044.38,1058.46
1.88,1.86,213.64,5012.09,2.69
1.86,1.69,7.91,204.4,2.23
204.55,1053.58,218.91,2.88,1049.68
2.02,1.91,220.41,2.8,1013.2
2.07,1.8,7.89,1057.54,2.8
1048.1,1.89,1020.58,2.86,414.99
1012.95,1038.62,8.12,2.65,2.18
2.67,411.95,1057.89,2.53,2.81
2.0,1038.11,8.17,419.88,2.83
2.35,1652.64,216.39,1052.94,2.76
1032.72,1.96,8.0,205.22,2.9
2.09,1.98,8.81,212.93,3.08
1.81,1689.83,9.62,211.02,207.74
2.03,1.79,1230.57,1052.19,206.03
207.46,210.2,221.26,1652.4,2.09
2.18,1037.43,8.02,2.47,2.09
2.1,203.88,2091.7,2.53,2.12
1.93,2.01,8.4,1050.76,207.88
2.02,1.92,9.18,2.56,2.15
2.21,2052.78,1034.6,2.62,1036.72
2.06,1.89,8.23,209.63,2.04
1.85,1062.99,1263.51,205.06,1064.99
1.76,1.95,1062.74,205.13,2.1
2.09,207.62,8.67,2.52,2.3
205.57,205.26,215.21,2.41,2.15
205.0,1.94,11.67,2.47,2.1
2.25,1.85,11.5,2.67,2050.51
1.8,1.79,8.97,208.96,2.11
2.21,1.97,8.7,2.76,2.06
1.93,1.92,8.25,2.75,2.06
1057.8,1016.87,7.83,2.55,2.09
1.89,1.91,8.35,2.41,2.1
417.62,1.91,8.44,419.94,2.04
2.38,1.85,1052.37,2.55,2.33
2.01,2.77,9.51,206.22,2.01
1.91,1.91,12.2,1005.54,1042.51
1.89,207.7,8.04,1427.54,2.09
1.92,1.85,1012.19,211.55,2.09
1.72,2.2,3474.14,2.95,2.13
1.77,2.0,10.77,2.46,2.24
1065.21,204.1,7.93,2.56,2.34
1.94,204.75,9.37,2.79,2.14
1.71,1018.22,9.74,2.51,2.19
1.93,2.04,1072.21,2.51,2.07
209.21,1.81,7.83,2.46,2.11
1.88,1467.82,7.65,3.04,2.26
1065.34,1.94,7.7,413.63,822.66
2.0,416.14,11.11,2.93,2.31
1.78,1.89,7.93,2.45,2.09
1.76,208.97,1252.61,206.35,2074.61
2.06,3058.64,9.02,3.12,2.14
204.95,1.79,7.95,2.54,2.19
1.97,1.82,7.8,207.05,1052.78
1.97,1.73,8.2,1420.71,1012.55
2.04,2.38,8.74,1253.06,2.07
2.47,1.93,8.42,2.44,2.24
1016.28,1.8,8.09,1049.07,2.16
2.03,1063.99,1058.15,2.64,206.31
1.91,412.81,8.98,2.47,2.14
2.09,1245.12,1055.97,2.22,206.95
2.1,4405.23,4083.82,1038.47,2.35
1.93,2.09,8.22,204.04,2.19
1.94,1.79,7.89,2.43,2.28
2.92,1036.71,7.96,825.01,1062.78
2.05,1.9,7.76,2.28,2.32
2.08,208.5,8.6,2.32,2.76
2259.64,1037.95,8.19,2.27,2.38
2.03,1012.33,8.62,2.26,1036.42
2.74,204.25,7.87,2.48,2.24
2.64,821.21,7.8,2.21,2.15
1.92,204.85,7.54,210.51,2.19
2.0,1.81,11.52,2.5,206.95
1.94,1.81,7.78,2.4,2.16
1038.74,1.86,1247.67,2.34,208.97
2.06,1.82,1062.84,2.17,416.98
2.35,1.81,832.29,2.59,2.51
2.31,1.81,13.1,2.21,2.14
1039.4,1.86,8.04,2.44,2.31
1.88,1.75,7.91,2.41,2.37
1065.75,1.79,7.85,2.94,1066.24
2.91,1.8,8.04,2.52,2.42
2.96,1452.98,8.34,211.85,1271.49
2.94,1.87,12.3,2.6,208.91
1019.28,1.88,7.93,1016.69,2.19
2.15,2.12,7.77,2.29,2.17
2.1,1215.13,1014.93,2.36,1005.46
2.33,1.86,5415.89,2.24,4598.03
2.35,1050.19,7.93,2.74,2.46
2.12,1.91,7.94,2.32,2.16
1215.44,1063.5,8.13,1010.77,2.15
2.07,2.26,8.12,2.46,206.36
2.35,204.5,7.7,2.38,2.82
2.11,1.84,8.66,1050.87,2.73
205.38,1.75,7.84,2.25,416.62
211.34,1.97,7.49,2.32,2.31
2.25,1.9,8.13,211.46,2.87
2.19,2.46,8.19,412.5,2.31
1.96,1.84,8.64,204.83,2.33
2.23,1.78,7.85,2.25,2.77
1043.37,210.86,8.27,2.21,2.67
1013.11,1.92,8.19,2.15,2.16
2.0,1034.07,1016.02,2.3,2.21
2.0,1.77,1013.21,2.24,2.73
4844.42,1.78,11.96,2050.06,1007.8
1.94,1.81,8.17,2.16,1012.77
2.0,1456.71,11.74,1272.26,1013.18
2.02,1250.73,7.99,1062.13,2.22
2.21,2.39,7.87,2.42,2.09
2.18,2.49,7.86,2.37,2.71
206.23,1.8,7.89,2.26,2.07
2.05,820.67,1273.61,2.17,1233.7
1.97,205.14,8.11,204.26,2.09
2.05,1.92,1248.03,2.36,2073.58
415.96,207.79,11.32,2.48,2.2
2.72,2.06,8.02,2.23,208.24
2.05,2.03,2044.51,2.17,2.21
1.9,1.93,8.04,2.03,2.11
415.12,2.18,7.96,2.03,3267.91
2.13,2.14,8.07,1.97,2.35
1057.42,1.89,8.06,208.55,2.34
205.19,207.02,8.49,2.31,210.4
1053.97,205.5,8.42,1010.39,2.31
820.57,205.38,1436.66,2.31,2.11
1.95,1.94,8.52,2.45,2.38
209.44,2.02,8.0,2.36,2.42
1.92,2.67,8.7,2.19,1014.66
1.82,2.32,1054.04,3.04,1.99
1.69,1.97,8.19,1015.11,2.17
1.68,1050.36,1058.02,1013.17,2.18
2.34,2.03,7.91,2.37,2.2
2.33,1.92,8.3,2.41,1027.86
1.9,1.9,7.87,2.26,2.23
1018.8,1.91,10.82,4623.69,2.15
2.01,2.03,8.38,1220.25,2076.43
2.04,1013.66,12.25,2.59,2.4
2.06,204.07,8.26,2.47,2.16
2.02,1.89,9.28,2.42,211.18
2.68,1039.35,1038.37,3.41,413.41
2.0,1.88,1219.41,2.71,2.14
1.9,208.41,7.81,2.62,2.15
203.69,2.02,1045.97,2.55,204.73
2.0,2.46,1010.69,1029.3,204.32
1016.39,1.89,8.1,2.43,2.24
1.91,1.94,8.53,1479.59,2.28
2089.96,1.96,9.85,209.17,2.25
2.12,1032.55,7.93,2.63,205.42
1.92,1.88,12.18,206.51,2.13
1049.05,2.45,7.91,2.33,2.13
1.82,1.87,8.05,2.48,204.88
1.69,1.99,7.94,2.31,2.22
1053.62,1.86,7.95,2.19,2.36
412.81,2.45,8.11,2.2,1028.6
2.31,1055.29,8.03,1037.7,2.74
1023.07,1.83,10.35,2.48,209.89
2.1,1065.64,7.97,2.54,2.29
2.08,1.86,1010.05,1050.89,2.09
419.0,1065.48,8.07,2.74,205.0
2.51,2.19,8.06,2.31,1046.7
2.28,207.34,8.11,2.44,2.17
2.77,1.84,7.89,411.97,2.31
1020.63,1.86,7.87,2.49,2073.17
1012.87,1.82,8.15,2.48,2.29
412.58,1.76,11.8,210.97,2.33
1.88,1053.15,219.14,205.38,1257.06
1.74,1.81,7.62,2.44,2.15
1015.01,1.82,8.09,207.04,2073.28
1.94,1052.09,1260.27,2.6,204.1
2.08,1.86,3751.75,2.58,205.1
204.24,2.49,7.83,2.63,1232.12
2.0,1.95,8.02,2.59,204.77
1016.79,1035.76,215.6,1015.85,2.12
2.1,1012.77,8.31,3.23,2.07
2.0,1.8,8.17,2.45,1013.27
1.95,208.3,1235.96,415.07,2.23
1040.47,1038.22,8.55,1004.75,2.09
2.16,1011.66,8.73,2.51,1052.53
415.11,2.03,7.78,3.11,2.18
205.06,4645.78,7.96,1047.41,2.22
2.02,2.03,7.99,2037.01,2.16
2.01,2.0,12.11,1013.31,207.17
1243.58,210.1,7.88,2.44,2.23
1062.01,412.32,7.86,2.44,2.35
2.01,1.9,9.0,2.37,2.1
1.9,1030.42,7.99,2.4,2.14
204.57,1.96,8.01,2.44,1027.71
2.01,2.62,7.94,1012.92,2.71
2.33,1.85,10.14,2.37,2.8
2.0,2061.22,7.79,207.76,2.38
1.97,203.86,216.53,2.42,2.38
2.11,1469.28,8.09,207.98,2.44
206.38,1685.75,7.87,2.56,211.39
1.97,2.55,11.88,1048.3,205.42
2.06,1.96,8.96,2.57,1013.57
1.93,1253.53,8.03,204.49,2.45
2.05,1.82,11.76,1037.8,2.48
2.03,1.71,8.08,2.52,4001.34
207.12,1.93,8.07,2087.59,2.31
1.92,1.8,1048.75,2.41,2.22
2.0,1013.11,7.92,1270.09,2.23
2.07,1.87,11.38,1269.01,1029.55
416.2,1.82,8.7,2.4,2.36
2.05,1.7,1017.51,2.44,2.05
209.49,2.52,7.82,2.71,2075.7
3.21,206.96,8.86,2.55,211.4
2.4,205.3,1040.33,2.67,2.11
2.5,1.8,9.07,1057.2,2.19
2.81,1025.99,9.33,2.58,2.18
1058.39,1.85,624.17,1272.09,1.98
416.22,1.8,7.97,2.5,2.2
2.51,1.84,7.76,2.45,821.22
2.48,1.89,1271.48,2.4,2.12
2.21,1.81,9.7,2.38,2.12
210.74,1.8,8.25,2.38,2.14
2.69,1.86,4809.94,1060.97,2.04
2.19,2.56,8.44,2.43,205.52
2.16,1.88,8.6,2089.37,413.62
2.14,1025.48,11.27,2.56,1062.09
2.23,1013.25,2296.62,2.58,1013.69
2.17,204.57,7.98,2.65,2.47
2.38,1.93,8.23,2.64,2.14
417.6,1.75,7.68,2.58,209.83
2.13,1.84,221.27,1012.47,1021.64
2.07,825.65,8.12,3.34,2.13
1044.23,2.2,7.86,2.55,2.3
2.09,2.25,7.87,3.1,2.03
2.04,2.17,1036.13,2.98,2.04
7915.1,2.34,8.21,2.85,2.06
2.15,2.99,7.84,2.73,2.02
1.96,2.13,8.08,2.71,2.15
1.9,1468.98,8.09,207.45,2.03
1.94,2.26,7.86,205.53,2.14
1.96,2.02,7.92,1259.32,2.04
1.92,2.15,8.1,2.73,2.15
1.89,205.57,7.78,4837.97,2.13
1.87,1.83,7.89,2.43,2.1
206.96,1.88,8.62,2.5,2.15
1.99,1.92,1017.39,210.03,1035.62
1.88,1.97,1424.74,205.15,1013.52
205.37,1056.89,1492.2,1046.03,2.14
2.09,1013.64,8.26,2.38,2.27
208.81,204.91,8.57,2.43,2.47
2.67,1.89,8.15,210.99,2.35
1032.38,1.87,12.99,2.42,2.3
2.07,2.01,8.71,2.49,2.1
1.81,207.94,8.13,2.86,2.2
1053.09,1.9,12.36,418.64,2.19
2.07,1.86,9.01,4390.56,2.17
2.1,1.82,1034.09,2.9,2.34
1.95,417.02,1216.32,2.49,1014.55
1.96,2.15,11.29,2.28,7157.56
2.13,1.87,1043.38,2.74,3316.45
2.32,1.79,7.86,206.09,2.25
1826.84,1064.41,8.08,2.51,2.4
1020.31,1013.0,1040.62,1049.32,2.21
1013.81,2.57,14.12,2.96,2.35
2.0,418.72,8.79,2.87,2.27
2.03,1.85,8.4,3.15,2.34
204.0,1.76,1070.52,2.62,2.2
820.25,1260.07,1427.37,2.56,2.4
2.0,1.87,8.33,1002.85,205.29
1017.82,1.89,1027.19,2.39,3.03
1.96,1.88,8.02,2.44,1062.17
1.94,415.78,1260.77,2.42,1009.6
2.13,204.12,8.21,2.5,2.32
