Handshake_ID,P-256_Time_ms,P-256_Bytes_Total,2,x25519_Time_ms,x25519_Bytes_Total,5,p256_mlkem512_Time_ms,p256_mlkem512_Bytes_Total,8,x25519_mlkem512_Time_ms,x25519_mlkem512_Bytes_Total,11,mlkem512_Time_ms,mlkem512_Bytes_Total
1,1006.84,1330.0,,2.09,1264.0,,1027.5,2867.0,,204.67,2824.0,,2.73,2760.0
2,1.94,1330.0,,1.9,1264.0,,9.37,2890.0,,2.56,2824.0,,2.42,2760.0
3,1.93,1330.0,,1.87,1264.0,,8.94,2890.0,,2.49,2824.0,,2.27,2760.0
4,1.92,1330.0,,1.95,1264.0,,3714.94,2867.0,,2.25,2824.0,,2.33,2760.0
5,2.03,1330.0,,1052.38,1264.0,,1013.77,2867.0,,2.21,2824.0,,2.82,2760.0
6,418.37,1330.0,,2.21,1264.0,,1013.44,2867.0,,1003.07,2824.0,,203.81,2760.0
7,1043.77,1330.0,,822.92,674.0,,8.66,2890.0,,1652.4,2824.0,,1054.1,2760.0
8,2.01,1330.0,,2.05,1264.0,,7.82,2890.0,,2.51,2824.0,,1013.38,2760.0
9,1.92,1330.0,,1.95,1264.0,,8.51,2890.0,,416.28,2824.0,,2.06,2760.0
10,2.1,1330.0,,1241.62,1264.0,,7.68,2890.0,,1229.09,2824.0,,2.34,2760.0
11,2.63,1330.0,,1.98,1264.0,,8.19,2890.0,,2.57,2824.0,,1258.53,2760.0
12,1.98,1330.0,,1047.62,1264.0,,7.63,2890.0,,2.38,2824.0,,2.11,2760.0
13,1008.61,1330.0,,210.81,1264.0,,7681.3,2867.0,,2.28,2824.0,,2.23,2760.0
14,2.01,1330.0,,1.9,1264.0,,8.33,2890.0,,2.36,2824.0,,824.74,2760.0
15,1.99,1330.0,,1.89,1264.0,,8.12,2890.0,,2.3,2824.0,,3077.4,2760.0
16,1.98,1330.0,,1.87,1264.0,,12.22,1499.0,,2.31,2824.0,,2.26,2760.0
17,1.87,1330.0,,1007.33,1264.0,,8.22,2890.0,,2.36,2824.0,,2.17,2760.0
18,1.96,1330.0,,1.9,1264.0,,1057.99,2867.0,,2.41,2824.0,,2.43,2760.0
19,2.08,1330.0,,416.0,1264.0,,8.49,2890.0,,2.33,2824.0,,2.11,2760.0
20,1062.83,1330.0,,1.93,1264.0,,7.87,2890.0,,2.32,2824.0,,2.13,2760.0
21,2.72,1330.0,,209.59,1264.0,,221.0,1499.0,,2.34,2824.0,,1012.24,2760.0
22,2.74,1330.0,,1.98,1264.0,,8.18,2890.0,,2073.84,2824.0,,2.17,2760.0
23,2.62,1330.0,,1.92,1264.0,,7.97,2890.0,,2.24,2824.0,,2.17,2760.0
24,1.91,1330.0,,1.91,1264.0,,8.33,2890.0,,2.37,2824.0,,2.1,2760.0
25,2.0,1330.0,,2.22,1264.0,,7.95,2890.0,,2.26,2824.0,,2.33,2760.0
26,2.22,1330.0,,1055.57,1264.0,,216.82,2867.0,,1248.0,2824.0,,2.29,2760.0
27,2.29,1330.0,,3058.48,1264.0,,8.19,2890.0,,2.37,2824.0,,2.1,2760.0
28,1.94,1330.0,,1.91,1264.0,,8.22,2890.0,,2.57,2824.0,,2.21,2760.0
29,1.94,1330.0,,1.88,1264.0,,11.94,1499.0,,1450.95,2824.0,,415.53,1434.0
30,1.98,1330.0,,1047.58,1264.0,,8.26,2890.0,,2.51,2824.0,,2.18,2760.0
31,205.11,1330.0,,1013.6,1264.0,,1061.02,2867.0,,1033.81,2824.0,,2.14,2760.0
32,1036.91,1330.0,,1013.6,1264.0,,8.97,2890.0,,2.27,2824.0,,1044.8,2760.0
33,1010.02,1330.0,,1.9,1264.0,,7.99,2890.0,,2.31,2824.0,,2.07,2760.0
34,2.1,1330.0,,204.17,1264.0,,7.9,2890.0,,2.31,2824.0,,1064.92,2760.0
35,415.1,1330.0,,1.91,1264.0,,8.43,2890.0,,2.39,2824.0,,2.12,2760.0
36,1.94,1330.0,,417.18,674.0,,8.52,2890.0,,1234.51,2824.0,,2.04,2760.0
37,1009.41,1330.0,,1461.24,1264.0,,8.24,2890.0,,2.49,2824.0,,1.95,2760.0
38,2.26,1330.0,,2.05,1264.0,,8.12,2890.0,,1049.4,2824.0,,1246.55,2760.0
39,2.21,1330.0,,2.49,1264.0,,1067.75,2867.0,,2.43,2824.0,,2.16,2760.0
40,2.1,1330.0,,1015.66,1264.0,,8.3,2890.0,,2.35,2824.0,,2.15,2760.0
41,2.13,1330.0,,1.9,1264.0,,1057.0,2867.0,,2.32,2824.0,,2.05,2760.0
42,2.2,1330.0,,1065.2,1264.0,,1014.39,2867.0,,205.8,2824.0,,2.15,2760.0
43,2.19,1330.0,,1.64,1264.0,,1216.16,2867.0,,205.57,2824.0,,1010.44,2760.0
44,2.18,1330.0,,1.66,1264.0,,1062.83,2867.0,,7710.06,2824.0,,2.06,2760.0
45,2.05,1330.0,,1055.45,1264.0,,1013.12,2867.0,,2.55,2824.0,,1.82,2760.0
46,1033.5,1330.0,,1.83,1264.0,,8.68,2890.0,,2.39,2824.0,,1049.21,2760.0
47,2.1,1330.0,,1064.07,1264.0,,1261.74,1499.0,,1050.99,2824.0,,2.19,2760.0
48,414.66,1330.0,,1.97,1264.0,,8.1,2890.0,,2.62,2824.0,,207.81,2760.0
49,2.03,1330.0,,1.78,1264.0,,14.13,1499.0,,2.8,2824.0,,2.0,2760.0
50,1009.52,1330.0,,1.75,1264.0,,8.51,2890.0,,1048.19,2824.0,,2.03,2760.0
51,1.99,1330.0,,1.69,1264.0,,9.09,2890.0,,2.42,2824.0,,413.22,2760.0
52,2.01,1330.0,,204.99,1264.0,,8.72,2890.0,,2.57,2824.0,,2.17,2760.0
53,1.66,1330.0,,1.82,1264.0,,1219.67,2867.0,,2.56,2824.0,,2.38,2760.0
54,2.07,1330.0,,1.93,1264.0,,10.94,2890.0,,211.93,2824.0,,1011.84,2760.0
55,210.42,1330.0,,1.87,1264.0,,12.14,1499.0,,1004.69,2824.0,,2.04,2760.0
56,1061.11,1330.0,,1.7,1264.0,,8.23,2890.0,,3.02,2824.0,,2.13,2760.0
57,2.48,1330.0,,2.05,1264.0,,9.24,2890.0,,1062.56,2824.0,,2.09,2760.0
58,1.96,1330.0,,411.56,674.0,,9.76,2890.0,,1013.39,2824.0,,2.06,2760.0
59,2.4,1330.0,,1029.62,1264.0,,1072.35,2867.0,,2.35,2824.0,,1028.02,2760.0
60,205.84,1330.0,,1.78,1264.0,,7.62,2890.0,,2.71,2824.0,,2.13,2760.0
61,2.85,1330.0,,1.9,1264.0,,7.81,2890.0,,3.23,2824.0,,208.39,2760.0
62,2.02,1330.0,,1.88,1264.0,,7.87,2890.0,,2.48,2824.0,,205.13,2760.0
63,2281.7,1330.0,,2.15,1264.0,,1435.17,2867.0,,2.45,2824.0,,205.59,2760.0
64,820.86,707.0,,418.36,1264.0,,7.7,2890.0,,2.44,2824.0,,2.08,2760.0
65,1268.87,1330.0,,1045.88,1264.0,,7.98,2890.0,,2.57,2824.0,,414.58,2760.0
66,2.01,1330.0,,1.66,1264.0,,7.72,2890.0,,2.4,2824.0,,2.1,2760.0
67,1462.19,1330.0,,1.65,1264.0,,7.59,2890.0,,206.78,2824.0,,1.96,2760.0
68,2.77,1330.0,,1.84,1264.0,,7.75,2890.0,,2.36,2824.0,,2.0,2760.0
69,2.37,1330.0,,1.67,1264.0,,7.73,2890.0,,2.5,2824.0,,2.0,2760.0
70,1014.94,1330.0,,2.5,1264.0,,7.98,2890.0,,2.4,2824.0,,2.02,2760.0
71,2.41,1330.0,,2.18,1264.0,,7.69,2890.0,,1032.41,2824.0,,1065.33,2760.0
72,205.97,1330.0,,1.57,1264.0,,1236.74,2867.0,,2.42,2824.0,,412.45,2760.0
73,205.42,1330.0,,414.44,1264.0,,7.73,2890.0,,2.3,2824.0,,2.2,2760.0
74,2.34,1330.0,,204.09,1264.0,,2070.94,2867.0,,1258.93,2824.0,,2.05,2760.0
75,1266.47,1330.0,,413.31,1264.0,,1423.75,2867.0,,2.61,2824.0,,211.23,2760.0
76,2.06,1330.0,,1.84,1264.0,,8.27,2890.0,,2.32,2824.0,,1045.24,2760.0
77,416.39,1330.0,,1.83,1264.0,,8.08,2890.0,,2.22,2824.0,,2.33,2760.0
78,209.37,1330.0,,1.79,1264.0,,7.89,2890.0,,2049.63,2824.0,,204.37,2760.0
79,2.05,1330.0,,2.04,1264.0,,8.25,2890.0,,2.48,2824.0,,209.01,2760.0
80,1024.39,1330.0,,1.87,1264.0,,7.83,2890.0,,1064.1,2824.0,,2.42,2760.0
81,1.86,1330.0,,204.87,1264.0,,216.1,1499.0,,207.92,2824.0,,2.45,2760.0
82,2.17,1330.0,,1.79,1264.0,,11.67,2890.0,,2.47,2824.0,,2.4,2760.0
83,1.94,1330.0,,209.59,1264.0,,9.02,2890.0,,3.01,2824.0,,2.44,2760.0
