Handshake_ID,P-384_Time_ms,P-384_Bytes_Total,2,x448_Time_ms,x448_Bytes_Total,5,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_Total,8,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_Total,11,mlkem768_Time_ms,mlkem768_Bytes_Total
1,1012.47,1559.0,,5.71,1477.0,,18.5,3822.0,,1226.41,3242.0,,1020.87,3186.0
2,10.31,1557.0,,5.56,1475.0,,16.73,3821.0,,6.76,3740.0,,4.92,3627.0
3,9.34,1558.0,,6.53,1476.0,,16.12,3822.0,,6.64,3741.0,,8.6,1818.0
4,12.73,1558.0,,1017.73,1476.0,,20.02,1915.0,,627.41,1874.0,,5.37,3627.0
5,1062.83,1559.0,,1013.46,1477.0,,1273.88,3283.0,,10.57,1874.0,,4.91,3629.0
6,9.72,1557.0,,5.36,1475.0,,16.59,3823.0,,1216.61,3242.0,,4.87,3628.0
7,9.17,1557.0,,417.64,698.0,,16.42,3822.0,,213.36,3242.0,,4.8,3627.0
8,1034.25,1559.0,,5.47,1477.0,,1488.43,1915.0,,6.71,3740.0,,4.88,3629.0
9,216.84,1559.0,,1058.49,1475.0,,16.71,3822.0,,1014.73,3242.0,,4.94,3627.0
10,8.74,1559.0,,5.61,1475.0,,16.4,3821.0,,6.83,3739.0,,6388.26,1818.0
11,9.64,1558.0,,1060.94,1476.0,,2489.7,3283.0,,6.42,3740.0,,1014.55,3186.0
12,8.81,1557.0,,5.61,1476.0,,1053.7,3283.0,,6.56,3739.0,,5.71,3627.0
13,211.77,1558.0,,5.76,1477.0,,17.0,3823.0,,6.67,3740.0,,5.19,3628.0
14,8.94,1558.0,,5.52,1475.0,,15.87,3822.0,,9.21,3741.0,,4.92,3629.0
15,11.89,1558.0,,418.19,1477.0,,224.83,3283.0,,220.02,1874.0,,4.84,3629.0
16,9.45,1559.0,,5.42,1476.0,,1044.63,3283.0,,2032.04,3242.0,,5.1,3629.0
17,8.94,1558.0,,5.81,1476.0,,16.23,3822.0,,1217.58,3242.0,,4.87,3628.0
18,9.36,1557.0,,210.3,1476.0,,19.75,1915.0,,1268.79,3242.0,,4.92,3628.0
19,8.9,1558.0,,1460.32,1477.0,,2042.74,3283.0,,6.74,3740.0,,6.16,3628.0
20,1437.26,1558.0,,5.78,1476.0,,24.92,1915.0,,3093.66,3242.0,,1217.33,3186.0
21,11.37,1559.0,,5.64,1476.0,,20.14,1915.0,,626.53,1874.0,,2724.78,3186.0
22,8.85,1558.0,,212.37,1476.0,,17.25,3821.0,,7.04,3740.0,,5.05,3628.0
