P-521,p521_mlkem1024,mlkem1024
19.34,36.91,13.99
19.3,27.63,9.22
222.5,29.66,1029.06
18.81,1280.72,1014.07
19.09,28.83,1459.17
2058.52,29.96,9.25
18.8,29.32,9.62
21.05,29.22,9.76
18.79,240.79,9.59
432.54,27.01,5055.06
21.73,27.47,11.21
431.65,31.11,13.98
19.13,27.31,17.56
19.38,27.45,14.88
19.25,27.85,13.04
18.47,27.88,12.05
1446.23,27.55,10.33
221.7,28.12,10.95
18.55,237.08,12.09
223.84,31.1,11.96
18.47,1031.56,221.27
18.05,27.49,11.23
17.92,26.66,11.65
17.95,26.94,9.61
18.24,1091.42,9.84
228.7,641.77,9.7
18.14,28.34,12.03
225.05,28.32,217.88
1055.5,27.6,12.66
24.76,27.49,2085.02
19.85,1035.03,8.9
227.56,1281.05,221.69
21.18,26.65,1016.44
24.44,26.99,9.15
19.14,31.23,8.98
438.33,27.1,9.02
19.35,642.62,12.97
1078.22,27.82,8.98
1077.74,2074.85,12.81
19.17,27.31,8.9
19.07,27.19,8.89
19.37,26.94,8.98
19.93,28.4,8.85
225.16,27.49,8.67
1036.55,27.92,219.92
18.11,34.72,8.81
430.27,1054.57,1054.35
2900.17,27.93,1013.22
1228.8,28.45,8.84
18.48,28.31,1058.26
20.5,27.51,8.79
2088.35,28.13,8.74
19.89,1070.3,220.38
18.0,27.41,9.09
226.19,1858.59,8.85
19.55,1500.99,9.29
18.31,27.12,8.84
18.11,26.59,8.72
1286.58,29.92,8.9
18.37,30.67,8.72
18.45,27.21,8.69
18.61,35.22,1240.64
18.4,1061.52,8.88
17064.65,30.08,8.9
1021.29,42.67,8.8
18.35,32.4,8.88
18.15,28.23,3303.03
18.02,1080.33,8.69
1688.93,26.77,8.72
18.28,27.31,8.88
22.02,31.73,12.7
18.48,27.16,8.73
18.16,1046.29,1028.07
221.0,28.44,8.82
18.43,30.77,8.69
18.38,32.73,8.77
17.97,28.35,1429.64
18.0,29.44,13.24
18.02,29.85,9.21
1041.21,31.11,9.5
219.71,29.48,13.32
1669.45,28.34,1020.88
18.86,1083.64,624.76
19.66,28.34,13.86
18.39,5641.93,9.5
1061.38,31.74,9.13
19.77,1033.74,10.36
1043.38,27.11,9.12
221.09,27.84,9.57
18.45,30.58,13.58
18.36,27.02,627.79
18.88,27.2,8.71
222.61,29.95,8.52
19.11,31.5,9.15
223.14,27.02,8.58
19.26,1083.63,8.56
3110.71,31.31,8.77
219.48,27.94,9.17
18.11,1059.56,6629.84
18.38,26.47,1269.22
18.55,27.23,8.82
18.01,30.89,8.71
18.23,27.16,8.62
18.24,1485.58,1072.36
2081.97,1090.6,9.26
18.16,239.01,1056.9
18.54,27.9,1012.34
18.17,29.53,9.25
18.29,27.98,8.96
18.63,28.64,9.2
18.1,28.34,9.42
18.43,29.86,8.94
18.46,1238.8,9.35
18.3,29.06,8.89
3120.28,1080.38,12.3
17.79,27.66,1043.38
18.11,27.18,8.85
2046.91,28.24,13.03
18.46,28.6,10.17
18.28,31.05,9.04
1080.13,29.98,1053.32
18.05,27.09,13.1
17.96,233.98,12.08
18.38,27.64,14.84
25.23,27.33,1068.23
1436.83,27.94,11.7
221.45,1257.25,9.1
19.24,27.61,8.79
20.34,27.44,217.86
18.9,27.5,13.13
18.32,1037.15,9.08
3807.29,31.29,9.09
18.58,27.5,1027.02
19.45,27.15,10.14
25.08,27.29,1055.37
24.55,27.48,1012.99
19.98,27.4,8.96
23.53,1036.43,622.72
1081.76,27.16,8.97
18.36,31.08,1045.45
224.53,27.25,10.73
1070.36,27.71,9.03
226.82,27.62,624.78
1035.03,27.24,1245.41
19.32,27.54,8.97
