frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","26:8d:93:14:88:cf","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.030860159","42","26:8d:93:14:88:cf","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.030883866","42","e2:38:fd:43:7f:4a","26:8d:93:14:88:cf",,,"ARP","172.20.0.2 is at e2:38:fd:43:7f:4a"
"4","0.030890184","74","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TCP","46128 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1287705183 TSecr=0 WS=128"
"5","0.030908022","74","e2:38:fd:43:7f:4a","26:8d:93:14:88:cf","172.20.0.2","172.20.0.3","TCP","4433 → 46128 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1478620978 TSecr=1287705183 WS=128"
"6","0.030923810","66","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TCP","46128 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1287705183 TSecr=1478620978"
"7","0.030972126","561","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.030976554","66","e2:38:fd:43:7f:4a","26:8d:93:14:88:cf","172.20.0.2","172.20.0.3","TCP","4433 → 46128 [ACK] Seq=1 Ack=496 Win=64768 Len=0 TSval=1478620978 TSecr=1287705183"
"9","0.032152074","769","e2:38:fd:43:7f:4a","26:8d:93:14:88:cf","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.032194029","66","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TCP","46128 → 4433 [ACK] Seq=496 Ack=704 Win=63616 Len=0 TSval=1287705184 TSecr=1478620979"
"11","0.033074937","146","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.033138128","66","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TCP","46128 → 4433 [RST, ACK] Seq=576 Ack=704 Win=63616 Len=0 TSval=1287705185 TSecr=1478620979"
"13","0.043585895","74","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TCP","46130 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1287705196 TSecr=0 WS=128"
"14","0.043610962","74","e2:38:fd:43:7f:4a","26:8d:93:14:88:cf","172.20.0.2","172.20.0.3","TCP","4433 → 46130 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1478620991 TSecr=1287705196 WS=128"
"15","0.043629357","66","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TCP","46130 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1287705196 TSecr=1478620991"
"16","0.043671942","561","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"17","0.043677369","66","e2:38:fd:43:7f:4a","26:8d:93:14:88:cf","172.20.0.2","172.20.0.3","TCP","4433 → 46130 [ACK] Seq=1 Ack=496 Win=64768 Len=0 TSval=1478620991 TSecr=1287705196"
"18","0.044425719","769","e2:38:fd:43:7f:4a","26:8d:93:14:88:cf","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"19","0.044457281","66","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TCP","46130 → 4433 [ACK] Seq=496 Ack=704 Win=63616 Len=0 TSval=1287705197 TSecr=1478620991"
"20","0.045256665","146","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"21","0.045318949","66","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TCP","46130 → 4433 [RST, ACK] Seq=576 Ack=704 Win=63616 Len=0 TSval=1287705197 TSecr=1478620991"
"22","0.055865613","74","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TCP","46136 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1287705208 TSecr=0 WS=128"
"23","0.055888091","74","e2:38:fd:43:7f:4a","26:8d:93:14:88:cf","172.20.0.2","172.20.0.3","TCP","4433 → 46136 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1478621003 TSecr=1287705208 WS=128"
"24","0.055905300","66","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TCP","46136 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1287705208 TSecr=1478621003"
"25","0.055951336","561","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"26","0.055957515","66","e2:38:fd:43:7f:4a","26:8d:93:14:88:cf","172.20.0.2","172.20.0.3","TCP","4433 → 46136 [ACK] Seq=1 Ack=496 Win=64768 Len=0 TSval=1478621003 TSecr=1287705208"
"27","0.056479616","769","e2:38:fd:43:7f:4a","26:8d:93:14:88:cf","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"28","0.056509227","66","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TCP","46136 → 4433 [ACK] Seq=496 Ack=704 Win=63616 Len=0 TSval=1287705209 TSecr=1478621004"
"29","0.057409314","146","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"30","0.057468923","66","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TCP","46136 → 4433 [RST, ACK] Seq=576 Ack=704 Win=63616 Len=0 TSval=1287705210 TSecr=1478621004"
"31","0.067847025","74","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TCP","46152 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1287705220 TSecr=0 WS=128"
"32","0.067869547","74","e2:38:fd:43:7f:4a","26:8d:93:14:88:cf","172.20.0.2","172.20.0.3","TCP","4433 → 46152 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1478621015 TSecr=1287705220 WS=128"
"33","0.067886793","66","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TCP","46152 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1287705220 TSecr=1478621015"
"34","0.067926957","561","26:8d:93:14:88:cf","e2:38:fd:43:7f:4a","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
