frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","0e:32:66:45:39:c6","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.031733450","42","0e:32:66:45:39:c6","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.031766201","42","36:29:e6:0d:ef:f7","0e:32:66:45:39:c6",,,"ARP","172.20.0.2 is at 36:29:e6:0d:ef:f7"
"4","0.031778686","74","0e:32:66:45:39:c6","36:29:e6:0d:ef:f7","172.20.0.3","172.20.0.2","TCP","47270 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1289430651 TSecr=0 WS=128"
"5","0.031806424","74","36:29:e6:0d:ef:f7","0e:32:66:45:39:c6","172.20.0.2","172.20.0.3","TCP","4433 → 47270 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1480346447 TSecr=1289430651 WS=128"
"6","0.031828819","66","0e:32:66:45:39:c6","36:29:e6:0d:ef:f7","172.20.0.3","172.20.0.2","TCP","47270 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1289430652 TSecr=1480346447"
"7","0.031882013","528","0e:32:66:45:39:c6","36:29:e6:0d:ef:f7","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.031890765","66","36:29:e6:0d:ef:f7","0e:32:66:45:39:c6","172.20.0.2","172.20.0.3","TCP","4433 → 47270 [ACK] Seq=1 Ack=463 Win=64768 Len=0 TSval=1480346447 TSecr=1289430652"
"9","0.032672637","736","36:29:e6:0d:ef:f7","0e:32:66:45:39:c6","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.032722708","66","0e:32:66:45:39:c6","36:29:e6:0d:ef:f7","172.20.0.3","172.20.0.2","TCP","47270 → 4433 [ACK] Seq=463 Ack=671 Win=63616 Len=0 TSval=1289430653 TSecr=1480346447"
"11","0.033540845","146","0e:32:66:45:39:c6","36:29:e6:0d:ef:f7","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.033606895","66","0e:32:66:45:39:c6","36:29:e6:0d:ef:f7","172.20.0.3","172.20.0.2","TCP","47270 → 4433 [RST, ACK] Seq=543 Ack=671 Win=63616 Len=0 TSval=1289430653 TSecr=1480346447"
"13","0.044080388","74","0e:32:66:45:39:c6","36:29:e6:0d:ef:f7","172.20.0.3","172.20.0.2","TCP","47278 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1289430664 TSecr=0 WS=128"
"14","0.044115915","74","36:29:e6:0d:ef:f7","0e:32:66:45:39:c6","172.20.0.2","172.20.0.3","TCP","4433 → 47278 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1480346459 TSecr=1289430664 WS=128"
"15","0.044140146","66","0e:32:66:45:39:c6","36:29:e6:0d:ef:f7","172.20.0.3","172.20.0.2","TCP","47278 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1289430664 TSecr=1480346459"
"16","0.044191083","528","0e:32:66:45:39:c6","36:29:e6:0d:ef:f7","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
