frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","22:39:0c:a7:7b:00","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.032506655","42","22:39:0c:a7:7b:00","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.032533322","42","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00",,,"ARP","172.20.0.2 is at 6e:3e:36:ee:11:64"
"4","0.032542720","74","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46968 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1305911162 TSecr=0 WS=128"
"5","0.032563721","74","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TCP","4433 → 46968 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1496826957 TSecr=1305911162 WS=128"
"6","0.032578996","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46968 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1305911162 TSecr=1496826957"
"7","0.032624827","1320","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.032631023","66","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TCP","4433 → 46968 [ACK] Seq=1 Ack=1255 Win=64128 Len=0 TSval=1496826957 TSecr=1305911162"
"9","0.034045385","1504","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.034089810","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46968 → 4433 [ACK] Seq=1255 Ack=1439 Win=64128 Len=0 TSval=1305911163 TSecr=1496826958"
"11","0.035322373","146","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.035409274","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46968 → 4433 [RST, ACK] Seq=1335 Ack=1439 Win=64128 Len=0 TSval=1305911164 TSecr=1496826958"
"13","0.049724331","74","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46972 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1305911179 TSecr=0 WS=128"
"14","0.049760694","74","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TCP","4433 → 46972 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1496826974 TSecr=1305911179 WS=128"
"15","0.049787681","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46972 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1305911179 TSecr=1496826974"
"16","0.049850472","1320","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"17","0.049858595","66","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TCP","4433 → 46972 [ACK] Seq=1 Ack=1255 Win=64128 Len=0 TSval=1496826974 TSecr=1305911179"
"18","0.050497885","1504","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"19","0.050528669","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46972 → 4433 [ACK] Seq=1255 Ack=1439 Win=64128 Len=0 TSval=1305911180 TSecr=1496826975"
"20","0.052058806","146","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"21","0.052142993","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46972 → 4433 [RST, ACK] Seq=1335 Ack=1439 Win=64128 Len=0 TSval=1305911181 TSecr=1496826975"
"22","0.063348866","74","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46986 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1305911192 TSecr=0 WS=128"
"23","0.063373094","74","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TCP","4433 → 46986 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1496826987 TSecr=1305911192 WS=128"
"24","0.063391120","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46986 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1305911192 TSecr=1496826987"
"25","0.063452992","1320","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"26","0.063461912","66","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TCP","4433 → 46986 [ACK] Seq=1 Ack=1255 Win=64128 Len=0 TSval=1496826988 TSecr=1305911193"
"27","0.064050893","1504","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"28","0.064087149","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46986 → 4433 [ACK] Seq=1255 Ack=1439 Win=64128 Len=0 TSval=1305911193 TSecr=1496826988"
"29","0.065115287","146","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"30","0.065168983","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46986 → 4433 [RST, ACK] Seq=1335 Ack=1439 Win=64128 Len=0 TSval=1305911194 TSecr=1496826988"
"31","0.075970118","74","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46990 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1305911205 TSecr=0 WS=128"
"32","0.075997322","74","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TCP","4433 → 46990 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1496827000 TSecr=1305911205 WS=128"
"33","0.076017023","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46990 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1305911205 TSecr=1496827000"
"34","0.076077078","1320","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"35","0.076081763","66","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TCP","4433 → 46990 [ACK] Seq=1 Ack=1255 Win=64128 Len=0 TSval=1496827000 TSecr=1305911205"
"36","0.076760054","1504","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"37","0.076790405","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46990 → 4433 [ACK] Seq=1255 Ack=1439 Win=64128 Len=0 TSval=1305911206 TSecr=1496827001"
"38","0.077883482","146","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"39","0.077942102","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","46990 → 4433 [RST, ACK] Seq=1335 Ack=1439 Win=64128 Len=0 TSval=1305911207 TSecr=1496827001"
"40","0.089105736","74","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","47000 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1305911218 TSecr=0 WS=128"
"41","0.089131144","74","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TCP","4433 → 47000 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1496827013 TSecr=1305911218 WS=128"
"42","0.089148634","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","47000 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1305911218 TSecr=1496827013"
"43","0.089201814","1320","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"44","0.089205937","66","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TCP","4433 → 47000 [ACK] Seq=1 Ack=1255 Win=64128 Len=0 TSval=1496827013 TSecr=1305911218"
"45","0.089974735","1504","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"46","0.090006317","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","47000 → 4433 [ACK] Seq=1255 Ack=1439 Win=64128 Len=0 TSval=1305911219 TSecr=1496827014"
"47","0.091035368","146","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"48","0.091093056","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","47000 → 4433 [RST, ACK] Seq=1335 Ack=1439 Win=64128 Len=0 TSval=1305911220 TSecr=1496827014"
"49","0.101974904","74","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","47016 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1305911231 TSecr=0 WS=128"
"50","0.101998418","74","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TCP","4433 → 47016 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1496827026 TSecr=1305911231 WS=128"
"51","0.102015038","66","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TCP","47016 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1305911231 TSecr=1496827026"
"52","0.102057157","1320","22:39:0c:a7:7b:00","6e:3e:36:ee:11:64","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"53","0.102061237","66","6e:3e:36:ee:11:64","22:39:0c:a7:7b:00","172.20.0.2","172.20.0.3","TCP","4433 → 47016 [ACK] Seq=1 Ack=1255 Win=64128 Len=0 TSval=1496827026 TSecr=1305911231"
