frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","56:fc:3d:c4:aa:55","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.033056964","42","56:fc:3d:c4:aa:55","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.033083361","42","ea:0f:e5:dc:6b:e4","56:fc:3d:c4:aa:55",,,"ARP","172.20.0.2 is at ea:0f:e5:dc:6b:e4"
"4","0.033090784","74","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TCP","55418 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1307483870 TSecr=0 WS=128"
"5","0.033112138","74","ea:0f:e5:dc:6b:e4","56:fc:3d:c4:aa:55","172.20.0.2","172.20.0.3","TCP","4433 → 55418 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1498399665 TSecr=1307483870 WS=128"
"6","0.033130505","66","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TCP","55418 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1307483870 TSecr=1498399665"
"7","0.033171355","593","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.033175355","66","ea:0f:e5:dc:6b:e4","56:fc:3d:c4:aa:55","172.20.0.2","172.20.0.3","TCP","4433 → 55418 [ACK] Seq=1 Ack=528 Win=64640 Len=0 TSval=1498399665 TSecr=1307483870"
"9","0.037553421","964","ea:0f:e5:dc:6b:e4","56:fc:3d:c4:aa:55","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.037595401","66","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TCP","55418 → 4433 [ACK] Seq=528 Ack=899 Win=64128 Len=0 TSval=1307483875 TSecr=1498399670"
"11","0.041086956","146","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.041149856","66","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TCP","55418 → 4433 [RST, ACK] Seq=608 Ack=899 Win=64128 Len=0 TSval=1307483878 TSecr=1498399670"
"13","0.054308171","74","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TCP","55434 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1307483891 TSecr=0 WS=128"
"14","0.054361466","74","ea:0f:e5:dc:6b:e4","56:fc:3d:c4:aa:55","172.20.0.2","172.20.0.3","TCP","4433 → 55434 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1498399686 TSecr=1307483891 WS=128"
"15","0.054391504","66","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TCP","55434 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1307483892 TSecr=1498399686"
"16","0.054441821","593","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"17","0.054450233","66","ea:0f:e5:dc:6b:e4","56:fc:3d:c4:aa:55","172.20.0.2","172.20.0.3","TCP","4433 → 55434 [ACK] Seq=1 Ack=528 Win=64640 Len=0 TSval=1498399687 TSecr=1307483892"
"18","0.058069338","963","ea:0f:e5:dc:6b:e4","56:fc:3d:c4:aa:55","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"19","0.058118642","66","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TCP","55434 → 4433 [ACK] Seq=528 Ack=898 Win=64128 Len=0 TSval=1307483895 TSecr=1498399690"
"20","0.062306380","146","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"21","0.062402159","66","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TCP","55434 → 4433 [RST, ACK] Seq=608 Ack=898 Win=64128 Len=0 TSval=1307483900 TSecr=1498399690"
"22","0.075218991","74","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TCP","55446 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1307483912 TSecr=0 WS=128"
"23","0.075241058","74","ea:0f:e5:dc:6b:e4","56:fc:3d:c4:aa:55","172.20.0.2","172.20.0.3","TCP","4433 → 55446 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1498399707 TSecr=1307483912 WS=128"
"24","0.075265425","66","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TCP","55446 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1307483912 TSecr=1498399707"
"25","0.075308685","593","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"26","0.075311988","66","ea:0f:e5:dc:6b:e4","56:fc:3d:c4:aa:55","172.20.0.2","172.20.0.3","TCP","4433 → 55446 [ACK] Seq=1 Ack=528 Win=64640 Len=0 TSval=1498399707 TSecr=1307483912"
"27","0.081342075","964","ea:0f:e5:dc:6b:e4","56:fc:3d:c4:aa:55","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"28","0.081405285","66","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TCP","55446 → 4433 [ACK] Seq=528 Ack=899 Win=64128 Len=0 TSval=1307483919 TSecr=1498399713"
"29","0.085829045","146","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"30","0.085913675","66","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TCP","55446 → 4433 [RST, ACK] Seq=608 Ack=899 Win=64128 Len=0 TSval=1307483923 TSecr=1498399713"
"31","0.101287905","74","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TCP","55458 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1307483938 TSecr=0 WS=128"
"32","0.101326011","74","ea:0f:e5:dc:6b:e4","56:fc:3d:c4:aa:55","172.20.0.2","172.20.0.3","TCP","4433 → 55458 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1498399733 TSecr=1307483938 WS=128"
"33","0.101366048","66","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TCP","55458 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1307483939 TSecr=1498399733"
"34","0.101428101","593","56:fc:3d:c4:aa:55","ea:0f:e5:dc:6b:e4","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"35","0.101433877","66","ea:0f:e5:dc:6b:e4","56:fc:3d:c4:aa:55","172.20.0.2","172.20.0.3","TCP","4433 → 55458 [ACK] Seq=1 Ack=528 Win=64640 Len=0 TSval=1498399734 TSecr=1307483939"
"36","0.105578067","963","ea:0f:e5:dc:6b:e4","56:fc:3d:c4:aa:55","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
