frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","16:7d:35:96:b4:e2","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.029780241","42","16:7d:35:96:b4:e2","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.029803641","42","e2:5e:0c:13:7c:04","16:7d:35:96:b4:e2",,,"ARP","172.20.0.2 is at e2:5e:0c:13:7c:04"
"4","0.029814138","74","16:7d:35:96:b4:e2","e2:5e:0c:13:7c:04","172.20.0.3","172.20.0.2","TCP","47726 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1313088140 TSecr=0 WS=128"
"5","0.029835615","74","e2:5e:0c:13:7c:04","16:7d:35:96:b4:e2","172.20.0.2","172.20.0.3","TCP","4433 → 47726 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1504003935 TSecr=1313088140 WS=128"
"6","0.029853307","66","16:7d:35:96:b4:e2","e2:5e:0c:13:7c:04","172.20.0.3","172.20.0.2","TCP","47726 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1313088140 TSecr=1504003935"
"7","0.029893600","1672","16:7d:35:96:b4:e2","e2:5e:0c:13:7c:04","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.029899503","66","e2:5e:0c:13:7c:04","16:7d:35:96:b4:e2","172.20.0.2","172.20.0.3","TCP","4433 → 47726 [ACK] Seq=1 Ack=1607 Win=64128 Len=0 TSval=1504003935 TSecr=1313088140"
"9","0.032012918","1955","e2:5e:0c:13:7c:04","16:7d:35:96:b4:e2","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.032043344","66","16:7d:35:96:b4:e2","e2:5e:0c:13:7c:04","172.20.0.3","172.20.0.2","TCP","47726 → 4433 [ACK] Seq=1607 Ack=1890 Win=64128 Len=0 TSval=1313088142 TSecr=1504003937"
"11","0.034716901","146","16:7d:35:96:b4:e2","e2:5e:0c:13:7c:04","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.034780222","66","16:7d:35:96:b4:e2","e2:5e:0c:13:7c:04","172.20.0.3","172.20.0.2","TCP","47726 → 4433 [RST, ACK] Seq=1687 Ack=1890 Win=64128 Len=0 TSval=1313088145 TSecr=1504003937"
