frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","8a:05:5e:32:4d:aa","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.036215835","42","8a:05:5e:32:4d:aa","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.036247779","42","5e:06:ae:be:ee:ea","8a:05:5e:32:4d:aa",,,"ARP","172.20.0.2 is at 5e:06:ae:be:ee:ea"
"4","0.036268285","74","8a:05:5e:32:4d:aa","5e:06:ae:be:ee:ea","172.20.0.3","172.20.0.2","TCP","58082 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1308689112 TSecr=0 WS=128"
"5","0.036291919","74","5e:06:ae:be:ee:ea","8a:05:5e:32:4d:aa","172.20.0.2","172.20.0.3","TCP","4433 → 58082 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1499604908 TSecr=1308689112 WS=128"
"6","0.036313596","66","8a:05:5e:32:4d:aa","5e:06:ae:be:ee:ea","172.20.0.3","172.20.0.2","TCP","58082 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1308689113 TSecr=1499604908"
"7","0.036366769","1769","8a:05:5e:32:4d:aa","5e:06:ae:be:ee:ea","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.036373115","66","5e:06:ae:be:ee:ea","8a:05:5e:32:4d:aa","172.20.0.2","172.20.0.3","TCP","4433 → 58082 [ACK] Seq=1 Ack=1704 Win=64128 Len=0 TSval=1499604908 TSecr=1308689113"
"9","0.046213033","2052","5e:06:ae:be:ee:ea","8a:05:5e:32:4d:aa","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.046274925","66","8a:05:5e:32:4d:aa","5e:06:ae:be:ee:ea","172.20.0.3","172.20.0.2","TCP","58082 → 4433 [ACK] Seq=1704 Ack=1987 Win=64128 Len=0 TSval=1308689122 TSecr=1499604917"
"11","0.052062645","146","8a:05:5e:32:4d:aa","5e:06:ae:be:ee:ea","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.052136042","66","8a:05:5e:32:4d:aa","5e:06:ae:be:ee:ea","172.20.0.3","172.20.0.2","TCP","58082 → 4433 [RST, ACK] Seq=1784 Ack=1987 Win=64128 Len=0 TSval=1308689128 TSecr=1499604917"
