frame.number,frame.time_relative,frame.len,eth.src,eth.dst,ip.src,ip.dst,_ws.col.protocol,_ws.col.info
"1","0.000000000","42","d6:93:a5:c4:ba:67","ff:ff:ff:ff:ff:ff",,,"ARP","ARP Announcement for 172.20.0.3"
"2","0.029637118","42","d6:93:a5:c4:ba:67","ff:ff:ff:ff:ff:ff",,,"ARP","Who has 172.20.0.2? Tell 172.20.0.3"
"3","0.029664373","42","66:58:69:01:7e:05","d6:93:a5:c4:ba:67",,,"ARP","172.20.0.2 is at 66:58:69:01:7e:05"
"4","0.029675092","74","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40198 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1311537034 TSecr=0 WS=128"
"5","0.029697019","74","66:58:69:01:7e:05","d6:93:a5:c4:ba:67","172.20.0.2","172.20.0.3","TCP","4433 → 40198 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1502452829 TSecr=1311537034 WS=128"
"6","0.029714631","66","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40198 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1311537034 TSecr=1502452829"
"7","0.029768987","1728","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"8","0.029773810","66","66:58:69:01:7e:05","d6:93:a5:c4:ba:67","172.20.0.2","172.20.0.3","TCP","4433 → 40198 [ACK] Seq=1 Ack=1663 Win=64128 Len=0 TSval=1502452829 TSecr=1311537034"
"9","0.032897526","2012","66:58:69:01:7e:05","d6:93:a5:c4:ba:67","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"10","0.032938069","66","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40198 → 4433 [ACK] Seq=1663 Ack=1947 Win=64128 Len=0 TSval=1311537038 TSecr=1502452833"
"11","0.036032371","146","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"12","0.036090879","66","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40198 → 4433 [RST, ACK] Seq=1743 Ack=1947 Win=64128 Len=0 TSval=1311537041 TSecr=1502452833"
"13","0.046605977","74","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40204 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1311537051 TSecr=0 WS=128"
"14","0.046633084","74","66:58:69:01:7e:05","d6:93:a5:c4:ba:67","172.20.0.2","172.20.0.3","TCP","4433 → 40204 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1502452846 TSecr=1311537051 WS=128"
"15","0.046651787","66","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40204 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1311537051 TSecr=1502452846"
"16","0.046693777","1728","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"17","0.046699602","66","66:58:69:01:7e:05","d6:93:a5:c4:ba:67","172.20.0.2","172.20.0.3","TCP","4433 → 40204 [ACK] Seq=1 Ack=1663 Win=64128 Len=0 TSval=1502452846 TSecr=1311537051"
"18","0.049210120","2010","66:58:69:01:7e:05","d6:93:a5:c4:ba:67","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"19","0.049246812","66","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40204 → 4433 [ACK] Seq=1663 Ack=1945 Win=64128 Len=0 TSval=1311537054 TSecr=1502452849"
"20","0.052470237","146","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"21","0.052531427","66","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40204 → 4433 [RST, ACK] Seq=1743 Ack=1945 Win=64128 Len=0 TSval=1311537057 TSecr=1502452849"
"22","0.063176698","74","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40206 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1311537068 TSecr=0 WS=128"
"23","0.063201803","74","66:58:69:01:7e:05","d6:93:a5:c4:ba:67","172.20.0.2","172.20.0.3","TCP","4433 → 40206 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1502452863 TSecr=1311537068 WS=128"
"24","0.063219137","66","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40206 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1311537068 TSecr=1502452863"
"25","0.063259185","1728","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"26","0.063265218","66","66:58:69:01:7e:05","d6:93:a5:c4:ba:67","172.20.0.2","172.20.0.3","TCP","4433 → 40206 [ACK] Seq=1 Ack=1663 Win=64128 Len=0 TSval=1502452863 TSecr=1311537068"
"27","0.065664647","2011","66:58:69:01:7e:05","d6:93:a5:c4:ba:67","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"28","0.065692789","66","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40206 → 4433 [ACK] Seq=1663 Ack=1946 Win=64128 Len=0 TSval=1311537070 TSecr=1502452865"
"29","0.068807555","146","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"30","0.068873032","66","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40206 → 4433 [RST, ACK] Seq=1743 Ack=1946 Win=64128 Len=0 TSval=1311537074 TSecr=1502452865"
"31","0.079293206","74","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40218 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1311537084 TSecr=0 WS=128"
"32","0.079315337","74","66:58:69:01:7e:05","d6:93:a5:c4:ba:67","172.20.0.2","172.20.0.3","TCP","4433 → 40218 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1502452879 TSecr=1311537084 WS=128"
"33","0.079331561","66","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40218 → 4433 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1311537084 TSecr=1502452879"
"34","0.079380916","1728","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TLSv1.2","Client Hello"
"35","0.079387141","66","66:58:69:01:7e:05","d6:93:a5:c4:ba:67","172.20.0.2","172.20.0.3","TCP","4433 → 40218 [ACK] Seq=1 Ack=1663 Win=64128 Len=0 TSval=1502452879 TSecr=1311537084"
"36","0.081796340","2012","66:58:69:01:7e:05","d6:93:a5:c4:ba:67","172.20.0.2","172.20.0.3","TLSv1.3","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data"
"37","0.081826577","66","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40218 → 4433 [ACK] Seq=1663 Ack=1947 Win=64128 Len=0 TSval=1311537086 TSecr=1502452881"
"38","0.084859783","146","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TLSv1.3","Change Cipher Spec, Application Data"
"39","0.084913335","66","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40218 → 4433 [RST, ACK] Seq=1743 Ack=1947 Win=64128 Len=0 TSval=1311537090 TSecr=1502452881"
"40","0.096139023","74","d6:93:a5:c4:ba:67","66:58:69:01:7e:05","172.20.0.3","172.20.0.2","TCP","40220 → 4433 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1311537101 TSecr=0 WS=128"
