P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.71,2.46,12.8,3.61,2.55
2.15,1.95,8.39,3.13,2.18
2.02,2.43,8.6,2.32,2.66
2.02,1.85,8.19,2.47,2.62
3.21,2.03,10.8,2.48,2.09
2.05,2.61,11.21,2.74,2.22
1.99,2.37,8.94,2.61,2.13
2.78,2.45,7.79,2.65,2.61
2.0,1.85,8.34,2.91,2.19
2.1,2.52,8.26,3.4,2.04
1.94,1.84,8.01,2.47,2.1
2.2,2.03,7.67,2.98,2.28
2.51,1.91,8.65,2.67,2.11
3.0,1.93,8.03,2.61,2.14
2.26,1.94,7.97,2.76,2.04
2.11,1.98,7.66,2.94,2.54
1.98,2.35,7.92,2.54,2.05
2.13,1.91,8.17,2.71,2.02
2.03,2.28,7.75,3.22,2.05
2.22,2.26,8.77,2.94,2.14
2.05,1.88,8.22,2.6,2.13
2.59,2.69,8.88,2.75,2.03
2.2,1.99,7.71,2.59,2.06
2.06,2.03,9.12,2.32,2.02
2.19,1.96,10.36,2.56,1.96
2.14,1.87,7.62,2.7,2.18
2.0,1.91,8.03,2.5,1.97
1.93,1.78,7.52,2.54,2.35
2.09,1.67,7.52,2.39,2.08
2.21,1.79,7.46,2.54,1.98
2.06,1.73,7.83,2.48,2.0
2.29,1.7,8.14,2.64,2.17
2.92,1.7,7.84,2.81,2.14
1.94,1.83,7.75,2.48,2.13
1.87,2.06,7.69,2.69,2.08
2.24,2.52,7.88,2.74,2.08
2.06,1.91,7.59,2.75,1.91
2.06,1.81,7.65,2.32,1.9
2.19,1.68,7.66,2.63,1.99
2.0,1.76,7.74,2.43,2.02
2.28,1.86,8.47,2.37,2.07
2.23,1.85,7.82,3.39,2.06
2.78,2.15,8.44,2.53,2.09
2.56,1.95,8.18,2.54,2.03
1.92,1.86,7.93,2.3,1.89
1.88,1.85,7.75,2.36,2.12
2.36,1.94,7.82,2.68,2.16
2.19,1.77,7.53,2.49,2.15
2.25,1.78,7.96,2.44,2.06
2.05,1.64,7.69,2.29,2.08
2.24,1.66,7.83,2.55,1.93
2.77,1.62,7.93,2.45,1.97
2.26,1.71,7.81,2.54,2.32
2.2,1.94,7.84,2.98,2.02
2.15,2.52,7.66,5405.65,2.13
2.03,1.88,7.71,3.41,2.0
2.09,1.78,8.29,2.47,1.86
2.27,1.84,9.38,2.49,2.07
2.13,2.35,8.65,822.57,2.19
2.29,2.56,7.96,210.51,2.98
1688.15,1058.27,7.79,1006.59,2.06
827.46,4384.76,7.9,2861.23,2.94
1005.57,827.64,8.54,2.4,207.91
7601.5,824.99,8.66,208.27,205.84
1013.36,1062.54,8.48,205.66,1022.46
2037.45,2.04,8.21,210.33,1014.02
1013.27,2.01,7.84,2.47,1013.56
1013.59,204.67,8.96,1042.29,2.07
821.32,205.92,7.58,2.49,209.02
3978.31,1828.77,7.72,2.35,1.94
204.05,1.83,7.95,821.39,1850.35
1428.63,1011.27,7.79,205.01,2.22
1047.14,204.97,10.13,2.74,1010.43
204.72,2.82,7.91,1225.8,204.0
206.16,2.17,7.95,2.32,210.16
1669.92,1.91,8.74,418.43,2.04
2034.54,3316.04,8.26,205.72,2.78
1.88,1.86,7.7,1254.12,2.19
1.9,2.06,7.73,2.4,2.07
1.96,413.09,7.78,418.01,2.36
1.94,412.29,8.37,1006.72,2.92
208.38,821.41,7.84,413.53,3319.83
206.06,2.3,7.86,1678.05,1061.94
414.08,1026.16,7.71,1014.91,205.28
2.09,1014.05,7.55,2.3,1054.04
209.61,1.76,7.5,2728.83,1013.97
413.56,2443.02,10.06,1222.19,1.94
206.02,1.91,8.93,205.29,6231.2
2.8,1.8,8.1,2.31,2.25
4085.36,1020.26,9.41,2.34,1065.71
2.05,821.87,8.11,413.1,1218.79
6568.3,205.85,7.92,1677.96,1063.01
2.11,1053.5,7.67,1221.82,211.13
3.17,2.5,8.81,23330.04,2.12
5138.01,2.03,7.92,3301.55,1034.2
1.88,1.94,7.56,1014.77,206.42
417.87,1.9,7.83,413.12,210.34
206.05,1.91,7.88,2.45,1022.59
2.05,1016.23,7.7,2.41,2.81
3099.23,203.94,7.66,2.45,2.16
16795.91,206.15,8.2,1271.8,413.93
2.06,3334.31,7.93,205.99,210.55
1890.0,1.92,8.57,414.26,206.07
1020.51,1066.12,8.06,2.57,1012.8
