Handshake_ID,P-256_Time_ms,P-256_Bytes_Total,2,x25519_Time_ms,x25519_Bytes_Total,5,p256_mlkem512_Time_ms,p256_mlkem512_Bytes_Total,8,x25519_mlkem512_Time_ms,x25519_mlkem512_Bytes_Total,11,mlkem512_Time_ms,mlkem512_Bytes_Total
1,2.71,1330.0,,2.46,1264.0,,12.8,2890.0,,3.61,2824.0,,2.55,2760.0
2,2.15,1330.0,,1.95,1264.0,,8.39,2890.0,,3.13,2824.0,,2.18,2760.0
3,2.02,1330.0,,2.43,1264.0,,8.6,2890.0,,2.32,2824.0,,2.66,2760.0
4,2.02,1330.0,,1.85,1264.0,,8.19,2890.0,,2.47,2824.0,,2.62,2760.0
5,3.21,1330.0,,2.03,1264.0,,10.8,2890.0,,2.48,2824.0,,2.09,2760.0
6,2.05,1330.0,,2.61,1264.0,,11.21,2890.0,,2.74,2824.0,,2.22,2760.0
7,1.99,1330.0,,2.37,1264.0,,8.94,2890.0,,2.61,2824.0,,2.13,2760.0
8,2.78,1330.0,,2.45,1264.0,,7.79,2890.0,,2.65,2824.0,,2.61,2760.0
9,2.0,1330.0,,1.85,1264.0,,8.34,2890.0,,2.91,2824.0,,2.19,2760.0
10,2.1,1330.0,,2.52,1264.0,,8.26,2890.0,,3.4,2824.0,,2.04,2760.0
11,1.94,1330.0,,1.84,1264.0,,8.01,2890.0,,2.47,2824.0,,2.1,2760.0
12,2.2,1330.0,,2.03,1264.0,,7.67,2890.0,,2.98,2824.0,,2.28,2760.0
13,2.51,1330.0,,1.91,1264.0,,8.65,2890.0,,2.67,2824.0,,2.11,2760.0
14,3.0,1330.0,,1.93,1264.0,,8.03,2890.0,,2.61,2824.0,,2.14,2760.0
15,2.26,1330.0,,1.94,1264.0,,7.97,2890.0,,2.76,2824.0,,2.04,2760.0
16,2.11,1330.0,,1.98,1264.0,,7.66,2890.0,,2.94,2824.0,,2.54,2760.0
17,1.98,1330.0,,2.35,1264.0,,7.92,2890.0,,2.54,2824.0,,2.05,2760.0
18,2.13,1330.0,,1.91,1264.0,,8.17,2890.0,,2.71,2824.0,,2.02,2760.0
