Handshake_ID,P-384_Time_ms,P-384_Bytes_Total,2,x448_Time_ms,x448_Bytes_Total,5,p384_mlkem768_Time_ms,p384_mlkem768_Bytes_Total,8,x448_mlkem768_Time_ms,x448_mlkem768_Bytes_Total,11,mlkem768_Time_ms,mlkem768_Bytes_Total
1,9.49,1557.0,,7.68,1476.0,,21.35,3821.0,,7.18,3740.0,,5.46,3627.0
2,10.24,1556.0,,6.77,1475.0,,20.36,3821.0,,6.63,3738.0,,5.02,3627.0
3,12.4,1557.0,,6.11,1476.0,,20.71,3821.0,,6.38,3739.0,,5.0,3628.0
4,12.15,1556.0,,6.12,1474.0,,17.23,3821.0,,6.31,3740.0,,4.86,3627.0
5,9.16,1557.0,,6.23,1475.0,,16.68,3822.0,,6.69,3738.0,,4.9,3627.0
6,9.03,1556.0,,6.01,1476.0,,16.61,3822.0,,8.84,3740.0,,5.21,3627.0
7,9.77,1558.0,,5.93,1474.0,,18.39,3822.0,,6.38,3739.0,,4.87,3626.0
8,9.96,1556.0,,5.59,1475.0,,17.27,3821.0,,6.53,3739.0,,4.89,3626.0
9,8.75,1557.0,,5.64,1475.0,,16.96,3821.0,,6.35,3739.0,,4.83,3627.0
10,9.36,1556.0,,5.48,1476.0,,18.14,3821.0,,6.33,3738.0,,7.03,3627.0
11,8.77,1557.0,,5.57,1474.0,,20.29,3821.0,,8.9,3738.0,,4.8,3626.0
12,8.65,1557.0,,5.79,1475.0,,17.13,3822.0,,9.04,3739.0,,4.76,3628.0
13,10.16,1558.0,,5.33,1474.0,,17.15,3821.0,,8.82,3739.0,,4.66,3626.0
14,8.97,1557.0,,5.4,1476.0,,16.59,3821.0,,6.42,3740.0,,4.9,3627.0
15,9.89,1558.0,,5.29,1475.0,,16.35,3822.0,,6.4,3739.0,,5.0,3627.0
16,8.79,1557.0,,5.46,1475.0,,16.1,3822.0,,6.37,3738.0,,4.95,3628.0
17,9.34,1556.0,,6.21,1475.0,,20.84,3820.0,,6.41,3738.0,,4.86,3626.0
18,8.76,1556.0,,5.39,1475.0,,20.59,3821.0,,6.34,3738.0,,4.84,3626.0
19,9.45,1557.0,,7.26,1475.0,,17.81,3821.0,,6.49,3739.0,,4.87,3627.0
20,9.1,1558.0,,5.45,1475.0,,22.36,3820.0,,6.55,3739.0,,4.85,3627.0
21,10.16,1556.0,,5.49,1475.0,,18.44,3821.0,,6.82,3738.0,,6.89,3627.0
22,9.69,1558.0,,5.72,1474.0,,23.06,3820.0,,7.71,3738.0,,5.25,3626.0
23,9.13,1555.0,,7.13,1475.0,,19.4,3821.0,,6.54,3738.0,,4.83,3627.0
24,8.72,1556.0,,6.96,1475.0,,21.78,3821.0,,6.48,3740.0,,4.78,3628.0
25,9.78,1557.0,,5.62,1475.0,,21.35,3821.0,,6.34,3738.0,,5.73,3626.0
26,9.61,1556.0,,7.09,1476.0,,643.52,3283.0,,6.24,3740.0,,4.97,3627.0
27,9.72,1557.0,,6.76,1476.0,,17.27,3821.0,,6.4,3739.0,,5.03,3627.0
28,12.11,1557.0,,5.36,1475.0,,17.39,3821.0,,6.34,3739.0,,4.78,3626.0
29,9.6,1557.0,,7.15,1475.0,,433.34,3283.0,,6.52,3738.0,,5.18,3627.0
30,9.31,1558.0,,5.58,1476.0,,16.71,3820.0,,6.42,3739.0,,4.87,3626.0
31,9.56,1558.0,,6.88,1475.0,,23.38,3822.0,,6.78,3738.0,,4.87,3627.0
32,9.53,1557.0,,5.87,1475.0,,57868.96,3283.0,,6.64,3740.0,,5.06,3626.0
33,9.77,1557.0,,5.47,1474.0,,3293.3,3283.0,,6.47,3738.0,,4.74,3627.0
34,9.4,1557.0,,5.8,1476.0,,1071.1,3283.0,,6.57,3738.0,,4.94,3627.0
35,9.91,1557.0,,5.76,1475.0,,7322.71,1915.0,,7.08,3740.0,,4.6,3627.0
36,9.12,1557.0,,5.41,1475.0,,1084.28,3283.0,,7.01,3740.0,,5.33,3627.0
37,9.08,1557.0,,5.97,1475.0,,638.81,3283.0,,6.93,3738.0,,6.09,3628.0
38,215.35,1556.0,,5.28,1476.0,,842.58,3283.0,,7.2,3739.0,,5.9,3627.0
39,218.73,1557.0,,5.7,1475.0,,1480.99,1915.0,,8.89,3740.0,,8.31,3628.0
40,422.49,1558.0,,6.68,1475.0,,630.07,3283.0,,6.74,3739.0,,8.79,3627.0
41,213.29,1556.0,,7.68,1474.0,,1019.93,3283.0,,7.15,3738.0,,5.12,3626.0
42,11.24,1558.0,,6.31,1475.0,,1279.32,3283.0,,9.49,3740.0,,5.24,3628.0
43,9.99,1556.0,,5.82,1476.0,,16418.71,3283.0,,9.03,3740.0,,5.32,3628.0
44,210.81,1558.0,,5.93,1475.0,,224.33,1915.0,,6.9,3738.0,,4.83,3628.0
45,1065.09,1558.0,,6.39,1475.0,,3290.48,3283.0,,6399.97,1874.0,,4.84,3627.0
46,8.69,1557.0,,5.81,1475.0,,1071.41,3283.0,,1221.41,3242.0,,5.08,3626.0
47,1060.28,1557.0,,4087.75,1474.0,,10582.7,3283.0,,6.84,3738.0,,8.46,1818.0
48,8.88,1557.0,,211.61,1475.0,,1224.72,1915.0,,6.82,3740.0,,1476.25,3186.0
49,214.26,1557.0,,827.06,698.0,,16.06,3822.0,,10.47,1874.0,,212.47,3186.0
50,214.34,1556.0,,2271.11,1474.0,,13195.27,3283.0,,9.17,3740.0,,4.92,3627.0
51,1695.45,739.0,,16843.17,1475.0,,16868.24,1915.0,,2081.71,3242.0,,1446.3,1818.0
52,1834.28,1557.0,,7.63,1476.0,,16.35,3821.0,,1008.81,3242.0,,1426.57,3186.0
53,8.76,1557.0,,3106.2,1475.0,,16.88,3820.0,,6.74,3740.0,,6.76,3627.0
54,6682.23,1558.0,,5.46,1476.0,,16.39,3822.0,,6.7,3739.0,,5.83,3627.0
55,3061.72,1557.0,,4388.28,1475.0,,19.57,1915.0,,1043.34,3242.0,,9.36,1818.0
