P-521,p521_mlkem1024,mlkem1024
19.52,30.33,9.07
19.75,28.2,8.58
18.61,26.76,8.87
19.03,27.12,8.86
18.81,27.7,8.74
25.83,27.17,9.12
21.01,28.89,9.1
18.86,31.78,8.82
18.75,27.17,8.88
25.41,28.49,8.77
18.81,29.9,9.5
19.47,29.36,11.85
19.61,27.91,8.78
18.54,35.27,10.1
3583.31,30.27,9.3
23.45,28.12,9.26
18.74,27.28,9.1
19.52,27.84,9.09
18.8,28.46,8.74
19.38,33.34,9.03
18.58,1078.75,8.88
20.19,27.38,8.91
19.15,234.52,8.85
19.09,29.17,8.89
225.0,27.72,9.29
18.4,2271.84,9.12
20.23,1268.89,9.97
2514.46,445.61,10.1
19.18,643.88,8.88
1080.64,30.26,8.91
837.44,26.98,8.84
19.17,26.91,12.68
1030.77,234.76,8.79
221.38,28.02,9.14
431.82,31.26,9.77
19.61,1046.89,9.32
222.26,27.76,9.71
19.64,4594.0,14.49
18.91,233.12,1068.34
19.1,2741.2,217.62
7219.97,28.34,11.93
18.54,452.74,9.0
227.63,446.28,4830.54
435.04,34.68,8.76
229.36,2270.44,86251.52
1021.16,26.8,8.62
227.3,1233.18,8.79
1025.88,27.65,10.53
22.07,1091.21,1431.34
1045.4,26.89,9.18
221.71,27.27,9.13
19.11,4138.47,9.0
1071.04,26.95,9.76
19.52,3292.17,9.62
6606.52,237.17,13233.98
26.45,1075.08,8.98
23.34,1280.11,218.22
18.84,2093.39,8.96
18.37,8869.68,217.8
221.27,1294.12,1034.63
222.24,28.05,10.29
20.79,4659.68,5033.1
18.49,1073.77,8.73
1282.34,1077.16,3280.44
18.37,1083.52,8.73
1449.67,28.05,1046.75
18.87,31.78,8.96
433.02,5392.69,8.81
1229.67,1501.25,1244.0
18.35,446.56,2501.46
18.44,28.13,9.05
3993.95,31.67,30191.1
1285.33,32.46,1017.36
18.93,1863.55,8.69
224.73,32.72,215.2
18.45,1043.3,8229.88
18.48,27.57,4365.92
2294.31,27.04,8.91
2084.2,2095.1,1265.97
221.67,35.79,9.54
18.12,60042.29,1044.46
842.87,650.64,9.6
221.84,27.25,221.53
222.44,27.34,1429.93
18.61,27.81,9.29
18.4,29.22,8.82
18.69,6400.67,220.57
224.02,6645.19,1032.91
19.07,31.0,3122.22
226.65,26.9,2885.51
843.64,27.01,30475.26
1277.91,233.41,2869.51
18.43,1049.79,1020.08
18.6,31.48,1277.26
1069.47,27.6,1065.19
22.9,27.23,8.75
4363.75,27.23,8.58
20.51,29.78,8.59
20.73,1487.31,1022.83
222.44,27.95,5017.88
1677.59,27.67,12.78
228.52,27.33,8.79
3333.34,1063.05,216.17
2254.22,27.67,3726.75
2718.17,1040.39,9.02
837.4,30.89,12.77
18.98,1448.29,9.19
1040.84,237.12,13.62
1077.72,27.69,1015.49
1902.2,27.12,1015.39
4586.46,26.9,9.12
435.06,10001.62,8.51
18.39,1913.1,1859.84
18.61,5232.82,1231.86
220.66,29.38,5363.09
226.33,1049.95,9.23
18.75,32.75,9.15
225.96,30.21,222.45
19.17,1874.98,9.43
1230.68,27.05,4353.53
18.38,27.06,11605.12
18.58,1491.38,12.8
221.65,27.74,1025.71
5126.41,27.69,11.69
221.83,28.76,5643.33
18.73,1063.75,3474.7
19.45,29.73,9.27
18.82,28.1,11.97
1289.12,2288.63,220.72
221.93,27.23,1233.36
2309.84,440.84,14.79
1062.54,1090.07,1031.52
436.08,27.18,4547.34
1077.32,8643.82,219.64
230.0,2321.2,8.62
1030.72,441.34,1485.59
18.72,28.14,5554.12
18.94,6912.76,12.18
1081.99,3301.63,8.57
24.48,7211.38,12.6
1047.81,1279.96,3157.97
19.66,31.13,429.82
3088.84,7663.66,17834.55
18.61,27.8,1834.93
18.66,33.78,10.52
18.28,30.32,2094.28
2712.05,1232.76,1014.63
3485.67,1065.69,630.26
221.91,233.66,12.28
18.3,27.42,3728.46
1042.18,1051.62,835.64
18.68,2105.42,1267.0
1050.1,29.63,3318.32
221.23,31272.58,1063.94
1245.85,2113.84,8.7
19.0,30.89,3311.9
5229.35,240.62,12.28
1022.02,26.88,222.15
18.69,26.66,1064.73
2079.17,2875.42,8.84
227.96,18144.56,8.64
19.05,31.92,12.0
21.22,31.03,8.72
25.73,1069.6,12.44
1053.3,1069.82,1487.78
221.78,28.55,626.02
4357.55,1242.28,3125.69
3069.52,27.17,6833.57
19.29,1232.58,1065.34
1680.85,2293.55,12.64
7580.29,3933.71,1055.36
2070.35,27.43,12.12
18.54,30.37,2284.44
18.58,2928.07,830.19
21.61,3539.74,12.85
26.7,27.39,8.9
22.25,27.3,220.71
17979.62,1041.89,9.61
21.05,32.41,3120.22
838.33,27.34,3883.44
19.05,1058.41,8.7
12906.71,641.42,11.79
431.17,40.17,8.8
4094.99,2509.96,2055.72
227.8,29.9,1634.78
18.56,27.21,8.8
438.89,4599.64,11.43
1064.35,3370.07,220.91
3333.14,1293.8,8.85
837.88,26.94,9.19
4610.72,26.53,9.05
18.81,2900.24,11.76
19.38,1501.31,628.67
1904.09,7053.79,4389.89
18.28,31.24,221.93
2085.17,26.68,11.54
3370.77,2304.26,10.15
1437.06,32330.85,1261.0
1048.08,27.36,12.73
1899.28,30.32,423.37
3070.31,1074.99,16.59
4565.58,27.26,8.82
18.4,1243.89,12.58
18.99,237.85,10.49
224.49,27.43,1232.03
22.65,27.36,9937.82
433.31,30.73,1638.91
220.8,27.95,10.45
1886.12,1250.69,8.94
18.37,27.94,219.49
223.16,35.28,221.76
429.68,1045.49,8.72
221.0,28.7,8.63
437.98,27.77,8.84
19.34,234.22,1254.62
27.03,27.8,8.74
1038.07,1036.22,1046.34
16666.37,27.48,8.85
2253.08,32.87,831.32
845.11,1880.48,11.36
1451.98,30.11,1847.34
4330.72,237.56,12.49
20.73,1057.13,224.81
26.32,1083.66,3068.64
24.16,28.07,627.27
19.56,30.3,9.07
18.7,1467.7,1061.48
19.58,32.5,8.75
431.62,234.41,1263.93
3930.01,26.9,8.64
2104.33,1045.4,1454.94
18.69,1489.52,9.05
1463.94,28.32,3304.82
837.56,31.69,2065.21
18.66,236.76,4337.13
228.98,27.23,12.13
3309.67,4631.64,1263.27
221.46,28.45,8.83
18.37,27.97,8.78
1497.39,3165.12,1027.22
843.62,26.93,9.05
1228.97,1872.63,8717.86
222.1,238.0,218.59
